[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  28652       tick         16116        630611       4638965 
      2  28652       tick          1861          9275        295308 
      3  28652       tick          2158          9203        294861 
      4  28652       tick          1929          9327        294918 
      5  28652       tick          2234          9300        293288 
      6  28652       tick          2193          9230        293316 
      7  28652       tick          2118          9321        294673 
      8  28652       tick          2200          9126        294683 
      9  28652       tick          2038          9240        294717 
     10  28652       tick          2074          9225        295004 
     11  28652       tick          2099          9273        294501 
     12  28652       tick          2096          9294        294313 
     13  28652       tick          2313          9268        292908 
     14  28652       tick          2137          9202        294498 
     15  28652       tick          2005          9305        294313 
     16  28652       tick          2175          9144        294550 
     17  28652       tick          2076          9188        294804 
     18  28652       tick          2137          9270        295028 
     19  28652       tick          2014          9215        294994 
     20  28652       tick          2056          9191        294969 
     21  28652       tick          2227          9286        294300 
     22  28652       tick          2024          9203        294676 
     23  28652       tick          2112          9232        294569 
     24  28652       tick          1997          9218        295442 
     25  28652       tick          2114          9281        294192 
     26  28652       tick          2061          9172        294562 
     27  28652       tick          1964          9333        295128 
     28  28652       tick          1938          9156        295040 
     29  28652       tick          2134          9231        295110 
     30  28652       tick          2076          9278        295074 
     31  28652       tick          2093          9157        293953 
     32  28652       tick          2005          9229        295380 
     33  28652       tick          2153          9292        294354 
     34  28652       tick          2011          9059        295039 
     35  28652       tick          2299          9249        293351 
     36  28652       tick          2215          9145        294001 
     37  28652       tick          2177          9236        294555 
     38  28652       tick          1969          9262        295365 
     39  28652       tick          2035          9077        294744 
     40  28652       tick          2111          9158        295032 
     41  28652       tick          2074          9132        294331 
     42  28652       tick          1839          9273        295475 
     43  28652       tick          2061          9161        295198 
     44  28652       tick          1962          9147        295639 
     45  28652       tick          2255          9131        292913 
     46  28652       tick          2135          9165        295078 
     47  28652       tick          2107          9115        294954 
     48  28652       tick          2000          9150        294850 
     49  28652       tick          2115          9153        295130 
     50  28652       tick          1871          9082        295053 
     51  28652       tick          2070          9154        294850 
     52  28652       tick          2152          9251        294465 
     53  28652       tick          2102          9452        294552 
     54  28652       tick          1979          9159        295187 
     55  28652       exit          3922         18254        368346 
