[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  30153       tick          2687         16471         70584 
      2  30153       tick             0             0             0 
      3  30153       tick             0             0             0 
      4  30153       tick             0             0             0 
      5  30153       tick             0             0             0 
      6  30153       tick             0             0             0 
      7  30153       tick             0             0             0 
      8  30153       tick             0             0             0 
      9  30153       tick             0             0             0 
     10  30153       tick             0             0             0 
     11  30153       tick             0             0             0 
     12  30153       tick             0             0             0 
     13  30153       tick             0             0             0 
     14  30153       tick             0             0             0 
     15  30153       tick             0             0             0 
     16  30153       tick             0             0             0 
     17  30153       tick             0             0             0 
     18  30153       tick             0             0             0 
     19  30153       tick             0             0             0 
     20  30153       exit           158           138           341 
