[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  17190       tick      11791656      79626995      79626995      45299531 
      2  17190       tick      14155018      95916682      95916682      54516343 
      3  17190       tick      14374836      97316702      97316702      55156417 
      4  17190       tick      14350924      97345673      97345673      55202909 
      5  17190       tick      14331958      96943837      96943837      55127922 
      6  17190       tick      14330196      97196995      97196995      55111249 
      7  17190       tick      14299138      96707635      96707635      54990175 
      8  17190       tick      14327317      97189328      97189328      55083595 
      9  17190       tick      14363517      97247476      97247476      55160404 
     10  17190       tick      14240863      96513569      96513569      54806682 
     11  17190       tick      14362842      97241747      97241747      55109062 
     12  17190       tick      14254528      96596193      96596193      54936153 
     13  17190       tick      14372823      97312361      97312361      55124726 
     14  17190       tick      14417339      97594992      97594992      55517594 
     15  17190       tick      14181169      98098934      98098934      55520984 
     16  17190       tick      14377548      97347119      97347119      55172342 
     17  17190       tick      14367379      97460441      97460441      55271173 
     18  17190       tick      14261078      96455295      96455295      54841609 
     19  17190       tick      14301332      97003280      97003280      54989373 
     20  17190       tick      14259102      96447236      96447236      54789186 
     21  17190       tick      14356504      97383217      97383217      55233097 
     22  17190       tick      14398627      97407880      97407880      55398932 
     23  17190       tick      14173875      96131997      96131997      54430150 
     24  17190       tick      14265566      96488053      96488053      54845262 
     25  17190       tick      14341622      97286263      97286263      55156976 
     26  17190       tick      14278668      96579585      96579585      54893197 
     27  17190       tick      14375039      97518083      97518083      55294673 
     28  17190       tick      14319078      96949435      96949435      54884491 
     29  17190       tick      14279771      98172140      98172140      55656641 
     30  17190       tick      14188746      96151936      96151936      54671733 
     31  17190       tick      14291719      96947441      96947441      54917370 
     32  17190       tick      13868685      93930471      93930471      53312059 
     33  17190       tick      14938203     101021694     101021694      57400289 
     34  17190       tick      14266727      96758235      96758235      54877838 
     35  17190       tick      14381232      97293967      97293967      55274651 
     36  17190       tick      14282792      96869144      96869144      54909808 
     37  17190       tick      14421366      97567352      97567352      55475219 
     38  17190       tick      14302636      97013468      97013468      54976898 
     39  17190       tick      14168131      95800350      95800350      54424358 
     40  17190       tick      14360894      97409245      97409245      55237194 
     41  17190       tick      14324058      96909965      96909965      55071583 
     42  17190       tick      14344526      97275712      97275712      55190267 
     43  17190       tick      14216046      97729420      97729420      55397642 
     44  17190       tick      14264768      96727234      96727234      54817578 
     45  17190       tick      14360626      97177546      97177546      55268425 
     46  17190       exit       1033264       6956734       6956734       3872845 
