[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  14335       tick           312      26917702         49519         13733 
      2  14335       tick           150      28028569         47408          7686 
      3  14335       tick           151      27825355         47269          7657 
      4  14335       tick           145      27830436         47558          7677 
      5  14335       tick           162      27825141         47664          7834 
      6  14335       tick           130      27847008         47414          7693 
      7  14335       tick           155      27727663         47378          8818 
      8  14335       tick           136      27875859         47135          7512 
      9  14335       tick           135      27904189         47611          7533 
     10  14335       tick           116      27805351         47081          7914 
     11  14335       tick           140      27835630         47194          7810 
     12  14335       tick           125      27828624         47325          7712 
     13  14335       tick           116      27833339         47178          7591 
     14  14335       tick            97      27829555         47292          7695 
     15  14335       tick           134      27840026         47352          7851 
     16  14335       tick           127      26686348         45405          8423 
     17  14335       tick           107      28864294         48873          7980 
     18  14335       tick           108      27805052         47263          7683 
     19  14335       tick           133      27805056         47350          8466 
     20  14335       tick           125      27805053         47368          7829 
     21  14335       tick           108      27762832         47070          8258 
     22  14335       tick           120      27834603         47351          7991 
     23  14335       tick           101      27817923         47400          7895 
     24  14335       tick           101      27810651         47194          8235 
     25  14335       tick           104      27846933         47258          7820 
     26  14335       tick           123      27841529         47332          7961 
     27  14335       tick            94      27852788         47105          7748 
     28  14335       tick           105      27776265         47365          8349 
     29  14335       tick            83      27880039         47418          7645 
     30  14335       tick           139      27878346         47399          7683 
     31  14335       tick            97      27780845         47382          8244 
     32  14335       tick            98      27813761         47203          8042 
     33  14335       tick           104      27878317         47127          7609 
     34  14335       tick           109      27803153         47217          8182 
     35  14335       tick            93      27762661         47413          8413 
     36  14335       tick            87      27788506         47135          8319 
     37  14335       tick            91      27803451         47243          8043 
     38  14335       tick            92      27707056         46909          8610 
     39  14335       tick            97      27783677         47529          8435 
     40  14335       tick            88      27850049         47319          7815 
     41  14335       tick            99      27819260         47372          7819 
     42  14335       tick            81      27843784         47189          7921 
     43  14335       tick            75      27844667         47437          7773 
     44  14335       tick           106      27859570         47543          7697 
     45  14335       tick            57      27892309         47313          7484 
     46  14335       tick            81      27839263         47213          7819 
     47  14335       tick            71      27809725         47245          8034 
     48  14335       tick            73      27632789         47094          9848 
     49  14335       tick            80      27883035         47324          7592 
     50  14335       tick            98      27840452         47237          7845 
     51  14335       tick            83      27717519         47355          8380 
     52  14335       tick            85      27778946         47202          8358 
     53  14335       tick            62      27791902         47097          8261 
     54  14335       tick            83      27851405         47218          7750 
     55  14335       exit            61      24067640         41075          7993 
