[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   1940       tick      30516774      19486848       7442977          1070 
      2   1940       tick      56016884      45299467       7878555           157 
      3   1940       tick      55312893      44729819       7779875           148 
      4   1940       tick      56175614      45428080       7900637           165 
      5   1940       tick      55901656      45205699       7862904           144 
      6   1940       tick      56040028      45318237       7881762           137 
      7   1940       tick      55749319      45083080       7840943           143 
      8   1940       tick      55814785      45136115       7850058           139 
      9   1940       tick      56041301      45318847       7882336           160 
     10   1940       tick      55992661      45279839       7875189           137 
     11   1940       tick      56031730      45311936       7880218           146 
     12   1940       tick      55670051      45018814       7829935           158 
     13   1940       tick      55967535      45259070       7872081           164 
     14   1940       tick      55856082      45169581       7855793           154 
     15   1940       tick      56160822      45415270       7899352           146 
     16   1940       tick      56044777      45322500       7882032           148 
     17   1940       tick      55745291      45079373       7840771           152 
     18   1940       tick      55881319      45190009       7859323           156 
     19   1940       tick      55868024      45179267       7857450           141 
     20   1940       tick      56128141      45389165       7894421           150 
     21   1940       tick      55375509      44780179       7788963           135 
     22   1940       tick      56102545      45368865       7890470           185 
     23   1940       tick      56046345      45322959       7883019           140 
     24   1940       tick      55897254      45202905       7861546           151 
     25   1940       tick      56101404      45367961       7890296           145 
     26   1940       tick      56042331      45319697       7882466           149 
     27   1940       tick      55900603      45205634       7862006           160 
     28   1940       tick      56086818      45356163       7888251           139 
     29   1940       tick      56151561      45407772       7898053           131 
     30   1940       tick      56157675      45413146       7898518           120 
     31   1940       tick      56026123      45306952       7879826           128 
     32   1940       tick      55974313      45265391       7872234           160 
     33   1940       tick      56218941      45462388       7907416           119 
     34   1940       tick      55907162      45210991       7862884           140 
     35   1940       tick      56057690      45332129       7884606           134 
     36   1940       tick      56181228      45431891       7902161           130 
     37   1940       tick      53975822      43649099       7591247           136 
     38   1940       tick      58041108      46936528       8163137           152 
     39   1940       tick      56112324      45376436       7892182           154 
     40   1940       tick      56162223      45417233       7898755           122 
     41   1940       tick      56009210      45292844       7877869           126 
     42   1940       tick      55780519      45108345       7845291           172 
     43   1940       tick      56038579      45317064       7881548           137 
     44   1940       tick      56112546      45376573       7892243           153 
     45   1940       tick      56084732      45354463       7887968           138 
     46   1940       tick      56180341      45431081       7902069           133 
     47   1940       tick      56137486      45396815       7895690           133 
     48   1940       exit      37531650      30328576       5279053           185 
