[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  27254       tick        211892         16059          6902        211892 
      2  27254       tick         75391          1320          6116         75391 
      3  27254       tick         75331          1479          6162         75331 
      4  27254       tick         75165          1414          6037         75165 
      5  27254       tick         74534          1366          5984         74534 
      6  27254       tick         74985          1314          5843         74985 
      7  27254       tick         76190          1502          6229         76190 
      8  27254       tick         74515          1442          6029         74515 
      9  27254       tick         76157          1259          6179         76157 
     10  27254       tick         75642          1351          6336         75642 
     11  27254       tick         76715          1474          6519         76715 
     12  27254       tick         77058          1233          6175         77058 
     13  27254       tick         75970          1166          6206         75970 
     14  27254       tick         76898          1311          6050         76898 
     15  27254       tick         75318          1221          6163         75318 
     16  27254       tick         75858          1500          6254         75858 
     17  27254       tick         75923          1373          6235         75923 
     18  27254       tick         77111          1288          6121         77111 
     19  27254       tick         76160          1617          6372         76160 
     20  27254       tick         76765          1343          6444         76765 
     21  27254       tick         75791          1506          6209         75791 
     22  27254       tick         76225          1294          5978         76225 
     23  27254       tick         75524          1372          6113         75524 
     24  27254       tick         75832          1525          6451         75832 
     25  27254       tick         76094          1254          6327         76094 
     26  27254       tick         76922          1604          6572         76922 
     27  27254       tick         76057          1399          6236         76057 
     28  27254       tick         75773          1078          5795         75773 
     29  27254       tick         76837          1278          6124         76837 
     30  27254       tick         76047          1298          6349         76047 
     31  27254       tick         76912          1514          6445         76912 
     32  27254       tick         76155          1371          6198         76155 
     33  27254       tick         76349          1138          6102         76349 
     34  27254       tick         75485          1199          5975         75485 
     35  27254       tick         75319          1407          5598         75319 
     36  27254       tick         75920          1520          6043         75920 
     37  27254       tick         76887          1230          6240         76887 
     38  27254       tick         76299          1640          6409         76299 
     39  27254       tick         76336          1489          6152         76336 
     40  27254       tick         75551          1453          6381         75551 
     41  27254       tick         75083          1465          6250         75083 
     42  27254       tick         77804          1487          6131         77804 
     43  27254       tick         75967          1533          6525         75967 
     44  27254       tick         76844          1311          6293         76844 
     45  27254       tick         76742          1518          6282         76742 
     46  27254       tick         76297          1450          6358         76297 
     47  27254       tick         76291          1570          6303         76291 
     48  27254       exit         15479          2207          1342         15479 
