[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  20970       tick       1302639        865654        433104          6651 
      2  20970       tick       3504391       2336261       1168130         18315 
      3  20970       tick       3510425       2340284       1170141         18370 
      4  20970       tick       3525575       2350384       1175191         18392 
      5  20970       tick       3513367       2342244       1171123         18288 
      6  20970       tick       3506745       2337831       1168914         18298 
      7  20970       tick       3481276       2320851       1160425         18206 
      8  20970       tick       3501637       2334425       1167212         18290 
      9  20970       tick       3520313       2346875       1173438         18288 
     10  20970       tick       3515052       2343367       1171685         18250 
     11  20970       tick       3505235       2336823       1168412         18241 
     12  20970       tick       3523303       2348869       1174434         18374 
     13  20970       tick       3508583       2339056       1169527         18333 
     14  20970       tick       3508986       2339324       1169662         18202 
     15  20970       tick       3512671       2341781       1170890         18140 
     16  20970       tick       3505021       2336680       1168341         18331 
     17  20970       tick       3476427       2317619       1158808         18208 
     18  20970       tick       3498337       2332225       1166112         18283 
     19  20970       tick       3512042       2341362       1170680         18257 
     20  20970       tick       3524744       2349830       1174914         18447 
     21  20970       tick       3510291       2340195       1170096         18337 
     22  20970       tick       3505088       2336726       1168362         18340 
     23  20970       tick       3509857       2339905       1169952         18327 
     24  20970       tick       3521996       2347998       1173998         18430 
     25  20970       tick       3502735       2335156       1167579         18277 
     26  20970       tick       3500151       2333433       1166718         18309 
     27  20970       tick       3487523       2325016       1162507         18237 
     28  20970       tick       3505322       2336881       1168441         18330 
     29  20970       tick       3511074       2340717       1170357         18356 
     30  20970       tick       3509186       2339459       1169727         18228 
     31  20970       tick       3490227       2326817       1163410         18292 
     32  20970       tick       3514513       2343009       1171504         18306 
     33  20970       tick       3499501       2333001       1166500         18302 
     34  20970       tick       3464767       2309846       1154921         18126 
     35  20970       tick       3437388       2291593       1145795         17983 
     36  20970       tick       3466574       2311050       1155524         18125 
     37  20970       tick       3482322       2321548       1160774         18229 
     38  20970       tick       3451937       2301293       1150644         18048 
     39  20970       exit       1217862        811874        405921          6381 
