[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  11555       tick        141238         13407        821719 
      2  11555       tick       1137939            75       2273851 
      3  11555       tick       1136423           101       2270766 
      4  11555       tick       1029184           410       2059925 
      5  11555       tick       1137506           122       2272960 
      6  11555       tick       1137198           123       2272398 
      7  11555       tick       1142115            93       2282200 
      8  11555       tick       1133923           110       2265871 
      9  11555       tick       1139778            81       2277519 
     10  11555       tick       1141292           112       2280527 
     11  11555       tick       1133785           107       2265689 
     12  11555       tick       1141675           109       2281318 
     13  11555       tick       1138992           105       2275964 
     14  11555       tick       1141186           106       2280304 
     15  11555       tick       1139398            98       2276809 
     16  11555       tick       1135397           113       2268790 
     17  11555       tick       1141315            89       2280585 
     18  11555       tick       1138908           104       2275812 
     19  11555       tick       1138915           105       2275840 
     20  11555       tick       1142205            92       2282373 
     21  11555       tick       1136297           115       2270589 
     22  11555       tick       1139800            99       2277564 
     23  11555       tick       1113514           105       2225061 
     24  11555       tick       1167141            97       2332228 
     25  11555       tick       1135088           118       2268123 
     26  11555       tick       1137558           108       2273080 
     27  11555       tick       1142767            97       2283521 
     28  11555       tick       1125448           134       2248952 
     29  11555       tick       1142716            81       2283440 
     30  11555       tick       1141951           105       2281881 
     31  11555       tick       1131304           119       2260735 
     32  11555       tick       1139143           114       2276256 
     33  11555       tick       1141260           101       2280498 
     34  11555       tick       1138397           102       2274721 
     35  11555       tick       1135609            99       2269183 
     36  11555       tick       1138783           106       2275538 
     37  11555       tick       1141045           112       2280018 
     38  11555       tick       1137003           110       2271965 
     39  11555       tick       1139526            86       2277045 
     40  11555       exit        484949           125        968915 
