[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  15672       tick            42       1688203        525002          2141 
      2  15672       tick             0       3637992       1221219            73 
      3  15672       tick             2       3607322       1210824            81 
      4  15672       tick             1       3617518       1214240            66 
      5  15672       tick             1       3613689       1212829            75 
      6  15672       tick             1       3604122       1209680            73 
      7  15672       tick             2       3606408       1210565            83 
      8  15672       tick             4       3602184       1208976            83 
      9  15672       tick             2       3622482       1215960            76 
     10  15672       tick             0       3644102       1223396            65 
     11  15672       tick             1       3647707       1224523            65 
     12  15672       tick             0       3627579       1217647            74 
     13  15672       tick             0       3653831       1226359            71 
     14  15672       tick             1       3645583       1223677            61 
     15  15672       tick             0       3654235       1226480            62 
     16  15672       tick             0       3640602       1221923            77 
     17  15672       tick             0       3640850       1222007            60 
     18  15672       tick             1       3646237       1224052            76 
     19  15672       tick             1       3647386       1224360            63 
     20  15672       tick             0       3642183       1222625            65 
     21  15672       tick             1       3652429       1226061            66 
     22  15672       tick             1       3641188       1222174            68 
     23  15672       tick             0       3631916       1219135            64 
     24  15672       tick             0       3654385       1226616            59 
     25  15672       tick             1       3641539       1222258            63 
     26  15672       tick             0       3641719       1222417            65 
     27  15672       tick             1       3631304       1218720            68 
     28  15672       tick             0       3631225       1218901            85 
     29  15672       tick             0       3649501       1225016            66 
     30  15672       tick             1       3642187       1222391            67 
     31  15672       tick             0       3645726       1223807            64 
     32  15672       tick             0       3640095       1222082            67 
     33  15672       tick             0       3639162       1221541            71 
     34  15672       exit            12       2008374        674033           177 
