[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  13038       tick      60111600        107791      38461363        460026 
      2  13038       tick      58265543        108090      55516212        680722 
      3  13038       tick      61681558        126513      59119969        729006 
      4  13038       tick      59966203        129117      57254723        701921 
      5  13038       tick      60027909        114931      57227166        703047 
      6  13038       tick      60027300        113583      57612656        710033 
      7  13038       tick      59892480        112078      57237912        703531 
      8  13038       tick      60097958        114148      57365383        705753 
      9  13038       tick      60027168        126721      57376963        702778 
     10  13038       tick      60024130        121616      57224596        701917 
     11  13038       tick      59956734        115281      57497434        706260 
     12  13038       tick      59996814        107552      57522433        708621 
     13  13038       tick      59978163        122573      57060205        699360 
     14  13038       tick      59975982        124112      57380239        704427 
     15  13038       tick      60040083        116445      57071541        700973 
     16  13038       tick      60039495        126263      57417013        703770 
     17  13038       tick      60045810        111752      57580658        711412 
     18  13038       tick      59976558        115662      57166274        703210 
     19  13038       tick      60030939        107896      57643209        711801 
     20  13038       tick      60029706        121440      57509785        707516 
     21  13038       tick      60029247        113545      57254275        705326 
     22  13038       tick      59817184        115536      57414499        705417 
     23  13038       tick      60099625        123499      56998841        701511 
     24  13038       tick      59960666        140137      56801435        693077 
     25  13038       tick      60026796        115115      57545177        707926 
     26  13038       tick      60026079        126706      57021365        698553 
     27  13038       tick      60025440        129319      57282677        701391 
     28  13038       tick      60027180        116372      57515104        707001 
     29  13038       tick      59967762        112064      57172419        702048 
     30  13038       tick      60026676        113804      57496595        707405 
     31  13038       tick      60024534        117574      57094902        700319 
     32  13038       tick      59944103        123921      57382800        703279 
     33  13038       tick      59966721        107681      57575831        659249 
     34  13038       tick      59961027        127364      57025032        693159 
     35  13038       tick      60029235        117445      57461857        705883 
     36  13038       tick      60026469        115574      57259572        704639 
     37  13038       tick      59954957        117866      57590690        707840 
     38  13038       tick      60095937        114678      57639413        707571 
     39  13038       tick      59962209        118194      57044518        702709 
     40  13038       tick      60028170        116400      57600544        705388 
     41  13038       tick      60027381        106379      57530407        705035 
     42  13038       tick      59927200        126057      56918530        701958 
     43  13038       tick      59963280        126194      57358337        704841 
     44  13038       tick      60025437        135906      56699202        691097 
     45  13038       tick      59968799        123101      57508783        704921 
     46  13038       tick      60026632        120464      57507146        706146 
     47  13038       tick      60027750        112775      57059416        700882 
     48  13038       tick      60024012        123686      57569328        707356 
     49  13038       tick      59965278        123765      57490085        707173 
     50  13038       tick      60027435        113410      57234855        704547 
     51  13038       tick      60026754        122531      57603421        708067 
     52  13038       tick      59934068        134343      56717915        693341 
     53  13038       tick      60042574        114945      57618237        708632 
     54  13038       tick      59968755        132043      57208103        699839 
     55  13038       tick      59966439        120136      57143960        701098 
     56  13038       tick      60029235        125080      57504501        705348 
     57  13038       tick      60039354        120174      57444867        705495 
     58  13038       tick      60029096        120105      57432814        704621 
     59  13038       tick      59964681        117233      57497979        705921 
     60  13038       tick      60028128        119840      57188467        703446 
     61  13038       tick      60035472        111121      57558988        705784 
     62  13038       tick      58428927        116331      56062767        690057 
     63  13038       tick      61502969        121760      58587293        721439 
     64  13038       tick      59967164        136429      57215228        699287 
     65  13038       tick      59961126        105541      57165069        705917 
     66  13038       tick      60028587        103839      57629681        661050 
     67  13038       tick      60032620        107247      57369284        707547 
     68  13038       tick      59933226        104440      57222111        705692 
     69  13038       tick      59898669        103898      57454061        708107 
     70  13038       tick      60171226        107298      57718258        712133 
     71  13038       tick      60026943        113078      57270357        704882 
     72  13038       tick      59993457        118787      57535710        707193 
     73  13038       tick      59966712        115403      57165154        701660 
     74  13038       tick      59965344        132773      56860469        693123 
     75  13038       tick      59966532        110522      57447807        706543 
     76  13038       tick      60028683        116654      57261314        703798 
     77  13038       tick      60031677        107196      57598800        710275 
     78  13038       tick      60029250        109447      57629601        709612 
     79  13038       tick      60030309        121066      57106985        699624 
     80  13038       tick      59970552        123503      57426214        705990 
     81  13038       tick      60029532        117913      57267936        704952 
     82  13038       tick      59989707        127957      57513839        705254 
     83  13038       tick      59987877        110513      57525924        709363 
     84  13038       tick      59983538        121111      56936771        700069 
     85  13038       tick      59967509        110815      57468679        705527 
     86  13038       tick      60029175        110058      57318932        706875 
     87  13038       tick      60028626        109592      57449191        707680 
     88  13038       tick      60030450        113539      57582041        706904 
     89  13038       tick      60032034        127834      57343491        706143 
     90  13038       tick      59962790        120317      57420918        705467 
     91  13038       tick      60031416        106931      57531023        707774 
     92  13038       tick      60000204        123624      57241923        706125 
     93  13038       tick      59963181        108762      57533118        708759 
     94  13038       tick      59960586        118288      56849275        696422 
     95  13038       tick      60028632        108902      57549768        710427 
     96  13038       tick      59965540        116300      57533106        709130 
     97  13038       tick      60024489        112968      57252858        706334 
     98  13038       tick      60026297        117002      57653182        710420 
     99  13038       tick      59881620        108161      57524846        656966 
    100  13038       tick      60103740        130950      57147979        699544 
    101  13038       tick      59986521        122533      57561016        706274 
    102  13038       tick      60026214        102519      57262767        705303 
    103  13038       tick      59960724        112948      57511609        708550 
    104  13038       tick      60027174        128071      57171989        699614 
    105  13038       exit      28349626         57547      26386361        322987 
