[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  15168       tick       1338259       8691724       8691724       4352124 
      2  15168       tick       2440909      15865803      15865803       8194169 
      3  15168       tick       2445197      15893696      15893696       8257785 
      4  15168       tick       2446356      15901237      15901237       8685494 
      5  15168       tick       2361790      15351523      15351523       8262368 
      6  15168       tick       2463886      16015149      16015149       9239757 
      7  15168       tick       2427070      15775845      15775845       8755551 
      8  15168       tick       2431150      15802392      15802392       8242163 
      9  15168       tick       2445034      15892633      15892633       8120549 
     10  15168       tick       2444296      15887846      15887846       8231468 
     11  15168       tick       2389089      15528937      15528937       8263765 
     12  15168       tick       2419745      15728220      15728220       8741565 
     13  15168       tick       2438164      15847987      15847987       8565006 
     14  15168       tick       2447188      15906642      15906642       8466245 
     15  15168       tick       2439013      15853477      15853477       8197297 
     16  15168       tick       2443766      15884387      15884387       7906325 
     17  15168       tick       2434950      15827063      15827063       8073599 
     18  15168       tick       2434450      15823835      15823835       8463260 
     19  15168       tick       2449366      15920790      15920790       8240895 
     20  15168       tick       2433964      15820667      15820667       8166374 
     21  15168       tick       2437890      15846177      15846177       8214646 
     22  15168       tick       2439170      15854498      15854498       8137297 
     23  15168       tick       2444308      15887923      15887923       8647969 
     24  15168       tick       2443683      15883837      15883837       8002347 
     25  15168       tick       2443021      15879531      15879531       8111135 
     26  15168       tick       2443400      15881997      15881997       7975748 
     27  15168       tick       2429516      15791753      15791753       8105763 
     28  15168       tick       2429588      15792217      15792217       8013367 
     29  15168       tick       2447339      15907612      15907612       8072968 
     30  15168       tick       2446042      15899195      15899195       7938409 
     31  15168       tick       2433973      15820709      15820709       8093623 
     32  15168       tick       2439665      15857720      15857720       8174333 
     33  15168       tick       2438359      15849239      15849239       8372151 
     34  15168       tick       2441125      15867225      15867225       8263138 
     35  15168       tick       2443601      15883321      15883321       8087895 
     36  15168       tick       2443520      15882796      15882796       8181931 
     37  15168       exit       1404507       9129009       9129009       4743750 
