[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  16875       tick       8977879       4435170       2941131          1012 
      2  16875       tick      20243772      13997188       4322651            75 
      3  16875       tick      26479719      21406054       3726921           120 
      4  16875       tick      26417709      21355393       3718666           116 
      5  16875       tick      26473970      21400999       3726515           126 
      6  16875       tick      26354834      21304964       3709466           128 
      7  16875       tick      25853779      20899694       3639130           150 
      8  16875       tick      26493869      21417544       3728870           142 
      9  16875       tick      26401718      21342493       3716432           123 
     10  16875       tick      26377024      21322927       3712567           129 
     11  16875       tick      26409391      21348633       3717530           136 
     12  16875       tick      26500836      21423166       3729856           143 
     13  16875       tick      26455530      21386063       3723936           133 
     14  16875       tick      26308300      21267284       3702983           108 
     15  16875       tick      26321164      21277239       3705181           129 
     16  16875       tick      26467548      21396222       3725204           102 
     17  16875       tick      26502255      21423882       3730466           108 
     18  16875       tick      26461542      21391343       3724385           108 
     19  16875       tick      26469672      21397453       3725931           111 
     20  16875       tick      26464128      21393019       3725147           114 
     21  16875       tick      26502855      21424814       3730128           112 
     22  16875       tick      26409627      21348845       3717544           129 
     23  16875       tick      26490024      21413999       3728748           112 
     24  16875       tick      26397185      21339221       3715409           123 
     25  16875       tick      26513815      21433225       3732070           132 
     26  16875       tick      26444154      21377281       3721939           118 
     27  16875       tick      26533034      21448791       3734778           113 
     28  16875       tick      26436983      21371011       3721350           116 
     29  16875       tick      26531605      21447702       3734542           121 
     30  16875       tick      26489450      21413880       3728300           116 
     31  16875       tick      26462445      21391602       3724920           124 
     32  16875       tick      26476672      21403601       3726491           119 
     33  16875       tick      26443731      21376498       3722304           115 
     34  16875       tick      26275172      21240469       3698347           151 
     35  16875       tick      26379692      21324737       3713314           109 
     36  16875       tick      26535559      21451147       3734758            80 
     37  16875       tick      26524381      21441799       3733560           107 
     38  16875       tick      26456157      21386541       3724022           107 
     39  16875       tick      26422338      21359591       3718913           113 
     40  16875       tick      26467849      21396028       3725669            98 
     41  16875       tick      26485605      21410428       3728115           114 
     42  16875       tick      26521964      21440228       3732823            87 
     43  16875       tick      26476312      21402873       3726855           110 
     44  16875       tick      26443544      21376785       3721855           109 
     45  16875       tick      26477621      21403892       3727035           100 
     46  16875       tick      26490243      21414164       3728795            74 
     47  16875       tick      26523825      21441306       3733485           102 
     48  16875       tick      26360971      21309931       3710328           122 
     49  16875       tick      26530578      21446818       3734424            99 
     50  16875       tick      26499238      21421869       3729636            96 
     51  16875       tick      26470198      21397880       3726003           102 
     52  16875       tick      26457400      21387562       3724216           103 
     53  16875       tick      26502074      21424169       3730029            78 
     54  16875       tick      26307911      21266509       3703332           108 
     55  16875       tick      26403994      21344755       3716341           101 
     56  16875       tick      26504431      21425648       3730775           106 
     57  16875       tick      26461603      21391395       3724384            85 
     58  16875       tick      26384760      21328713       3714072           111 
     59  16875       tick      26518810      21437320       3732756            93 
     60  16875       tick      26509397      21430070       3731070            88 
     61  16875       tick      26453739      21384543       3723720            86 
     62  16875       tick      26469141      21397109       3725824           113 
     63  16875       tick      26499907      21422406       3729733           110 
     64  16875       tick      26218547      21194620       3690440           127 
     65  16875       tick      26563740      21473628       3739057           109 
     66  16875       tick      26430968      21366166       3720522            95 
     67  16875       tick      26523849      21441795       3733072           106 
     68  16875       tick      26470837      21398387       3726100           109 
     69  16875       tick      26538384      21453161       3735497            80 
     70  16875       tick      26484209      21409228       3727956            80 
     71  16875       tick      25978242      21000547       3656471           101 
     72  16875       tick      26894901      21741295       3785713           102 
     73  16875       tick      26466818      21395616       3725111           128 
     74  16875       tick      26263874      21231300       3696792           138 
     75  16875       tick      26359882      21308587       3710587           119 
     76  16875       tick      26508519      21429396       3730922           119 
     77  16875       tick      26440659      21374003       3721882            69 
     78  16875       tick      26519329      21437657       3732864           100 
     79  16875       tick      26435167      21369991       3720694           110 
     80  16875       tick      26507231      21427948       3731141           101 
     81  16875       tick      26433281      21368034       3720833           102 
     82  16875       tick      26389566      21333015       3714355            96 
     83  16875       tick      26505230      21426313       3730873            88 
     84  16875       tick      26307603      21266725       3702876           111 
     85  16875       tick      26494556      21417611       3729397            88 
     86  16875       tick      26417578      21355740       3718246           108 
     87  16875       tick      26407116      21347301       3716763           119 
     88  16875       tick      26459013      21388878       3724424           107 
     89  16875       tick      26441962      21375019       3722069           109 
     90  16875       tick      26546833      21460409       3736271            80 
     91  16875       tick      26386798      21330415       3714353           114 
     92  16875       tick      26435654      21370399       3720753           120 
     93  16875       tick      26474926      21401702       3726668            92 
     94  16875       tick      25531596      20639350       3593706            91 
     95  16875       tick      27140984      21940129       3820466            95 
     96  16875       tick      26480251      21406472       3727003            81 
     97  16875       tick      26404749      21344913       3716850            77 
     98  16875       tick      26547819      21460780       3736829            78 
     99  16875       tick      26474628      21401951       3726195            77 
    100  16875       tick      26534727      21450124       3735013            73 
    101  16875       exit       7327423       5900337       1032541           124 
