[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  12940       tick       3980027      40723984      40723984      24015703 
      2  12940       tick       1909785      78858477      78858477      36946212 
      3  12940       tick        441245      86937329      86937329      37969260 
      4  12940       tick        439144      86555316      86555316      37801306 
      5  12940       tick        438269      86347486      86347486      37708907 
      6  12940       tick        440572      86799813      86799813      37909505 
      7  12940       tick        442084      87126291      87126291      38053448 
      8  12940       tick        440793      86845288      86845288      37930084 
      9  12940       tick        441489      87004778      87004778      38000242 
     10  12940       tick        442139      87119667      87119667      38051355 
     11  12940       tick        441635      87034128      87034128      38012584 
     12  12940       tick        440748      86836888      86836888      37926691 
     13  12940       tick        429463      84624963      84624963      36959355 
     14  12940       tick        450874      88873981      88873981      38814126 
     15  12940       tick        442418      87148066      87148066      38063569 
     16  12940       tick        440491      86829705      86829705      37922616 
     17  12940       tick        441513      86983905      86983905      37990974 
     18  12940       tick        440843      86881287      86881287      37945844 
     19  12940       tick        442279      87119267      87119267      38051494 
     20  12940       tick        440375      86807034      86807034      37912393 
     21  12940       tick        440613      86808626      86808626      37914421 
     22  12940       tick        442066      87122361      87122361      38051586 
     23  12940       tick        440614      86808711      86808711      37913410 
     24  12940       tick        441305      86967228      86967228      37983656 
     25  12940       tick        442091      87095941      87095941      38041417 
     26  12940       tick        441578      86990461      86990461      37994159 
     27  12940       tick        441525      87011399      87011399      38003522 
     28  12940       tick        441745      87040002      87040002      38015287 
     29  12940       tick        441194      86944288      86944288      37972712 
     30  12940       tick        442383      87169824      87169824      38073004 
     31  12940       tick        440889      86881856      86881856      37945615 
     32  12940       tick        441711      87032825      87032825      38013053 
     33  12940       tick        441864      87081229      87081229      38034062 
     34  12940       tick        440892      86865594      86865594      37938630 
     35  12940       tick        440876      86879267      86879267      37944038 
     36  12940       tick        441564      87002541      87002541      37999633 
     37  12940       tick        441322      86970925      86970925      37984892 
     38  12940       tick        441950      87081328      87081328      38034154 
     39  12940       tick        441726      87052929      87052929      38021521 
     40  12940       tick        441962      87083824      87083824      38036254 
     41  12940       tick        440469      86796826      86796826      37908640 
     42  12940       tick        442491      87191994      87191994      38082955 
     43  12940       tick        439754      86649933      86649933      37843903 
     44  12940       tick        439263      86532680      86532680      37789302 
     45  12940       tick        442499      87211115      87211115      38090830 
     46  12940       tick        435440      85798555      85798555      37473156 
     47  12940       tick        447731      88233314      88233314      38536720 
     48  12940       tick        442508      87194663      87194663      38083705 
     49  12940       tick        441979      87105311      87105311      38044966 
     50  12940       tick        442658      87196503      87196503      38084165 
     51  12940       tick        441558      87001615      87001615      37999406 
     52  12940       tick        441816      87071454      87071454      38029724 
     53  12940       tick        441583      87006371      87006371      38001659 
     54  12940       tick        439816      86663092      86663092      37849015 
     55  12940       tick        442518      87197900      87197900      38086578 
     56  12940       tick        442194      87148331      87148331      38064070 
     57  12940       tick        441723      87034878      87034878      38014730 
     58  12940       tick        442223      87154680      87154680      38067019 
     59  12940       tick        441713      87032936      87032936      38014018 
     60  12940       tick        441041      86913763      86913763      37961065 
     61  12940       tick        441448      86978768      86978768      37989652 
     62  12940       tick        441244      86954537      86954537      37978597 
     63  12940       tick        440040      86691566      86691566      37863403 
     64  12940       tick        439396      86577318      86577318      37810404 
     65  12940       tick        442371      87167383      87167383      38072273 
     66  12940       tick        442379      87186783      87186783      38081392 
     67  12940       tick        441430      86974731      86974731      37987818 
     68  12940       tick        441658      87039896      87039896      38016408 
     69  12940       tick        431241      84970668      84970668      37113244 
     70  12940       tick        451140      88898701      88898701      38826754 
     71  12940       tick        440381      86760759      86760759      37892261 
     72  12940       tick        440808      86866180      86866180      37939200 
     73  12940       tick        440693      86824792      86824792      37921283 
     74  12940       tick        439441      86586261      86586261      37814184 
     75  12940       tick        442319      87157099      87157099      38068319 
     76  12940       tick        441361      86978172      86978172      37988568 
     77  12940       tick        440784      86842824      86842824      37929898 
     78  12940       tick        442527      87216957      87216957      38093717 
     79  12940       tick        441286      86945644      86945644      37975920 
     80  12940       tick        441154      86936033      86936033      37969690 
     81  12940       tick        441577      87004968      87004968      38000725 
     82  12940       tick        441455      86997875      86997875      37997882 
     83  12940       tick        438506      86425444      86425444      37744417 
     84  12940       tick        439808      86643857      86643857      37840859 
     85  12940       tick        441809      87070014      87070014      38029956 
     86  12940       tick        440996      86886950      86886950      37949290 
     87  12940       tick        439985      86697541      86697541      37864069 
     88  12940       exit        409826      59815064      59815064      26256488 
