[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   8164       tick        682445      83020725      83020725      32027288 
      2   8164       tick        638250      87629684      87629684      33649433 
      3   8164       tick        636891      87445292      87445292      33582188 
      4   8164       tick        637026      87459782      87459782      33587624 
      5   8164       tick        635946      87311863      87311863      33530608 
      6   8164       tick        635010      87184726      87184726      33479606 
      7   8164       tick        635211      87214315      87214315      33492067 
      8   8164       tick        637080      87469829      87469829      33592801 
      9   8164       tick        636883      87439521      87439521      33580395 
     10   8164       tick        637944      87588019      87588019      33638535 
     11   8164       tick        636739      87422747      87422747      33574287 
     12   8164       tick        633680      87004814      87004814      33409910 
     13   8164       tick        634957      87174082      87174082      33474634 
     14   8164       tick        638196      87622584      87622584      33650607 
     15   8164       tick        634561      87122138      87122138      33457668 
     16   8164       tick        635390      87239871      87239871      33500900 
     17   8164       tick        633283      86943818      86943818      33385469 
     18   8164       tick        636594      87403443      87403443      33564194 
     19   8164       tick        634256      87083738      87083738      33440953 
     20   8164       tick        637170      87480808      87480808      33595593 
     21   8164       tick        635712      87278825      87278825      33516303 
     22   8164       tick        636227      87353490      87353490      33546714 
     23   8164       tick        636297      87363051      87363051      33549985 
     24   8164       tick        638052      87602383      87602383      33643532 
     25   8164       tick        636326      87364937      87364937      33551279 
     26   8164       tick        635712      87280035      87280035      33516966 
     27   8164       tick        635615      87268015      87268015      33512217 
     28   8164       tick        636370      87372786      87372786      33554156 
     29   8164       tick        637044      87462518      87462518      33588519 
     30   8164       tick        636144      87339763      87339763      33539999 
     31   8164       tick        634399      87100097      87100097      33449194 
     32   8164       tick        638000      87600212      87600212      33641972 
     33   8164       tick        635226      87211436      87211436      33490117 
     34   8164       tick        636198      87348396      87348396      33544542 
     35   8164       tick        637872      87577907      87577907      33633235 
     36   8164       tick        634220      87078054      87078054      33437481 
     37   8164       tick        630366      86543144      86543144      33229263 
     38   8164       tick        636668      87415468      87415468      33569857 
     39   8164       tick        635316      87226554      87226554      33496268 
     40   8164       tick        638070      87603820      87603820      33643847 
     41   8164       tick        635515      87254290      87254290      33506486 
     42   8164       tick        633860      87029214      87029214      33421857 
     43   8164       tick        637113      87471640      87471640      33590927 
     44   8164       tick        637839      87573987      87573987      33632099 
     45   8164       tick        638124      87611594      87611594      33645931 
     46   8164       tick        635676      87276004      87276004      33515994 
     47   8164       tick        637192      87484205      87484205      33596689 
     48   8164       tick        637005      87458081      87458081      33586931 
     49   8164       tick        635048      87192471      87192471      33482503 
     50   8164       tick        637188      87483506      87483506      33596333 
     51   8164       tick        637440      87517436      87517436      33610552 
     52   8164       tick        635910      87306781      87306781      33527611 
     53   8164       tick        635352      87231290      87231290      33497108 
     54   8164       tick        638099      87610825      87610825      33645930 
     55   8164       tick        638187      87623728      87623728      33650715 
     56   8164       tick        635785      87288811      87288811      33520633 
     57   8164       tick        637369      87507779      87507779      33606745 
     58   8164       tick        634614      87130557      87130557      33459195 
     59   8164       tick        635624      87271648      87271648      33513689 
     60   8164       tick        637980      87593383      87593383      33639797 
     61   8164       tick        637026      87460560      87460560      33587604 
     62   8164       tick        635190      87208298      87208298      33489803 
     63   8164       tick        636936      87448789      87448789      33583497 
     64   8164       tick        635928      87308971      87308971      33528101 
     65   8164       tick        637998      87595908      87595908      33640298 
     66   8164       tick        637640      87548648      87548648      33621528 
     67   8164       tick        637098      87470366      87470366      33591946 
     68   8164       tick        636595      87402299      87402299      33566376 
     69   8164       tick        633318      86951557      86951557      33390950 
     70   8164       tick        638466      87658853      87658853      33664087 
     71   8164       tick        636687      87418397      87418397      33571131 
     72   8164       tick        635424      87240694      87240694      33503088 
     73   8164       tick        634884      87164249      87164249      33472023 
     74   8164       tick        638160      87617811      87617811      33648801 
     75   8164       tick        637314      87501959      87501959      33603251 
     76   8164       tick        635822      87299078      87299078      33523323 
     77   8164       tick        637280      87496823      87496823      33601909 
     78   8164       tick        636269      87354491      87354491      33546329 
     79   8164       tick        636054      87328624      87328624      33537287 
     80   8164       tick        638250      87629365      87629365      33653728 
     81   8164       tick        637278      87494680      87494680      33602059 
     82   8164       tick        635579      87264812      87264812      33512892 
     83   8164       tick        637791      87568627      87568627      33629702 
     84   8164       exit        504167      68669398      68669398      26378792 
