[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  17250       tick       3511648         14383        946587          4236 
      2  17250       tick             0             0             0             0 
      3  17250       tick             0             0             0             0 
      4  17250       tick             0             0             0             0 
      5  17250       tick             0             0             0             0 
      6  17250       tick             0             0             0             0 
      7  17250       tick             0             0             0             0 
      8  17250       tick             0             0             0             0 
      9  17250       tick             0             0             0             0 
     10  17250       tick             0             0             0             0 
     11  17250       tick             0             0             0             0 
     12  17250       tick             0             0             0             0 
     13  17250       tick             0             0             0             0 
     14  17250       tick             0             0             0             0 
     15  17250       tick             0             0             0             0 
     16  17250       tick             0             0             0             0 
     17  17250       tick             0             0             0             0 
     18  17250       tick             0             0             0             0 
     19  17250       tick             0             0             0             0 
     20  17250       exit        522933           794         23538           106 
