[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  22567       tick      97476539         15014      86773149          9904 
      2  22567       tick     102743132          4916      94431130          9214 
      3  22567       tick     100001928          5056      92090617          8457 
      4  22567       tick     100000968          5114      91949086          8650 
      5  22567       tick     100028376          4344      92114130          6697 
      6  22567       tick     100029963          3416      92089323          6425 
      7  22567       tick     100034944          4328      92122174          6591 
      8  22567       tick     100031933          4029      92167979          6484 
      9  22567       tick      99897577          4240      91980228          6645 
     10  22567       tick     100050551          3818      92140913          6534 
     11  22567       tick      99966590          5450      91992805          6630 
     12  22567       tick     100029402          3841      92177391          6371 
     13  22567       tick     100001018          4383      92070876          6485 
     14  22567       tick     100003328          4248      92112133          6617 
     15  22567       tick     100030137          4404      92146065          6460 
     16  22567       tick     100027547          4061      92196433          6470 
     17  22567       tick     100030944          4456      92133431          6511 
     18  22567       tick     100029300          4115      92164314          6398 
     19  22567       tick     100029855          3829      92150971          6552 
     20  22567       tick     100029410          4090      92181449          6562 
     21  22567       tick      99976695          3942      92094076          6550 
     22  22567       tick     100030258          4101      92142379          6407 
     23  22567       tick     100004979          4044      92094107          6479 
     24  22567       tick     100002146          3892      92134372          6499 
     25  22567       tick     100029276          4256      92207511          6600 
     26  22567       tick     100027190          4060      92149791          6451 
     27  22567       tick     100030920          4020      92163115          6507 
     28  22567       tick     100029260          3956      92178976          6455 
     29  22567       tick      97699026          3896      90006142          6387 
     30  22567       tick     102196851          4568      94019709          6686 
     31  22567       tick      99980082          4395      92048354          6502 
     32  22567       tick     100030356          4258      92169603          6451 
     33  22567       tick     100004397          3964      92163201          6473 
     34  22567       tick     100002710          3955      92104786          6523 
     35  22567       tick     100030849          4163      92183806          6574 
     36  22567       tick     100028535          4031      92094790          6514 
     37  22567       tick     100032810          4179      92215559          6614 
     38  22567       tick     100030695          4264      92174767          6535 
     39  22567       tick     100030480          3805      92166380          6396 
     40  22567       tick     100001440          4464      92114473          6446 
     41  22567       tick      99998977          4180      92066987          6523 
     42  22567       tick     100028999          4145      92215174          6442 
     43  22567       exit      47776181          5040      43531719          3127 
