[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  26769       tick          3255         78132       1316187 
      2  26769       tick          2191         69875       1259544 
      3  26769       tick          1216         69887       1260092 
      4  26769       tick          1064         69878       1259792 
      5  26769       tick           902         70020       1262650 
      6  26769       tick           887         69953       1261129 
      7  26769       tick           977         69963       1261389 
      8  26769       tick           884         69913       1260127 
      9  26769       tick          1007         69952       1261130 
     10  26769       tick          1043         70032       1262472 
     11  26769       tick          1121         69970       1261148 
     12  26769       tick           982         69987       1261727 
     13  26769       tick          1093         69998       1261736 
     14  26769       tick          1071         70017       1262121 
     15  26769       tick           953         70034       1262341 
     16  26769       tick           821         70012       1262100 
     17  26769       tick           875         70027       1262250 
     18  26769       tick          1098         69772       1257296 
     19  26769       tick          1011         69934       1260480 
     20  26769       tick          1157         69981       1261656 
     21  26769       tick          1043         69986       1261721 
     22  26769       tick          1052         70001       1261618 
     23  26769       tick          1076         69971       1261573 
     24  26769       tick          1037         69999       1261869 
     25  26769       tick          1079         70025       1262124 
     26  26769       tick          1000         70024       1262255 
     27  26769       tick          1060         70008       1261960 
     28  26769       tick          1106         69978       1261286 
     29  26769       tick          1068         69935       1260680 
     30  26769       tick          1030         70008       1262113 
     31  26769       tick          1019         67546       1217424 
     32  26769       tick          1132         72382       1304797 
     33  26769       tick          1157         69957       1261069 
     34  26769       tick          1030         70007       1261892 
     35  26769       tick          1080         70016       1262127 
     36  26769       tick          1087         69911       1260607 
     37  26769       tick          1070         70054       1263186 
     38  26769       tick          1086         69792       1258113 
     39  26769       tick          1102         69980       1260986 
     40  26769       tick          1082         69988       1261540 
     41  26769       tick          1055         69922       1260278 
     42  26769       tick          1044         70023       1262358 
     43  26769       exit          1194         31924        571879 
