[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1   6621       tick          7110        754784      20398600 
      2   6621       tick          2873        946630      25417136 
      3   6621       tick          2613        937286      25408651 
      4   6621       tick          2470        945752      25452833 
      5   6621       tick          2914        936034      25396201 
      6   6621       tick          2661        941102      25444349 
      7   6621       tick          2973        944471      25406657 
      8   6621       tick          3046        937851      25387377 
      9   6621       tick          2745        944048      25407536 
     10   6621       tick          2602        941021      25375490 
     11   6621       tick          2610        946139      25412586 
     12   6621       tick          2705        940386      25369672 
     13   6621       tick          2395        945737      25434458 
     14   6621       tick          2920        943462      25439608 
     15   6621       tick          2645        941783      25409959 
     16   6621       tick          2640        946683      25418305 
     17   6621       tick          2901        941495      25408908 
     18   6621       tick          2657        945024      25420348 
     19   6621       tick          2315        936846      25409172 
     20   6621       tick          2435        946697      25441115 
     21   6621       tick          2794        938335      25405874 
     22   6621       tick          2587        943733      25444578 
     23   6621       tick          2925        947316      25407015 
     24   6621       tick          2361        942127      25410935 
     25   6621       tick          2523        945288      25445133 
     26   6621       tick          2695        937659      25407223 
     27   6621       tick          2910        943958      25431621 
     28   6621       tick          2383        943250      25366206 
     29   6621       tick          2373        947420      25408195 
     30   6621       tick          2140        944982      25437949 
     31   6621       tick          2589        939044      25415249 
     32   6621       tick          2356        948781      25403838 
     33   6621       tick          2675        939017      25409039 
     34   6621       tick          2869        945086      25439287 
     35   6621       tick          2669        940499      25400065 
     36   6621       tick          2620        943824      25405638 
     37   6621       tick          2684        938483      25406770 
     38   6621       exit          1321        254095       6795830 
