[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  12569       tick     140394275      11011838      88625396       1415284 
      2  12569       tick     140170541      16979455     138080100       2136847 
      3  12569       tick     139516921      16954584     137781387       2122842 
      4  12569       tick     140481234      17085923     138696985       2140456 
      5  12569       tick     139961756      17002992     138188822       2131580 
      6  12569       tick     139852525      16968248     137841147       2124627 
      7  12569       tick     140050107      17012730     138342945       2129286 
      8  12569       tick     140052816      16991284     138289058       2126809 
      9  12569       tick     140052767      17000310     138304323       2127776 
     10  12569       tick     140053424      17014718     138307797       2129579 
     11  12569       tick     140051716      17026186     138314385       2131176 
     12  12569       tick     140050851      17008389     138328868       2128772 
     13  12569       tick     140006217      16987345     138184327       2127595 
     14  12569       tick     140008194      16990613     138174178       2128588 
     15  12569       tick     137362498      16680492     135648780       2090493 
     16  12569       tick     142662216      17308236     140796586       2167230 
     17  12569       tick     140056039      17007418     138302391       2131320 
     18  12569       tick     140050940      17033295     138293528       2132403 
     19  12569       tick     140056369      17040583     138330764       2134164 
     20  12569       tick     140053129      16994535     138312153       2127013 
     21  12569       exit     134206213      15542953     126488851       1945358 
