[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  13024       tick     139931028      13391989      90207835       1710800 
      2  13024       tick     140382996      21384295     138593734       2675947 
      3  13024       tick     140061366      21364208     138332763       2673507 
      4  13024       tick     140061938      21332246     138357500       2669451 
      5  13024       tick     140024691      21326978     138276606       2669247 
      6  13024       tick     140023947      21321351     138266701       2668670 
      7  13024       tick     140066120      21332897     138349274       2669482 
      8  13024       tick     139990351      21339716     138194582       2671345 
      9  13024       tick     140070072      21350820     138362035       2671733 
     10  13024       tick     140024375      21244273     138177299       2662441 
     11  13024       tick     140035505      21283372     138281980       2663866 
     12  13024       tick     140063839      21333607     138378423       2669594 
     13  13024       tick     140063368      21302515     138356781       2665810 
     14  13024       tick     140066204      21320102     138365480       2667971 
     15  13024       tick     140031287      21266953     138241581       2664839 
     16  13024       tick     140030585      21167826     138075736       2658329 
     17  13024       tick     140064582      21156258     138107231       2658976 
     18  13024       tick     139990265      21239607     138050683       2664166 
     19  13024       tick     140067947      21298613     138365594       2665155 
     20  13024       tick     140041764      21230834     138199026       2664759 
     21  13024       tick     139902780      21121944     137692985       2654818 
     22  13024       tick     140065453      20792964     135609889       2611731 
     23  13024       exit       3594350             0             0             0 
