[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  12236       tick     139783355         74797     107127429         12154 
      2  12236       tick     140581422          1595     134062130          9276 
      3  12236       tick     140001840          1547     133485133          9304 
      4  12236       tick     140035844          1183     133606984          8997 
      5  12236       tick     140039333          1492     133659912          9189 
      6  12236       tick     140033909          1224     133634447          9197 
      7  12236       tick     140037148          1280     133735670          9269 
      8  12236       tick     140004626          1359     133505274          9326 
      9  12236       tick     140038224          1352     133718851          9221 
     10  12236       tick     139885506          1212     133392515          9360 
     11  12236       tick     140006580          1420     133627700          9217 
     12  12236       tick     140007329          1624     133657919          9332 
     13  12236       tick     140035866          1397     133686913          9502 
     14  12236       tick     139972001          1268     133632375          9333 
     15  12236       tick     140013797          1520     133556227          9461 
     16  12236       tick     140036829          1560     133685428          9234 
     17  12236       tick     140037712          1456     133702780          9548 
     18  12236       tick     140037505          1372     133748731          9462 
     19  12236       tick     140037699          1267     133732569          9271 
     20  12236       tick     140037965          1377     133741928          9343 
     21  12236       tick     140036505          1252     133713945          9229 
     22  12236       tick     140001577          1209     133707111          9309 
     23  12236       tick     140005444          1256     133680768          9116 
     24  12236       tick     140038961          1365     133730769          9101 
     25  12236       tick     136222387          1596     130005357          8886 
     26  12236       tick     143756870          1440     137193406          9384 
     27  12236       tick     140038777          1224     133738107          9065 
     28  12236       tick     140035722          1248     133750997          9312 
     29  12236       tick     140036947          1480     133681961          9210 
     30  12236       tick     139881131          1473     133434883          9274 
     31  12236       exit     124509610         11361     117729651          9569 
