[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  29177       tick          1399      56471463       1774586          5006 
      2  29177       tick           814      68927458       2178233          3410 
      3  29177       tick           860      69060362       2189438          3325 
      4  29177       tick           863      68940452       2176118          3431 
      5  29177       tick           823      68903541       2178394          3410 
      6  29177       tick           808      68955835       2182539          3316 
      7  29177       tick           847      68935813       2181108          3487 
      8  29177       tick           834      68905185       2172447          3393 
      9  29177       tick           856      68875136       2173893          3446 
     10  29177       tick           864      69010818       2185455          3395 
     11  29177       tick           883      68962963       2182923          3323 
     12  29177       tick           828      68967528       2176259          3402 
     13  29177       tick           835      68910693       2177807          3385 
     14  29177       tick           837      69134095       2186342          3363 
     15  29177       tick           823      68990034       2181130          3358 
     16  29177       tick           808      68884690       2174869          3415 
     17  29177       tick           811      68986347       2183096          3388 
     18  29177       tick           859      69059309       2180519          3368 
     19  29177       tick           838      69037433       2181114          3425 
     20  29177       tick           829      68964420       2174508          3412 
     21  29177       tick           841      68863013       2180147          3354 
     22  29177       tick           808      69016007       2179511          3440 
     23  29177       tick           778      68926026       2175842          3365 
     24  29177       tick           843      68818969       2171151          3495 
     25  29177       tick           817      68864894       2178968          3413 
     26  29177       tick           804      68959382       2181142          3479 
     27  29177       tick           821      68826662       2170346          3527 
     28  29177       tick           852      68865951       2177549          3468 
     29  29177       tick           826      68943668       2179099          3481 
     30  29177       tick           838      68878072       2174904          3465 
     31  29177       tick           810      68739876       2176005          3468 
     32  29177       tick           805      68982404       2180170          3382 
     33  29177       exit           566      34624357       1091066          2219 
