[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   4407       tick         15029           459           133         15029 
      2   4407       tick             0             0             0             0 
      3   4407       tick             0             0             0             0 
      4   4407       tick             0             0             0             0 
      5   4407       tick             0             0             0             0 
      6   4407       tick             0             0             0             0 
      7   4407       tick             0             0             0             0 
      8   4407       tick             0             0             0             0 
      9   4407       tick             0             0             0             0 
     10   4407       tick             0             0             0             0 
     11   4407       tick             0             0             0             0 
     12   4407       tick             0             0             0             0 
     13   4407       tick             0             0             0             0 
     14   4407       tick             0             0             0             0 
     15   4407       tick             0             0             0             0 
     16   4407       tick             0             0             0             0 
     17   4407       tick             0             0             0             0 
     18   4407       tick             0             0             0             0 
     19   4407       tick             0             0             0             0 
     20   4407       exit           424            21             3           424 
