[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  10512       tick     124723019         73001     112317603         18981 
      2  10512       tick     152243196          2195     144862414         21484 
      3  10512       tick     150036668          2146     142812566         21119 
      4  10512       tick     149880135          2084     142504432         21324 
      5  10512       tick     150041203          1478     142824559         21243 
      6  10512       tick     150039320          1612     142804638         21347 
      7  10512       tick     150006164          2357     142700489         21105 
      8  10512       tick     150006239          2138     142564680         21114 
      9  10512       tick     150002672          1950     142787972         21371 
     10  10512       tick     150005428          1708     142832789         20994 
     11  10512       tick     150008105          1654     142739055         21057 
     12  10512       tick     150039848          2056     142861908         21360 
     13  10512       tick     150038561          1969     142866413         21148 
     14  10512       tick     150040538          2009     142898605         21455 
     15  10512       tick     150038231          1637     142855493         21382 
     16  10512       tick     149999907          1428     142832694         21367 
     17  10512       tick     150002556          1505     142752622         20988 
     18  10512       tick     150037580          1864     142833981         20989 
     19  10512       tick     150006504          1792     142781435         20939 
     20  10512       tick     150004158          2264     142636283         20947 
     21  10512       tick     150004767          1962     142664456         20872 
     22  10512       tick     150037138          2552     142749372         21100 
     23  10512       tick     150036327          2408     142809282         20865 
     24  10512       tick     149884242          2192     142519599         21030 
     25  10512       tick     150039941          1873     142734104         21083 
     26  10512       tick     150007249          2092     142661507         20989 
     27  10512       tick     150006005          2095     142769529         21140 
     28  10512       tick     144088682          1702     137208040         20534 
     29  10512       exit      46618701         10900      43455650          7702 
