[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  29435       tick           370          2379      34781503 
      2  29435       tick             0             3      35392391 
      3  29435       tick             0             3      35275792 
      4  29435       tick             0             0      35298300 
      5  29435       tick             0             1      35311579 
      6  29435       tick             0             1      35318226 
      7  29435       tick             0             1      35314552 
      8  29435       tick             0             3      35234184 
      9  29435       tick             0             1      35296337 
     10  29435       tick             0             1      35292547 
     11  29435       tick             0             0      35299355 
     12  29435       tick             0             1      35268735 
     13  29435       tick             0             1      35307833 
     14  29435       tick             0             0      35294488 
     15  29435       tick             0             1      35304993 
     16  29435       tick             0             1      35296671 
     17  29435       tick             0             1      35297326 
     18  29435       tick             0             0      35271346 
     19  29435       tick             0             0      35260442 
     20  29435       tick             0             1      35250078 
     21  29435       tick             0             5      35250729 
     22  29435       tick             0             0      35268182 
     23  29435       tick             0             0      35285847 
     24  29435       tick             0             1      35288980 
     25  29435       exit            46            93      33571506 
