[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   6849       tick      15649435             0             0         48558 
      2   6849       tick      22152357             0             0         45158 
      3   6849       tick      22151583             0             0         45135 
      4   6849       tick      22173018             0             0         45200 
      5   6849       tick      22146224             0             0         45146 
      6   6849       tick      22075081             0             0         45018 
      7   6849       tick      22154571             0             0         45167 
      8   6849       tick      22146578             0             0         45153 
      9   6849       tick      22121306             0             0         45096 
     10   6849       tick      22160496             0             0         45175 
     11   6849       tick      22132685             0             0         45121 
     12   6849       tick      22146424             0             0         45149 
     13   6849       tick      22144039             0             0         45144 
     14   6849       tick      22148814             0             0         45151 
     15   6849       tick      22132650             0             0         45121 
     16   6849       tick      22135300             0             0         45126 
     17   6849       tick      21531412             0             0         43894 
     18   6849       tick      22741624             0             0         46360 
     19   6849       exit       4007077             0             0          8205 
