[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   7561       tick        161173             0             0          1970 
      2   7561       tick             0             0             0             0 
      3   7561       tick             0             0             0             0 
      4   7561       tick             0             0             0             0 
      5   7561       tick             0             0             0             0 
      6   7561       tick             0             0             0             0 
      7   7561       tick             0             0             0             0 
      8   7561       tick             0             0             0             0 
      9   7561       tick             0             0             0             0 
     10   7561       tick             0             0             0             0 
     11   7561       tick             0             0             0             0 
     12   7561       tick             0             0             0             0 
     13   7561       tick             0             0             0             0 
     14   7561       tick             0             0             0             0 
     15   7561       tick             0             0             0             0 
     16   7561       tick             0             0             0             0 
     17   7561       tick             0             0             0             0 
     18   7561       tick             0             0             0             0 
     19   7561       tick             0             0             0             0 
     20   7561       exit          1315             0             0            47 
