[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  25211       tick      74441079             0             0       1093309 
      2  25211       tick      88306252             0             0       1296727 
      3  25211       tick      88236422             0             0       1294901 
      4  25211       tick      88186123             0             0       1309640 
      5  25211       tick      88012285             0             0       1310535 
      6  25211       tick      88519691             0             0       1312072 
      7  25211       tick      87824989             0             0       1301912 
      8  25211       tick      88628963             0             0       1320569 
      9  25211       tick      88351872             0             0       1307909 
     10  25211       tick      88183149             0             0       1315405 
     11  25211       tick      88270139             0             0       1315154 
     12  25211       tick      88327587             0             0       1305972 
     13  25211       tick      88296472             0             0       1300200 
     14  25211       tick      88225167             0             0       1304550 
     15  25211       tick      88245505             0             0       1306162 
     16  25211       tick      88248505             0             0       1311168 
     17  25211       tick      88392453             0             0       1316738 
     18  25211       tick      88255363             0             0       1310330 
     19  25211       tick      88258862             0             0       1307055 
     20  25211       tick      88356254             0             0       1306901 
     21  25211       tick      88284056             0             0       1310869 
     22  25211       tick      88298714             0             0       1311258 
     23  25211       tick      88342963             0             0       1307525 
     24  25211       tick      88269221             0             0       1306591 
     25  25211       tick      88232742             0             0       1311333 
     26  25211       exit      36210609             0             0        537703 
