[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  24282       tick           401        843319        223727          1299 
      2  24282       tick            26       5283000       1760732            45 
      3  24282       tick            34       5250875       1749965            46 
      4  24282       tick            29       5286618       1761899            44 
      5  24282       tick            26       5305234       1768142            46 
      6  24282       tick            27       5290076       1763065            44 
      7  24282       tick            28       5306799       1768662            45 
      8  24282       tick            28       5309785       1769655            40 
      9  24282       tick            26       5315115       1771432            41 
     10  24282       tick            27       5307893       1769008            47 
     11  24282       tick            28       5309848       1769683            43 
     12  24282       tick            27       5306008       1768384            44 
     13  24282       tick            26       5298170       1765781            46 
     14  24282       tick            27       5313863       1771002            42 
     15  24282       tick            28       5315185       1771436            46 
     16  24282       tick            27       5311469       1770214            47 
     17  24282       tick            26       5313818       1770996            49 
     18  24282       tick            27       5309854       1769676            43 
     19  24282       tick            26       5297543       1765577            42 
     20  24282       tick            28       5301408       1766830            47 
     21  24282       tick            26       5304323       1767845            41 
     22  24282       tick            27       5302596       1767237            46 
     23  24282       tick            33       5260892       1753282            51 
     24  24282       tick            27       5291989       1763732            40 
     25  24282       tick            27       5283751       1760974            47 
     26  24282       exit            43       4027038       1341988           132 
