[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  22091       tick          3574       9183395         39297         81269 
      2  22091       tick          2405      26327165          9277         61163 
      3  22091       tick          3129      30187302         12423         10263 
      4  22091       tick          3272      30544670         12828         11000 
      5  22091       tick          3150      30391236         12843         10722 
      6  22091       tick          3192      30436542         12643         10547 
      7  22091       tick          3193      30454763         12619         10431 
      8  22091       tick          3212      30428992         13253         10557 
      9  22091       tick          3188      30460148         13338         10349 
     10  22091       tick          3184      30466028         13085         10456 
     11  22091       tick          3186      30452309         13001         10442 
     12  22091       tick          3220      30425458         12947         10580 
     13  22091       tick          3169      30427491         13233         10475 
     14  22091       tick          3180      30426202         13113         10430 
     15  22091       tick          3265      30396223         12970         10437 
     16  22091       tick          3292      30442387         12987         10482 
     17  22091       tick          3219      30471093         13059         10295 
     18  22091       tick          3228      30448849         13065         10444 
     19  22091       tick          3240      30459756         13088         10273 
     20  22091       tick          3265      30448364         12896         10503 
     21  22091       tick          3237      30454248         13084         10396 
     22  22091       tick          3170      30411957         13134         10543 
     23  22091       tick          3238      30451611         13112         10446 
     24  22091       tick          3236      30283622         13152         10985 
     25  22091       tick          3161      30434708         13039         10421 
     26  22091       tick          3203      30446945         13267         10482 
     27  22091       tick          3171      30476760         13059         10365 
     28  22091       tick          3281      30449275         12963         10514 
     29  22091       tick          3246      30461273         13065         10408 
     30  22091       tick          3282      30458293         13077         10446 
     31  22091       tick          3249      30437196         13117         10381 
     32  22091       tick          3297      30437770         13154         10459 
     33  22091       tick          3223      30441815         13086         10386 
     34  22091       tick          3281      30387846         13289         10795 
     35  22091       tick          3242      30438620         13218         10358 
     36  22091       tick          3276      30455267         13064         10428 
     37  22091       tick          3238      30462970         12948         10598 
     38  22091       tick          3271      30459793         13045         10678 
     39  22091       tick          3243      30462558         13119         10565 
     40  22091       tick          3252      30426422         13133         10699 
     41  22091       tick          3129      30446461         13164         10614 
     42  22091       tick          3131      29469624         12651         10315 
     43  22091       tick          3339      31403259         13685         10987 
     44  22091       tick          3247      30315916         13191         10885 
     45  22091       tick          3244      30461394         13048         10581 
     46  22091       tick          3217      30467543         13066         10493 
     47  22091       tick          3290      30408983         13110         10579 
     48  22091       tick          3230      30473339         13085         10648 
     49  22091       tick          3238      30418518         13218         10834 
     50  22091       tick          3212      30450715         12996         10593 
     51  22091       tick          3317      30441082         12921         10793 
     52  22091       tick          3171      30166243         12787         10467 
     53  22091       tick          3298      30704491         13156         10853 
     54  22091       tick          3230      30427213         13018         10633 
     55  22091       tick          3247      30463065         12841         10440 
     56  22091       tick          3264      30443543         13004         10601 
     57  22091       tick          3231      30463243         13045         10591 
     58  22091       tick          3232      30463739         13044         10613 
     59  22091       tick          3243      30395411         13120         10782 
     60  22091       tick          3262      30429471         13043         10655 
     61  22091       tick          3213      30426224         13124         10640 
     62  22091       tick          3237      30401300         13006         10773 
     63  22091       tick          3253      30468412         12861         10699 
     64  22091       tick          3284      30292331         13105         11004 
     65  22091       tick          3301      30429562         13035         10717 
     66  22091       tick          3209      30477019         13026         10426 
     67  22091       tick          3253      30454535         13119         10618 
     68  22091       tick          3227      30424750         13214         10664 
     69  22091       tick          3247      30416495         13060         10652 
     70  22091       tick          3220      30450032         13105         10653 
     71  22091       tick          3256      30417149         13080         10553 
     72  22091       tick          3325      30465443         13102         10759 
     73  22091       tick          3257      30447432         12989         10577 
     74  22091       tick          3336      30407218         13125         10679 
     75  22091       tick          3291      30439162         13069         10558 
     76  22091       tick          3341      30424044         12912         10730 
     77  22091       tick          3318      30426722         13060         10682 
     78  22091       tick          3329      30421049         13008         10685 
     79  22091       tick          3244      30053766         12853         10317 
     80  22091       tick          3382      30814215         13401         10904 
     81  22091       tick          3326      30457989         12980         10622 
     82  22091       tick          3289      30465180         12951         10583 
     83  22091       tick          3350      30439016         13249         10739 
     84  22091       tick          3308      30428239         13058         10558 
     85  22091       tick          3331      30317797         13254         10976 
     86  22091       tick          3360      30403753         13185         10782 
     87  22091       exit           972       6236735          5261          3029 
