[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  17913       tick        306303         14488          2604        306303 
      2  17913       tick         86661           654           175         86661 
      3  17913       tick         58843           144            41         58843 
      4  17913       tick         60253           152            38         60253 
      5  17913       tick         58246           176            36         58246 
      6  17913       tick         59523           170            37         59523 
      7  17913       tick         58279           135            22         58279 
      8  17913       tick         58405           181            32         58405 
      9  17913       tick         58281           143             9         58281 
     10  17913       tick         57104           192            34         57104 
     11  17913       tick         59116           194            41         59116 
     12  17913       tick         59014           155            22         59014 
     13  17913       tick         58344           172            35         58344 
     14  17913       tick         59260           231            28         59260 
     15  17913       tick         57823           155            26         57823 
     16  17913       tick         58778           160            25         58778 
     17  17913       tick         58416           162            26         58416 
     18  17913       tick         57878           169            22         57878 
     19  17913       tick         58225           156            17         58225 
     20  17913       tick         58128           126            17         58128 
     21  17913       tick         57748           141            17         57748 
     22  17913       tick         58824           182            22         58824 
     23  17913       tick         58505           155            33         58505 
     24  17913       tick         59532           158            29         59532 
     25  17913       tick         58276           132            14         58276 
     26  17913       tick         58936           181            34         58936 
     27  17913       tick         57827           153            20         57827 
     28  17913       tick         57779           134            22         57779 
     29  17913       tick         58332           151            22         58332 
     30  17913       tick         58167           174            21         58167 
     31  17913       tick         58704           179            23         58704 
     32  17913       tick         58121           152            29         58121 
     33  17913       tick         57723           154            25         57723 
     34  17913       tick         58893           175            25         58893 
     35  17913       tick         58747           160            31         58747 
     36  17913       tick         58232           142            26         58232 
     37  17913       tick         58787           167            25         58787 
     38  17913       tick         58258           134            20         58258 
     39  17913       tick         58821           141            22         58821 
     40  17913       tick         58763           153            23         58763 
     41  17913       tick         58160           159            21         58160 
     42  17913       tick         58390           147            26         58390 
     43  17913       tick         58912           143            32         58912 
     44  17913       tick         59719           163            16         59719 
     45  17913       tick         57703           141            23         57703 
     46  17913       tick         58411           119            21         58411 
     47  17913       tick         59457           246            24         59457 
     48  17913       tick         59451           169            24         59451 
     49  17913       tick         59476           141            22         59476 
     50  17913       tick         59474           163            38         59474 
     51  17913       tick         59186           133            22         59186 
     52  17913       tick         58984           152            21         58984 
     53  17913       tick         59242           144            22         59242 
     54  17913       tick         58942           196            24         58942 
     55  17913       tick         58929           180            35         58929 
     56  17913       tick         58801           139            33         58801 
     57  17913       tick         59716           137            15         59716 
     58  17913       tick         58763           157            22         58763 
     59  17913       tick         58320           124            18         58320 
     60  17913       tick         58922           164            27         58922 
     61  17913       tick         58879           123            27         58879 
     62  17913       tick         59610           183            28         59610 
     63  17913       tick         58913           134            20         58913 
     64  17913       tick         59299           145            26         59299 
     65  17913       tick         59307           213            28         59307 
     66  17913       tick         59154           117            21         59154 
     67  17913       tick         58744           160            31         58744 
     68  17913       tick         58616           177            25         58616 
     69  17913       tick         58933           149            21         58933 
     70  17913       tick         58885           156            32         58885 
     71  17913       exit         37833          2340           305         37833 
