[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  13305       tick         15124        185731       6800217 
      2  13305       tick           228          2705        880993 
      3  13305       tick           183          2629        881244 
      4  13305       tick           195          2575        881896 
      5  13305       tick           182          2615        881220 
      6  13305       tick           175          2722        881795 
      7  13305       tick           119          2659        882770 
      8  13305       tick           186          2727        880552 
      9  13305       tick           143          2598        882210 
     10  13305       tick           119          2583        882742 
     11  13305       tick           205          2650        881905 
     12  13305       tick           171          2579        882204 
     13  13305       tick           198          2689        881586 
     14  13305       tick           130          2588        881989 
     15  13305       tick           156          2603        881923 
     16  13305       tick           199          2577        881480 
     17  13305       tick           174          2666        878014 
     18  13305       tick           143          2604        882130 
     19  13305       tick           146          2512        881810 
     20  13305       tick           156          2542        881893 
     21  13305       tick           170          2590        881739 
     22  13305       tick           141          2543        882130 
     23  13305       tick           131          2563        882021 
     24  13305       tick           197          2592        881553 
     25  13305       tick           131          2521        881543 
     26  13305       tick           128          2543        882546 
     27  13305       tick           179          2483        882739 
     28  13305       tick           203          2602        881763 
     29  13305       tick           135          2486        882514 
     30  13305       tick           112          2526        882650 
     31  13305       tick           195          2576        881112 
     32  13305       tick           122          2516        882642 
     33  13305       tick           185          2544        882116 
     34  13305       tick           171          2560        882211 
     35  13305       tick           156          2399        848122 
     36  13305       tick           245          2684        914226 
     37  13305       tick           187          2613        879352 
     38  13305       tick           166          2512        882189 
     39  13305       tick           132          2600        882237 
     40  13305       tick           172          2543        882954 
     41  13305       tick           150          2546        881779 
     42  13305       tick           129          2557        882444 
     43  13305       tick           163          2514        882565 
     44  13305       tick           133          2492        882702 
     45  13305       tick           164          2469        882993 
     46  13305       tick           129          2471        882196 
     47  13305       tick           123          2490        882496 
     48  13305       tick           203          2523        882329 
     49  13305       tick           182          2514        881927 
     50  13305       tick           164          2547        882279 
     51  13305       tick           156          2534        882511 
     52  13305       tick           186          2454        882910 
     53  13305       tick           151          2536        883120 
     54  13305       tick           158          2491        882431 
     55  13305       tick           168          2473        882841 
     56  13305       tick           161          2520        882877 
     57  13305       tick           142          2606        879265 
     58  13305       tick           167          2544        882117 
     59  13305       tick           126          2625        882580 
     60  13305       tick           169          2573        881914 
     61  13305       tick           172          2632        881759 
     62  13305       exit          2450          3457        527907 
