[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  30631       tick      24316857             0             0          3991 
      2  30631       tick      25260195             0             0          2009 
      3  30631       tick      25270506             0             0          2027 
      4  30631       tick      25180284             0             0          2042 
      5  30631       tick      25306115             0             0          2027 
      6  30631       tick      25298232             0             0          2038 
      7  30631       tick      25329278             0             0          2027 
      8  30631       tick      25304420             0             0          2044 
      9  30631       tick      25305050             0             0          2029 
     10  30631       tick      25286423             0             0          2034 
     11  30631       tick      25323036             0             0          2030 
     12  30631       tick      25294669             0             0          2048 
     13  30631       tick      25292268             0             0          2041 
     14  30631       tick      25320167             0             0          2030 
     15  30631       tick      25310755             0             0          2041 
     16  30631       tick      25322066             0             0          2030 
     17  30631       tick      25305454             0             0          2040 
     18  30631       tick      25329103             0             0          2032 
     19  30631       tick      25305651             0             0          2034 
     20  30631       tick      25306863             0             0          2035 
     21  30631       tick      25322510             0             0          2029 
     22  30631       tick      25288787             0             0          2041 
     23  30631       tick      25293508             0             0          2028 
     24  30631       tick      25209848             0             0          2040 
     25  30631       tick      25270680             0             0          2037 
     26  30631       tick      25298165             0             0          2017 
     27  30631       tick      25283574             0             0          2034 
     28  30631       tick      25302215             0             0          2030 
     29  30631       tick      25266810             0             0          2052 
     30  30631       tick      25286605             0             0          2025 
     31  30631       tick      25248832             0             0          2029 
     32  30631       tick      25295423             0             0          2026 
     33  30631       tick      25268661             0             0          2043 
     34  30631       tick      25300477             0             0          2025 
     35  30631       tick      25277674             0             0          2034 
     36  30631       tick      25298354             0             0          2029 
     37  30631       tick      25284247             0             0          2039 
     38  30631       tick      25257396             0             0          2028 
     39  30631       tick      25282923             0             0          2019 
     40  30631       tick      25278081             0             0          2036 
     41  30631       tick      25242297             0             0          2044 
     42  30631       tick      25265008             0             0          2037 
     43  30631       tick      25300210             0             0          2023 
     44  30631       tick      25204655             0             0          2053 
     45  30631       tick      25298828             0             0          2045 
     46  30631       tick      25318213             0             0          2031 
     47  30631       tick      25323962             0             0          2041 
     48  30631       tick      25268872             0             0          2031 
     49  30631       tick      25270626             0             0          2043 
     50  30631       tick      25321595             0             0          2028 
     51  30631       tick      25284790             0             0          2030 
     52  30631       tick      25323127             0             0          2033 
     53  30631       tick      25303427             0             0          2040 
     54  30631       tick      25281647             0             0          2034 
     55  30631       tick      25347878             0             0          2030 
     56  30631       tick      25300022             0             0          2040 
     57  30631       tick      25307924             0             0          2028 
     58  30631       tick      25262571             0             0          2040 
     59  30631       tick      25339873             0             0          2025 
     60  30631       tick      25299272             0             0          2041 
     61  30631       exit       9173425             0             0           870 
