[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  18948       tick             0      84130138      84130138      22359576 
      2  18948       tick             0     143829591     143829591      31696480 
      3  18948       tick             0     143530374     143530374      31631346 
      4  18948       tick             0     143929381     143929381      31717425 
      5  18948       tick             0     143863335     143863335      31702997 
      6  18948       tick             0     143474572     143474572      31618449 
      7  18948       tick             0     143897535     143897535      31709343 
      8  18948       tick             0     143739218     143739218      31676092 
      9  18948       tick             0     143688773     143688773      31664778 
     10  18948       tick             0     143707743     143707743      31668364 
     11  18948       tick             0     143608017     143608017      31647419 
     12  18948       tick             0     143725463     143725463      31672989 
     13  18948       tick             0     143911064     143911064      31713789 
     14  18948       tick             0     143880289     143880289      31706678 
     15  18948       tick             0     143843145     143843145      31699562 
     16  18948       tick             0     143834377     143834377      31697021 
     17  18948       tick             0     143898286     143898286      31710258 
     18  18948       tick             0     143678146     143678146      31662359 
     19  18948       tick             0     143733331     143733331      31674507 
     20  18948       tick             0     143856714     143856714      31702769 
     21  18948       tick             0     143759685     143759685      31680670 
     22  18948       tick             0     143687665     143687665      31664820 
     23  18948       tick             0     143885891     143885891      31707953 
     24  18948       tick             0     143763684     143763684      31681420 
     25  18948       tick             0     143848120     143848120      31699968 
     26  18948       tick             0     142966652     142966652      31508575 
     27  18948       tick             0     143649218     143649218      31657393 
     28  18948       tick             0     143775849     143775849      31683747 
     29  18948       tick             0     143858937     143858937      31703077 
     30  18948       tick             0     143918500     143918500      31714288 
     31  18948       tick             0     143541580     143541580      31633463 
     32  18948       tick             0     143902853     143902853      31710805 
     33  18948       tick             0     143942327     143942327      31720331 
     34  18948       tick             0     143941768     143941768      31720715 
     35  18948       tick             0     143866347     143866347      31702656 
     36  18948       tick             0     143952498     143952498      31722812 
     37  18948       tick             0     143927729     143927729      31716519 
     38  18948       tick             0     143814739     143814739      31692062 
     39  18948       tick             0     143851598     143851598      31700038 
     40  18948       tick             0     143984337     143984337      31729232 
     41  18948       tick             0     143708430     143708430      31668619 
     42  18948       tick             0     143958713     143958713      31723012 
     43  18948       tick             0     143982516     143982516      31729197 
     44  18948       tick             0     143950850     143950850      31722675 
     45  18948       tick             0     144001311     144001311      31732937 
     46  18948       tick             0     143495738     143495738      31622840 
     47  18948       tick             0     143833445     143833445      31695843 
     48  18948       tick             0     143811256     143811256      31691453 
     49  18948       tick             0     143575988     143575988      31640139 
     50  18948       tick             0     142908087     142908087      31491358 
     51  18948       tick             0     144774147     144774147      31903848 
     52  18948       tick             0     143974790     143974790      31727010 
     53  18948       exit             0     124244826     124244826      27418727 
