[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  19856       tick        154673          2693           383        154673 
      2  19856       tick        168673          1482           149        168673 
      3  19856       tick        205884          2410           396        205884 
      4  19856       tick        143422          1239           137        143422 
      5  19856       tick        137322          1089            61        137322 
      6  19856       tick        145932           955            73        145932 
      7  19856       tick        145971          1002            84        145971 
      8  19856       tick        145699           916            57        145699 
      9  19856       tick        145918           833            45        145918 
     10  19856       tick        145527           836            53        145527 
     11  19856       tick        145421          1079            87        145421 
     12  19856       tick        145044          1056            72        145044 
     13  19856       tick        144808           942            46        144808 
     14  19856       tick        146548          1058            55        146548 
     15  19856       tick        145869           880            43        145869 
     16  19856       tick        145590           960            50        145590 
     17  19856       tick        145425          1016            53        145425 
     18  19856       tick        145298           967            76        145298 
     19  19856       tick        145071          1111            81        145071 
     20  19856       tick        145179          1045            89        145179 
     21  19856       tick        145485          1050            64        145485 
     22  19856       tick        145562           900            63        145562 
     23  19856       tick        145701          1062            75        145701 
     24  19856       tick        145563           962            73        145563 
     25  19856       tick        145674           990            80        145674 
     26  19856       tick        145727           989            72        145727 
     27  19856       tick        145753          1011            80        145753 
     28  19856       tick        145519           919            77        145519 
     29  19856       tick        145446           957            61        145446 
     30  19856       tick        145634          1115            81        145634 
     31  19856       tick        146100          1019            67        146100 
     32  19856       tick        145610           889            68        145610 
     33  19856       tick        145818           944            56        145818 
     34  19856       tick        145031          1096            79        145031 
     35  19856       tick        144566           963            69        144566 
     36  19856       tick        145180          1001            57        145180 
     37  19856       tick        144806           956            73        144806 
     38  19856       tick        145005          1005            68        145005 
     39  19856       tick        145160           994            65        145160 
     40  19856       tick        145556           998            79        145556 
     41  19856       tick        145188           997            49        145188 
     42  19856       tick        144947           966            61        144947 
     43  19856       tick        145104          1007            48        145104 
     44  19856       tick        144659           983            67        144659 
     45  19856       tick        144833           965            71        144833 
     46  19856       tick        145071          1055            56        145071 
     47  19856       tick        145140           979            53        145140 
     48  19856       tick        145301           900            46        145301 
     49  19856       tick        145324           943            53        145324 
     50  19856       tick        145437          1006            63        145437 
     51  19856       tick        145023          1006            64        145023 
     52  19856       tick        145032           933            66        145032 
     53  19856       exit        144052          1713            71        144052 
