cpu_freq_0,cpu_freq_1,cpu_freq_2,cpu_freq_3,cpu_freq_4,cpu_freq_5,cpu_freq_6,cpu_freq_7,cpu_temp_0,cpu_temp_1,cpu_temp_2,cpu_temp_3,cpu_temp_4,cpu_temp_5,cpu_temp_6,cpu_temp_7,fan_speed,gpu_temp,sensor_big_uA,sensor_big_uV,sensor_big_uW,sensor_gpu_uA,sensor_gpu_uV,sensor_gpu_uW,sensor_little_uA,sensor_little_uV,sensor_little_uW,sensor_mem_uA,sensor_mem_uV,sensor_mem_uW
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,26000,25000,25000,25000,255,23000,617596,943750,581831,48488,1021250,49008,24278,917500,22008,38766,1216250,46208
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,27000,25000,26000,26000,255,23000,846934,940000,795240,48184,1022500,49056,19764,917500,17423,38493,1216250,46208
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,27000,25000,26000,26000,255,23000,850496,940000,799000,48488,1022500,49056,11224,918750,10098,27027,1216250,32832
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,27000,25000,26000,26000,255,23000,839536,940000,788660,48488,1022500,49056,10736,917500,9170,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,27000,25000,26000,26000,255,24000,838440,940000,787720,48184,1021250,49008,10736,917500,9170,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,27000,25000,26000,27000,255,24000,838166,940000,787720,48488,1021250,49008,10980,918750,9180,26754,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,27000,26000,26000,27000,255,24000,841454,940000,790540,48488,1021250,49008,10980,918750,9180,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,27000,26000,26000,27000,255,24000,836796,940000,785840,48488,1021250,49008,10980,918750,9180,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,28000,26000,27000,27000,255,24000,837344,940000,786780,48488,1022500,49056,11224,918750,10098,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,28000,26000,27000,27000,255,24000,841728,940000,790540,48792,1021250,49008,10980,918750,9180,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,28000,26000,27000,27000,255,24000,838166,940000,787720,48488,1021250,49008,11224,918750,10098,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,28000,26000,27000,27000,255,24000,840358,940000,789600,48488,1021250,49008,10736,918750,9180,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,28000,26000,27000,27000,255,24000,840358,940000,789600,48792,1021250,49008,10736,918750,9180,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,28000,26000,27000,27000,255,24000,837892,940000,786780,48488,1021250,49008,11224,918750,10098,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,28000,26000,27000,27000,255,24000,842550,940000,791480,48488,1021250,49008,10736,918750,9180,26026,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,28000,26000,27000,27000,255,24000,839536,940000,788660,48792,1021250,49008,10736,918750,9180,26026,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,28000,26000,27000,27000,255,24000,837070,940000,786780,48792,1021250,49008,10980,918750,9180,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,28000,26000,27000,27000,255,25000,831864,940000,781140,48488,1021250,49008,10980,917500,9170,31486,1216250,37696
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,28000,26000,27000,28000,255,24000,846386,940000,795240,48792,1021250,49008,11529,918750,10098,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,28000,26000,27000,27000,255,24000,852688,940000,800880,48944,1021250,49008,10980,918750,9180,26481,1215000,31590
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,28000,26000,27000,28000,255,25000,851318,938750,798238,48488,1021250,49008,11224,918750,10098,26481,1215000,31590
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,851866,940000,799940,48488,1021250,49008,10980,918750,9180,26754,1215000,31590
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,906666,940000,851640,48488,1021250,49008,11529,918750,10098,43225,1216250,52288
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,928312,940000,872320,48792,1021250,49008,21472,917500,19257,28028,1216250,34048
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,852140,940000,800880,48792,1022500,49056,10980,918750,9180,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,27000,28000,255,25000,853784,940000,801820,48792,1022500,49056,11224,918750,10098,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,851866,940000,799940,48488,1021250,49008,11224,918750,10098,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,27000,28000,255,25000,853236,938750,800114,48792,1021250,49008,10980,917500,9170,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,27000,28000,255,25000,851592,940000,799940,48792,1021250,49008,11529,918750,10098,26026,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,27000,28000,255,25000,852688,940000,800880,48944,1021250,49008,11529,918750,10098,26208,1215000,31590
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,27000,28000,255,25000,853510,940000,801820,48792,1021250,49008,10980,918750,9180,26481,1215000,31590
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,851592,940000,799940,48792,1021250,49008,11224,917500,10087,26026,1215000,31590
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,854606,940000,802760,48792,1021250,49008,10980,917500,9170,26026,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,852414,940000,800880,48792,1021250,49008,11224,917500,10087,26754,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,852688,940000,800880,48488,1021250,49008,10980,917500,9170,26026,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,838988,940000,787720,48488,1021250,49008,10980,918750,9180,26208,1215000,31590
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,845564,938750,792610,48488,1021250,49008,11773,918750,10098,30485,1216250,36480
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,847208,938750,794486,48792,1021250,49008,10980,918750,9180,26208,1215000,31590
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,847208,938750,794486,48792,1021250,49008,11224,918750,10098,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,849126,938750,796362,48792,1021250,49008,11224,917500,10087,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,848852,940000,797120,48792,1021250,49008,11224,917500,10087,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,846386,940000,795240,48792,1021250,49008,11529,918750,10098,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,846660,940000,795240,48792,1021250,49008,11529,918750,10098,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,846112,940000,795240,48488,1021250,49008,10980,917500,9170,26481,1215000,31590
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,845016,940000,794300,48488,1021250,49008,11529,917500,10087,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,847482,940000,796180,48792,1021250,49008,11529,917500,10087,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,846386,940000,795240,48792,1021250,49008,10736,917500,9170,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,845564,940000,794300,48488,1021250,49008,11224,918750,10098,26026,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,849674,940000,798060,48792,1021250,49008,11224,917500,10087,26481,1215000,31590
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,844742,940000,793360,48792,1022500,49056,10980,918750,9180,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,843920,938750,790734,48792,1021250,49008,11224,918750,10098,26026,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,845564,940000,794300,48792,1021250,49008,10980,918750,9180,27027,1216250,32832
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,845564,938750,792610,48792,1022500,49056,10980,918750,9180,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,848852,938750,795424,48488,1021250,49008,11773,917500,10087,29029,1216250,35264
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,829946,938750,777602,48944,1021250,49008,10980,918750,9180,28483,1216250,34048
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,841728,938750,788858,48488,1021250,49008,11224,918750,10098,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,843646,938750,790734,48488,1021250,49008,11224,917500,10087,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,840084,938750,787920,48792,1021250,49008,10980,918750,9180,26208,1215000,31590
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,840906,938750,787920,48792,1021250,49008,11224,918750,10098,26026,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,841454,938750,788858,48792,1021250,49008,11529,918750,10098,26754,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,838714,938750,786044,48792,1021250,49008,10980,918750,9180,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,843098,938750,790734,48944,1021250,49008,10980,918750,9180,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,845838,940000,794300,48792,1022500,49056,12261,918750,11016,29757,1216250,35264
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,843646,940000,792420,48488,1022500,49056,12261,918750,11016,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,840632,940000,789600,48792,1021250,49008,11224,918750,10098,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,841728,938750,788858,48792,1021250,49008,11224,918750,10098,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,841728,938750,788858,48488,1021250,49008,11224,918750,10098,26208,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,842824,940000,791480,48488,1021250,49008,11224,918750,10098,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,840358,938750,787920,48792,1021250,49008,11529,918750,10098,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,842824,938750,789796,48792,1021250,49008,10980,918750,9180,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,842002,938750,789796,48944,1022500,49056,11529,918750,10098,27209,1216250,32832
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,819260,938750,768222,48792,1021250,49008,11529,918750,10098,26754,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,857346,938750,803866,48488,1022500,49056,11529,918750,10098,30758,1216250,36480
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,849400,938750,796362,48792,1021250,49008,11224,918750,10098,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,851592,938750,798238,48792,1022500,49056,11224,918750,10098,26481,1216250,31616
200000,200000,200000,200000,900000,900000,900000,900000,-1,-1,-1,-1,29000,27000,28000,28000,255,25000,851318,938750,798238,48792,1022500,49056,10980,918750,9180,26208,1216250,31616
