UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
100000,,,,,,,,,,,,
,600000,600000,600000,600000,39920,0,0,0,3015000,600000,5019000,39920
,600000,600000,600000,600000,40894,0,0,0,3015000,600000,5019000,40894
,600000,600000,600000,600000,40407,0,0,0,3015000,600000,5019000,40407
,600000,600000,600000,600000,39920,0,0,0,3106000,619000,5019000,39920
,600000,600000,600000,600000,39920,0,0,0,3106000,619000,5019000,39920
,600000,600000,600000,600000,40894,0,0,0,3072000,611000,5019000,40894
,600000,600000,600000,600000,39433,0,0,0,3072000,611000,5019000,39433
,600000,600000,600000,600000,41381,0,0,0,3072000,611000,5019000,41381
,600000,600000,600000,600000,39920,0,0,0,3072000,611000,5010000,39920
,600000,600000,600000,600000,41381,0,0,0,3072000,611000,5019000,41381
,600000,600000,600000,600000,40407,0,0,0,3072000,611000,5019000,40407
,600000,600000,600000,600000,39920,0,0,0,3064000,611000,5019000,40407
,600000,600000,600000,600000,39920,0,0,0,3064000,611000,5019000,39920
,600000,600000,600000,600000,40407,0,0,0,3064000,611000,5019000,40407
,600000,600000,600000,600000,39920,0,0,0,3064000,610000,5019000,39920
,600000,600000,600000,600000,41381,0,0,0,3064000,610000,5010000,41381
,600000,600000,600000,600000,41381,0,0,0,3068000,612000,5019000,41381
,600000,600000,600000,600000,40894,0,0,0,3068000,612000,5019000,40894
,600000,600000,600000,600000,40407,0,0,0,3068000,612000,5019000,40407
,600000,600000,600000,600000,40407,0,0,0,3087000,615000,5019000,40407
,600000,600000,600000,600000,40894,0,0,0,3087000,615000,5019000,40894
,600000,600000,600000,600000,41868,0,0,0,3087000,615000,5019000,41868
,600000,600000,600000,600000,39920,0,0,0,3068000,611000,5019000,39920
,600000,600000,600000,600000,40894,0,0,0,3068000,611000,5019000,40894
,600000,600000,600000,600000,39433,0,0,0,3068000,611000,5010000,39433
,600000,600000,600000,600000,39920,0,0,0,3068000,611000,5019000,39920
,600000,600000,600000,600000,40894,0,0,0,3068000,611000,5019000,40894
,600000,600000,600000,600000,40407,0,0,0,3064000,611000,5019000,40407
,600000,600000,600000,600000,40407,0,0,0,3064000,611000,5019000,40407
,600000,600000,600000,600000,39920,0,0,0,3064000,611000,5019000,39920
,600000,600000,600000,600000,40407,0,0,0,3072000,611000,5019000,40407
,600000,600000,600000,600000,40894,0,0,0,3072000,611000,5019000,40894
,600000,600000,600000,600000,40407,0,0,0,3064000,610000,5019000,40407
,600000,600000,600000,600000,39920,0,0,0,3064000,610000,5019000,39920
,600000,600000,600000,600000,40407,0,0,0,3064000,610000,5019000,40407
,600000,600000,600000,600000,40407,0,0,0,3068000,611000,5010000,40407
,600000,600000,600000,600000,40894,0,0,0,3068000,611000,5019000,40894
,600000,600000,600000,600000,40894,0,0,0,3068000,611000,5019000,40894
,600000,600000,600000,600000,40894,0,0,0,3068000,611000,5019000,40894
,600000,600000,600000,600000,40894,0,0,0,3068000,611000,5019000,40894
,600000,600000,600000,600000,40407,0,0,0,3068000,611000,5019000,40407
,600000,600000,600000,600000,40407,0,0,0,3072000,611000,5019000,40407
,600000,600000,600000,600000,40894,0,0,0,3072000,611000,5019000,40894
,600000,600000,600000,600000,40407,0,0,0,3068000,611000,5019000,40407
,600000,600000,600000,600000,40894,0,0,0,3068000,611000,5019000,40894
,600000,600000,600000,600000,40894,0,0,0,3068000,611000,5019000,40894
,600000,600000,600000,600000,39433,0,0,0,3068000,611000,5010000,39433
,600000,600000,600000,600000,40894,0,0,0,3068000,611000,5019000,40894
,600000,600000,600000,600000,40407,0,0,0,3068000,611000,5010000,40407
,600000,600000,600000,600000,41381,0,0,0,3068000,612000,5019000,41381
,600000,600000,600000,600000,41381,0,0,0,3068000,612000,5019000,41381
,600000,600000,600000,600000,40894,0,0,0,3080000,614000,5019000,40894
,600000,600000,600000,600000,41868,0,0,0,3080000,614000,5019000,41868
,600000,600000,600000,600000,39920,0,0,0,3080000,614000,5019000,39920
,600000,600000,600000,600000,40407,0,0,0,3072000,612000,5019000,40407
,600000,600000,600000,600000,41381,0,0,0,3072000,612000,5019000,41381
,600000,600000,600000,600000,40894,0,0,0,3072000,612000,5019000,40894
,600000,600000,600000,600000,40407,0,0,0,3080000,613000,5019000,40407
,600000,600000,600000,600000,40407,0,0,0,3080000,613000,5019000,40407
,600000,600000,600000,600000,41381,0,0,0,3080000,613000,5010000,41381
,600000,600000,600000,600000,41381,0,0,0,3076000,613000,5019000,41381
,600000,600000,600000,600000,40407,0,0,0,3076000,613000,5019000,40407
,600000,600000,600000,600000,40894,0,0,0,3076000,613000,5019000,40894
,600000,600000,600000,600000,40894,0,0,0,3076000,613000,5019000,40894
,600000,600000,600000,600000,39920,0,0,0,3076000,613000,5019000,39920
