UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
100000,,,,,,,,,,,,
,1000000,1000000,1000000,1000000,40894,0,0,0,2973000,591000,5019000,40894
,1000000,1000000,1000000,1000000,41381,0,0,0,3500000,697000,5019000,41381
,1000000,1000000,1000000,1000000,40407,0,0,0,3500000,697000,5019000,40407
,1000000,1000000,1000000,1000000,41381,0,0,0,3660000,728000,5019000,41381
,1000000,1000000,1000000,1000000,40894,0,0,0,3660000,728000,5019000,40894
,1000000,1000000,1000000,1000000,42355,0,0,0,3660000,728000,5019000,42355
,1000000,1000000,1000000,1000000,41868,0,0,0,3660000,728000,5019000,41868
,1000000,1000000,1000000,1000000,41868,0,0,0,3660000,728000,5019000,41868
,1000000,1000000,1000000,1000000,42355,0,0,0,3660000,728000,5019000,42355
,1000000,1000000,1000000,1000000,42842,0,0,0,3660000,729000,5019000,42842
,1000000,1000000,1000000,1000000,41381,0,0,0,3660000,729000,5010000,41381
,1000000,1000000,1000000,1000000,42355,0,0,0,3652000,728000,5010000,42355
,1000000,1000000,1000000,1000000,41868,0,0,0,3652000,728000,5019000,41868
,1000000,1000000,1000000,1000000,42355,0,0,0,3652000,728000,5019000,42355
,1000000,1000000,1000000,1000000,40894,0,0,0,3652000,728000,5019000,40894
,1000000,1000000,1000000,1000000,42355,0,0,0,3652000,728000,5019000,42355
,1000000,1000000,1000000,1000000,42355,0,0,0,3652000,728000,5019000,42355
,1000000,1000000,1000000,1000000,41381,0,0,0,3660000,729000,5019000,41381
,1000000,1000000,1000000,1000000,42842,0,0,0,3660000,729000,5019000,42842
,1000000,1000000,1000000,1000000,43329,0,0,0,3660000,729000,5019000,43329
,1000000,1000000,1000000,1000000,41868,0,0,0,3660000,729000,5019000,41868
,1000000,1000000,1000000,1000000,41868,0,0,0,3660000,729000,5019000,41868
,1000000,1000000,1000000,1000000,42842,0,0,0,3656000,728000,5019000,42842
,1000000,1000000,1000000,1000000,41868,0,0,0,3656000,728000,5010000,41868
,1000000,1000000,1000000,1000000,42842,0,0,0,3656000,728000,5019000,42842
,1000000,1000000,1000000,1000000,42842,0,0,0,3652000,728000,5019000,42842
,1000000,1000000,1000000,1000000,41868,0,0,0,3652000,728000,5019000,41868
,1000000,1000000,1000000,1000000,42355,0,0,0,3652000,728000,5010000,42355
,1000000,1000000,1000000,1000000,42355,0,0,0,3660000,728000,5019000,42355
,1000000,1000000,1000000,1000000,41868,0,0,0,3660000,728000,5019000,41868
,1000000,1000000,1000000,1000000,42355,0,0,0,3660000,729000,5019000,42355
,1000000,1000000,1000000,1000000,42355,0,0,0,3660000,729000,5019000,42355
,1000000,1000000,1000000,1000000,41868,0,0,0,3660000,729000,5019000,41868
,1000000,1000000,1000000,1000000,42842,0,0,0,3660000,729000,5019000,42842
