UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,hwmon_cpu_thermal_mC,hwmon_cpu_thermal_uA,hwmon_cpu_thermal_uV,hwmon_cpu_thermal_uW,sensor_cpu_uW,smartpower_uA,smartpower_uV,thermal_zone_temp0
100000,,,,,,,,,,,,
,1500000,1500000,1500000,1500000,41868,0,0,0,3595000,716000,5010000,41868
,1500000,1500000,1500000,1500000,42842,0,0,0,3595000,716000,5019000,42842
,1500000,1500000,1500000,1500000,42842,0,0,0,5095000,1016999,5019000,42842
,1500000,1500000,1500000,1500000,43816,0,0,0,5095000,1016999,5019000,43816
,1500000,1500000,1500000,1500000,42355,0,0,0,5095000,1016999,5019000,42355
,1500000,1500000,1500000,1500000,41868,0,0,0,5019000,1000000,5019000,41868
,1500000,1500000,1500000,1500000,43329,0,0,0,5019000,1000000,5010000,43329
,1500000,1500000,1500000,1500000,43816,0,0,0,5019000,1000000,5010000,43816
,1500000,1500000,1500000,1500000,42842,0,0,0,5007000,1000000,5019000,42842
,1500000,1500000,1500000,1500000,42842,0,0,0,5007000,1000000,5019000,42842
,1500000,1500000,1500000,1500000,43329,0,0,0,5015000,1000999,5010000,43329
,1500000,1500000,1500000,1500000,43329,0,0,0,5015000,1000999,5019000,43329
,1500000,1500000,1500000,1500000,43816,0,0,0,5015000,1000999,5019000,43816
,1500000,1500000,1500000,1500000,43816,0,0,0,5026000,1002999,5010000,43816
,1500000,1500000,1500000,1500000,44303,0,0,0,5026000,1002999,5019000,44303
,1500000,1500000,1500000,1500000,43816,0,0,0,5026000,1002999,5019000,43816
,1500000,1500000,1500000,1500000,44303,0,0,0,5023000,1002000,5019000,44303
,1500000,1500000,1500000,1500000,44303,0,0,0,5023000,1002000,5010000,44303
,1500000,1500000,1500000,1500000,43816,0,0,0,5019000,1002000,5019000,43816
,1500000,1500000,1500000,1500000,43816,0,0,0,5019000,1002000,5010000,43816
,1500000,1500000,1500000,1500000,44303,0,0,0,5019000,1002000,5010000,44303
,1500000,1500000,1500000,1500000,44303,0,0,0,5011000,1000999,5019000,44303
,1500000,1500000,1500000,1500000,44303,0,0,0,5011000,1000999,5019000,44303
,1500000,1500000,1500000,1500000,44303,0,0,0,5011000,1000999,5019000,44303
,1500000,1500000,1500000,1500000,44790,0,0,0,5019000,1000999,5019000,44790
,1500000,1500000,1500000,1500000,44303,0,0,0,5019000,1000999,5019000,44303
,1500000,1500000,1500000,1500000,45764,0,0,0,5019000,1000999,5019000,45764
,1500000,1500000,1500000,1500000,45277,0,0,0,5015000,999000,5019000,45277
,1500000,1500000,1500000,1500000,45277,0,0,0,5015000,999000,5019000,45277
,1500000,1500000,1500000,1500000,44790,0,0,0,5011000,999000,5019000,44790
,1500000,1500000,1500000,1500000,44303,0,0,0,5011000,999000,5019000,44303
,1500000,1500000,1500000,1500000,45277,0,0,0,5011000,999000,5019000,45277
,1500000,1500000,1500000,1500000,45277,0,0,0,5023000,1000999,5019000,45277
,1500000,1500000,1500000,1500000,45764,0,0,0,5023000,1000999,5019000,45764
,1500000,1500000,1500000,1500000,45277,0,0,0,5023000,1000999,5019000,45277
,1500000,1500000,1500000,1500000,44790,0,0,0,5019000,1000000,5019000,44790
,1500000,1500000,1500000,1500000,44790,0,0,0,5019000,1000000,5019000,44790
,1500000,1500000,1500000,1500000,46251,0,0,0,5023000,1000999,5019000,46251
,1500000,1500000,1500000,1500000,44790,0,0,0,5023000,1000999,5019000,44790
,1500000,1500000,1500000,1500000,44790,0,0,0,5023000,1000999,5019000,44790
,1500000,1500000,1500000,1500000,45277,0,0,0,5015000,999000,5019000,45277
,1500000,1500000,1500000,1500000,46251,0,0,0,5015000,999000,5019000,46251
,1500000,1500000,1500000,1500000,45764,0,0,0,5015000,999000,5019000,45764
,1500000,1500000,1500000,1500000,45277,0,0,0,5023000,1000999,5019000,45277
,1500000,1500000,1500000,1500000,45277,0,0,0,5023000,1000999,5019000,45277
,1500000,1500000,1500000,1500000,44790,0,0,0,5023000,1000999,5019000,44790
,1500000,1500000,1500000,1500000,45764,0,0,0,5023000,1000999,5019000,45764
,1500000,1500000,1500000,1500000,45277,0,0,0,5023000,1000999,5019000,45277
,1500000,1500000,1500000,1500000,45764,0,0,0,5026000,1000999,5019000,45764
,1500000,1500000,1500000,1500000,46251,0,0,0,5026000,1000999,5019000,46251
,1500000,1500000,1500000,1500000,45277,0,0,0,5026000,1000999,5019000,45277
,1500000,1500000,1500000,1500000,46738,0,0,0,5030000,1002999,5019000,46738
,1500000,1500000,1500000,1500000,46251,0,0,0,5030000,1002999,5019000,46251
,1500000,1500000,1500000,1500000,46251,0,0,0,5030000,1002999,5019000,46251
,1500000,1500000,1500000,1500000,45277,0,0,0,5023000,1000999,5019000,45277
,1500000,1500000,1500000,1500000,45277,0,0,0,5023000,1000999,5019000,45277
,1500000,1500000,1500000,1500000,46251,0,0,0,5026000,1002000,5010000,46251
,1500000,1500000,1500000,1500000,46251,0,0,0,5026000,1002000,5019000,46251
,1500000,1500000,1500000,1500000,45764,0,0,0,5026000,1002000,5010000,45764
,1500000,1500000,1500000,1500000,45764,0,0,0,5011000,1000999,5019000,45764
,1500000,1500000,1500000,1500000,46251,0,0,0,5011000,1000999,5019000,46251
,1500000,1500000,1500000,1500000,46251,0,0,0,5011000,1000999,5019000,46251
,1500000,1500000,1500000,1500000,45277,0,0,0,5019000,1000999,5019000,45277
,1500000,1500000,1500000,1500000,46251,0,0,0,5019000,1000999,5019000,46251
,1500000,1500000,1500000,1500000,46251,0,0,0,5023000,1000999,5019000,46251
,1500000,1500000,1500000,1500000,46251,0,0,0,5023000,1000999,5019000,46251
,1500000,1500000,1500000,1500000,45764,0,0,0,5023000,1000999,5019000,45764
,1500000,1500000,1500000,1500000,45764,0,0,0,5026000,1002000,5019000,45764
,1500000,1500000,1500000,1500000,46251,0,0,0,5026000,1002000,5019000,46251
,1500000,1500000,1500000,1500000,45764,0,0,0,5026000,1002000,5010000,45764
,1500000,1500000,1500000,1500000,46738,0,0,0,5026000,1002000,5019000,46738
,1500000,1500000,1500000,1500000,45764,0,0,0,5026000,1002000,5019000,45764
,1500000,1500000,1500000,1500000,45764,0,0,0,5026000,1002000,5019000,45764
,1500000,1500000,1500000,1500000,46738,0,0,0,5023000,1002000,5019000,46738
,1500000,1500000,1500000,1500000,46251,0,0,0,5023000,1002000,5019000,46251
,1500000,1500000,1500000,1500000,46738,0,0,0,5023000,1000999,5019000,46738
,1500000,1500000,1500000,1500000,46251,0,0,0,5023000,1000999,5019000,46251
,1500000,1500000,1500000,1500000,45764,0,0,0,5023000,1000999,5019000,45764
,1500000,1500000,1500000,1500000,45764,0,0,0,5030000,1002000,5019000,45764
,1500000,1500000,1500000,1500000,47712,0,0,0,5030000,1002000,5019000,47712
,1500000,1500000,1500000,1500000,46738,0,0,0,5030000,1002000,5019000,46738
,1500000,1500000,1500000,1500000,46251,0,0,0,5011000,999000,5010000,46251
,1500000,1500000,1500000,1500000,46251,0,0,0,5011000,999000,5019000,46251
,1500000,1500000,1500000,1500000,47225,0,0,0,5019000,1002000,5019000,47225
,1500000,1500000,1500000,1500000,46251,0,0,0,5019000,1002000,5010000,46251
,1500000,1500000,1500000,1500000,46251,0,0,0,5019000,1002000,5019000,46251
,1500000,1500000,1500000,1500000,47225,0,0,0,5026000,1002999,5019000,47225
,1500000,1500000,1500000,1500000,47225,0,0,0,5026000,1002999,5019000,47225
,1500000,1500000,1500000,1500000,46738,0,0,0,5026000,1002999,5019000,46738
,1500000,1500000,1500000,1500000,47712,0,0,0,5030000,1002999,5019000,47712
,1500000,1500000,1500000,1500000,47225,0,0,0,5030000,1002999,5019000,47225
,1500000,1500000,1500000,1500000,47712,0,0,0,5030000,1002999,5010000,47712
,1500000,1500000,1500000,1500000,46251,0,0,0,5026000,1002000,5019000,46251
,1500000,1500000,1500000,1500000,47225,0,0,0,5026000,1002000,5019000,47225
,1500000,1500000,1500000,1500000,47225,0,0,0,5023000,1002999,5019000,47225
,1500000,1500000,1500000,1500000,46738,0,0,0,5023000,1002999,5019000,46738
,1500000,1500000,1500000,1500000,47225,0,0,0,5023000,1002999,5019000,47225
,1500000,1500000,1500000,1500000,47712,0,0,0,5026000,1002000,5019000,47712
,1500000,1500000,1500000,1500000,47225,0,0,0,5026000,1002000,5019000,47225
,1500000,1500000,1500000,1500000,47225,0,0,0,5026000,1002000,5019000,47225
,1500000,1500000,1500000,1500000,47225,0,0,0,5019000,1000000,5010000,47225
,1500000,1500000,1500000,1500000,47225,0,0,0,5019000,1000000,5019000,47225
,1500000,1500000,1500000,1500000,46738,0,0,0,5030000,1004000,5019000,46738
,1500000,1500000,1500000,1500000,48199,0,0,0,5030000,1004000,5019000,48199
,1500000,1500000,1500000,1500000,46251,0,0,0,5030000,1004000,5019000,46251
,1500000,1500000,1500000,1500000,47712,0,0,0,5023000,1000999,5010000,47712
,1500000,1500000,1500000,1500000,47225,0,0,0,5023000,1000999,5019000,47225
,1500000,1500000,1500000,1500000,47712,0,0,0,5023000,1000999,5019000,47712
,1500000,1500000,1500000,1500000,47225,0,0,0,5030000,1002999,5019000,47225
,1500000,1500000,1500000,1500000,46738,0,0,0,5030000,1002999,5019000,46738
,1500000,1500000,1500000,1500000,47225,0,0,0,5026000,1002000,5019000,47225
,1500000,1500000,1500000,1500000,47225,0,0,0,5026000,1002000,5019000,47225
,1500000,1500000,1500000,1500000,47712,0,0,0,5026000,1002000,5019000,47712
,1500000,1500000,1500000,1500000,46738,0,0,0,5034000,1002999,5019000,46738
,1500000,1500000,1500000,1500000,47712,0,0,0,5034000,1002999,5019000,47712
,1500000,1500000,1500000,1500000,46738,0,0,0,5034000,1002999,5019000,46738
,1500000,1500000,1500000,1500000,47712,0,0,0,5023000,1000999,5019000,47712
,1500000,1500000,1500000,1500000,47225,0,0,0,5023000,1000999,5019000,47225
,1500000,1500000,1500000,1500000,46251,0,0,0,5023000,1000999,5019000,46251
,1500000,1500000,1500000,1500000,47225,0,0,0,5026000,1002000,5019000,47225
,1500000,1500000,1500000,1500000,47225,0,0,0,5026000,1002000,5019000,47225
,1500000,1500000,1500000,1500000,48686,0,0,0,5019000,1000999,5019000,48686
,1500000,1500000,1500000,1500000,46251,0,0,0,5019000,1000999,5019000,46251
,1500000,1500000,1500000,1500000,46738,0,0,0,5019000,1000999,5019000,46738
,1500000,1500000,1500000,1500000,47225,0,0,0,5026000,1002000,5010000,47225
,1500000,1500000,1500000,1500000,47712,0,0,0,5026000,1002000,5019000,47712
,1500000,1500000,1500000,1500000,46251,0,0,0,5026000,1002000,5019000,46251
,1500000,1500000,1500000,1500000,47712,0,0,0,5023000,1002000,5019000,47712
,1500000,1500000,1500000,1500000,48199,0,0,0,5023000,1002000,5019000,48199
,1500000,1500000,1500000,1500000,48199,0,0,0,5026000,1002000,5010000,48199
,1500000,1500000,1500000,1500000,47712,0,0,0,5026000,1002000,5019000,47712
,1500000,1500000,1500000,1500000,46738,0,0,0,5026000,1002000,5019000,46738
,1500000,1500000,1500000,1500000,47225,0,0,0,5030000,1004000,5019000,47225
,1500000,1500000,1500000,1500000,47712,0,0,0,5030000,1004000,5019000,47712
,1500000,1500000,1500000,1500000,47712,0,0,0,5030000,1004000,5019000,47712
,1500000,1500000,1500000,1500000,47712,0,0,0,5030000,1002999,5019000,47712
,1500000,1500000,1500000,1500000,47225,0,0,0,5030000,1002999,5019000,47225
,1500000,1500000,1500000,1500000,47712,0,0,0,5030000,1002999,5019000,47712
,1500000,1500000,1500000,1500000,47225,0,0,0,5026000,1002000,5019000,47225
,1500000,1500000,1500000,1500000,48199,0,0,0,5026000,1002000,5019000,48199
,1500000,1500000,1500000,1500000,46738,0,0,0,5030000,1002999,5019000,46738
,1500000,1500000,1500000,1500000,47712,0,0,0,5030000,1002999,5019000,47712
,1500000,1500000,1500000,1500000,47712,0,0,0,5030000,1002999,5019000,47712
,1500000,1500000,1500000,1500000,47712,0,0,0,5038000,1004000,5010000,47712
,1500000,1500000,1500000,1500000,48199,0,0,0,5038000,1004000,5010000,48199
,1500000,1500000,1500000,1500000,47712,0,0,0,5038000,1004000,5019000,47712
,1500000,1500000,1500000,1500000,47225,0,0,0,5023000,1004000,5019000,47225
,1500000,1500000,1500000,1500000,47712,0,0,0,5023000,1004000,5019000,47712
,1500000,1500000,1500000,1500000,48686,0,0,0,5030000,1002999,5019000,48686
,1500000,1500000,1500000,1500000,48199,0,0,0,5030000,1002999,5019000,48199
,1500000,1500000,1500000,1500000,47712,0,0,0,5030000,1002999,5019000,47712
,1500000,1500000,1500000,1500000,46738,0,0,0,5030000,1002999,5019000,46738
,1500000,1500000,1500000,1500000,48686,0,0,0,5030000,1002999,5019000,48686
,1500000,1500000,1500000,1500000,47712,0,0,0,5030000,1002999,5019000,47712
,1500000,1500000,1500000,1500000,47712,0,0,0,5038000,1004000,5010000,47712
,1500000,1500000,1500000,1500000,48199,0,0,0,5038000,1004000,5019000,48199
,1500000,1500000,1500000,1500000,48199,0,0,0,5038000,1004000,5019000,48199
,1500000,1500000,1500000,1500000,47712,0,0,0,5026000,1002999,5010000,47712
,1500000,1500000,1500000,1500000,48199,0,0,0,5026000,1002999,5019000,48199
,1500000,1500000,1500000,1500000,47712,0,0,0,5026000,1002999,5019000,47712
,1500000,1500000,1500000,1500000,48199,0,0,0,5026000,1002999,5019000,48199
,1500000,1500000,1500000,1500000,48199,0,0,0,5026000,1002999,5019000,48199
,1500000,1500000,1500000,1500000,47712,0,0,0,5030000,1002999,5019000,47712
,1500000,1500000,1500000,1500000,48199,0,0,0,5030000,1002999,5019000,48199
,1500000,1500000,1500000,1500000,48686,0,0,0,5030000,1002999,5019000,48686
,1500000,1500000,1500000,1500000,47225,0,0,0,5034000,1002999,5019000,47225
,1500000,1500000,1500000,1500000,48686,0,0,0,5034000,1002999,5019000,48686
,1500000,1500000,1500000,1500000,48686,0,0,0,5034000,1004000,5019000,48686
,1500000,1500000,1500000,1500000,48199,0,0,0,5034000,1004000,5019000,48199
,1500000,1500000,1500000,1500000,47712,0,0,0,5034000,1004000,5019000,47712
,1500000,1500000,1500000,1500000,48686,0,0,0,5030000,1002999,5019000,48686
,1500000,1500000,1500000,1500000,48199,0,0,0,5030000,1002999,5010000,48199
,1500000,1500000,1500000,1500000,48199,0,0,0,5030000,1002999,5019000,48199
,1500000,1500000,1500000,1500000,48199,0,0,0,5030000,1004000,5019000,48199
,1500000,1500000,1500000,1500000,48199,0,0,0,5030000,1004000,5019000,48199
,1500000,1500000,1500000,1500000,48199,0,0,0,5030000,1002999,5019000,48199
,1500000,1500000,1500000,1500000,47712,0,0,0,5030000,1002999,5019000,47712
,1500000,1500000,1500000,1500000,48686,0,0,0,5030000,1002999,5010000,48686
,1500000,1500000,1500000,1500000,48686,0,0,0,5034000,1004000,5019000,48686
,1500000,1500000,1500000,1500000,48199,0,0,0,5034000,1004000,5019000,48199
,1500000,1500000,1500000,1500000,49173,0,0,0,5034000,1004000,5019000,49173
,1500000,1500000,1500000,1500000,48686,0,0,0,5019000,1000999,5019000,48686
,1500000,1500000,1500000,1500000,48686,0,0,0,5019000,1000999,5019000,48686
