UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
100000,,,,,,,
,299999,299999,299999,299999,31.086060,1648000,1629496
,299999,299999,299999,299999,31.272576,1648000,1635731
,299999,299999,299999,299999,31.832125,1648000,1630608
,299999,299999,299999,299999,31.008344,1635000,1619665
,299999,299999,299999,299999,31.054974,1648000,1625727
,299999,299999,299999,299999,31.303662,1635000,1614395
,299999,299999,299999,299999,31.925383,1648000,1627714
,299999,299999,299999,299999,31.567893,1648000,1620159
,299999,299999,299999,299999,31.754410,1648000,1634334
,299999,299999,299999,299999,31.132689,1648000,1625067
,299999,299999,299999,299999,30.542054,1660000,1632789
,299999,299999,299999,299999,31.707781,1648000,1622178
,299999,299999,299999,299999,31.086060,1648000,1615691
,299999,299999,299999,299999,31.801039,1648000,1624023
,299999,299999,299999,299999,31.505721,1635000,1617298
,299999,299999,299999,299999,30.775199,1660000,1627052
,299999,299999,299999,299999,31.381377,1635000,1619993
,299999,299999,299999,299999,31.536807,1648000,1627494
,299999,299999,299999,299999,32.018641,1648000,1621968
,299999,299999,299999,299999,31.661152,1648000,1629114
,299999,299999,299999,299999,31.972012,1648000,1623983
,299999,299999,299999,299999,30.930629,1660000,1637983
,299999,299999,299999,299999,31.443549,1635000,1619489
,299999,299999,299999,299999,29.500671,1648000,1612736
,299999,299999,299999,299999,31.769953,1648000,1624307
,299999,299999,299999,299999,32.065270,1635000,1615259
,299999,299999,299999,299999,31.863211,1648000,1630634
,299999,299999,299999,299999,30.915086,1635000,1618594
,299999,299999,299999,299999,31.754410,1648000,1624632
,299999,299999,299999,299999,31.225947,1635000,1616602
,299999,299999,299999,299999,31.661152,1648000,1636197
,299999,299999,299999,299999,31.365834,1648000,1627111
,299999,299999,299999,299999,31.847668,1660000,1634483
,299999,299999,299999,299999,31.738867,1648000,1624195
,299999,299999,299999,299999,31.350291,1648000,1617591
,299999,299999,299999,299999,31.894297,1648000,1624363
,299999,299999,299999,299999,31.894297,1635000,1618180
,299999,299999,299999,299999,32.578190,1660000,1629924
,299999,299999,299999,299999,30.697484,1635000,1617430
,299999,299999,299999,299999,31.614523,1648000,1625297
,299999,299999,299999,299999,31.832125,1635000,1618616
,299999,299999,299999,299999,31.505721,1648000,1630912
,299999,299999,299999,299999,31.956469,1648000,1625023
,299999,299999,299999,299999,31.567893,1660000,1634147
,299999,299999,299999,299999,31.692238,1648000,1619954
,299999,299999,299999,299999,30.977258,1648000,1614443
,299999,299999,299999,299999,31.396920,1648000,1624519
,299999,299999,299999,299999,33.619573,1635000,1618536
,299999,299999,299999,299999,31.443549,1660000,1628738
,299999,299999,299999,299999,30.542054,1635000,1614226
,299999,299999,299999,299999,31.443549,1660000,1631445
,299999,299999,299999,299999,31.225947,1635000,1615985
,299999,299999,299999,299999,31.303662,1648000,1628530
,299999,299999,299999,299999,31.319205,1648000,1621032
,299999,299999,299999,299999,31.272576,1660000,1635948
,299999,299999,299999,299999,31.738867,1648000,1625015
,299999,299999,299999,299999,30.231193,1648000,1619802
,299999,299999,299999,299999,30.992801,1635000,1618972
,299999,299999,299999,299999,30.604226,1648000,1619641
,299999,299999,299999,299999,32.640363,1648000,1626888
,299999,299999,299999,299999,31.521264,1635000,1618691
,299999,299999,299999,299999,31.303662,1660000,1627399
,299999,299999,299999,299999,31.334748,1648000,1615274
,299999,299999,299999,299999,31.428006,1648000,1625702
,299999,299999,299999,299999,31.661152,1635000,1624540
,299999,299999,299999,299999,32.982309,1660000,1634781
,299999,299999,299999,299999,32.313959,1648000,1623189
,299999,299999,299999,299999,31.909840,1660000,1617127
,299999,299999,299999,299999,31.801039,1635000,1622653
,299999,299999,299999,299999,29.951418,1660000,1619334
,299999,299999,299999,299999,31.272576,1648000,1630406
,299999,299999,299999,299999,31.490178,1635000,1619489
,299999,299999,299999,299999,30.930629,1648000,1631560
,299999,299999,299999,299999,31.428006,1635000,1618663
,299999,299999,299999,299999,31.070517,1648000,1630760
,299999,299999,299999,299999,31.645609,1635000,1620191
,299999,299999,299999,299999,31.707781,1660000,1636248
,299999,299999,299999,299999,30.775199,1648000,1625866
,299999,299999,299999,299999,30.759656,1648000,1617101
,299999,299999,299999,299999,31.909840,1648000,1622176
,299999,299999,299999,299999,30.992801,1648000,1616817
,299999,299999,299999,299999,31.754410,1648000,1626919
,299999,299999,299999,299999,31.505721,1635000,1616589
,299999,299999,299999,299999,32.422760,1648000,1626760
,299999,299999,299999,299999,31.474635,1635000,1617440
,299999,299999,299999,299999,30.339994,1648000,1625505
,299999,299999,299999,299999,30.744113,1635000,1616119
,299999,299999,299999,299999,31.054974,1648000,1632829
,299999,299999,299999,299999,30.557597,1648000,1621997
,299999,299999,299999,299999,31.785496,1660000,1634250
,299999,299999,299999,299999,31.381377,1648000,1621224
,299999,299999,299999,299999,32.484932,1648000,1614437
,299999,299999,299999,299999,31.428006,1648000,1625227
,299999,299999,299999,299999,31.443549,1635000,1616519
,299999,299999,299999,299999,31.396920,1660000,1631819
,299999,299999,299999,299999,31.723324,1635000,1615484
,299999,299999,299999,299999,31.785496,1648000,1627369
,299999,299999,299999,299999,30.884000,1648000,1618989
