UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
100000,,,,,,,
,299999,299999,299999,299999,30.992801,1660000,1646029
,299999,299999,299999,299999,30.619769,1610000,1586114
,299999,299999,299999,299999,31.257033,1685000,1659596
,299999,299999,299999,299999,31.039430,1673000,1649241
,299999,299999,299999,299999,31.645609,1685000,1666023
,299999,299999,299999,299999,31.179318,1685000,1657649
,299999,299999,299999,299999,32.034184,1698000,1670859
,299999,299999,299999,299999,31.319205,1685000,1658285
,299999,299999,299999,299999,30.852914,1698000,1653970
,299999,299999,299999,299999,31.754410,1685000,1660857
,299999,299999,299999,299999,31.863211,1698000,1652091
,299999,299999,299999,299999,32.065270,1685000,1663174
,299999,299999,299999,299999,31.536807,1673000,1653245
,299999,299999,299999,299999,31.365834,1685000,1662902
,299999,299999,299999,299999,29.920332,1673000,1656266
,299999,299999,299999,299999,31.536807,1685000,1665395
,299999,299999,299999,299999,31.163775,1685000,1658611
,299999,299999,299999,299999,32.453846,1698000,1669552
,299999,299999,299999,299999,30.806285,1685000,1663385
,299999,299999,299999,299999,30.433252,1698000,1657177
,299999,299999,299999,299999,30.650855,1685000,1659001
,299999,299999,299999,299999,31.443549,1698000,1655476
,299999,299999,299999,299999,31.179318,1685000,1663332
,299999,299999,299999,299999,32.127443,1673000,1654437
,299999,299999,299999,299999,31.598980,1685000,1665558
,299999,299999,299999,299999,30.277822,1673000,1653467
,299999,299999,299999,299999,29.485128,1685000,1662801
,299999,299999,299999,299999,31.319205,1685000,1654557
,299999,299999,299999,299999,31.474635,1698000,1670608
,299999,299999,299999,299999,30.371080,1685000,1663135
,299999,299999,299999,299999,31.598980,1698000,1670733
,299999,299999,299999,299999,30.137935,1685000,1658311
,299999,299999,299999,299999,30.246736,1698000,1651062
,299999,299999,299999,299999,31.319205,1685000,1663651
,299999,299999,299999,299999,31.459092,1673000,1650592
,299999,299999,299999,299999,30.215650,1685000,1665845
,299999,299999,299999,299999,31.925383,1673000,1648099
,299999,299999,299999,299999,30.837371,1685000,1664852
,299999,299999,299999,299999,31.101603,1685000,1658026
,299999,299999,299999,299999,31.598980,1698000,1669096
,299999,299999,299999,299999,31.521264,1685000,1661477
,299999,299999,299999,299999,31.241490,1698000,1670387
,299999,299999,299999,299999,31.086060,1685000,1660308
,299999,299999,299999,299999,29.951418,1698000,1656795
,299999,299999,299999,299999,30.044677,1685000,1662725
,299999,299999,299999,299999,31.179318,1673000,1654205
,299999,299999,299999,299999,30.681941,1685000,1665829
,299999,299999,299999,299999,31.054974,1673000,1656536
,299999,299999,299999,299999,30.184564,1685000,1663888
,299999,299999,299999,299999,30.200107,1673000,1656758
,299999,299999,299999,299999,30.573140,1698000,1669161
,299999,299999,299999,299999,31.179318,1685000,1658459
,299999,299999,299999,299999,32.593733,1698000,1673621
,299999,299999,299999,299999,31.692238,1685000,1662691
,299999,299999,299999,299999,30.106849,1698000,1655074
,299999,299999,299999,299999,30.852914,1685000,1660133
,299999,299999,299999,299999,30.790742,1673000,1652091
,299999,299999,299999,299999,31.676695,1698000,1670157
,299999,299999,299999,299999,31.412463,1673000,1655955
,299999,299999,299999,299999,31.474635,1685000,1665534
,299999,299999,299999,299999,31.614523,1673000,1653939
,299999,299999,299999,299999,30.915086,1698000,1667525
,299999,299999,299999,299999,30.495424,1685000,1660003
,299999,299999,299999,299999,30.542054,1698000,1672866
,299999,299999,299999,299999,30.868457,1685000,1661400
,299999,299999,299999,299999,31.334748,1698000,1657509
,299999,299999,299999,299999,30.681941,1685000,1660193
,299999,299999,299999,299999,31.676695,1698000,1654623
,299999,299999,299999,299999,31.117146,1685000,1667037
,299999,299999,299999,299999,31.878754,1673000,1654589
,299999,299999,299999,299999,31.008344,1685000,1665630
,299999,299999,299999,299999,31.878754,1673000,1652139
,299999,299999,299999,299999,30.930629,1685000,1671817
,299999,299999,299999,299999,31.008344,1685000,1658511
,299999,299999,299999,299999,31.707781,1698000,1670847
,299999,299999,299999,299999,31.474635,1685000,1660301
,299999,299999,299999,299999,32.578190,1698000,1650762
,299999,299999,299999,299999,31.288119,1685000,1660880
,299999,299999,299999,299999,30.510967,1698000,1653806
,299999,299999,299999,299999,31.210404,1685000,1666251
,299999,299999,299999,299999,31.272576,1673000,1654136
,299999,299999,299999,299999,30.868457,1685000,1667072
,299999,299999,299999,299999,29.842617,1673000,1651250
,299999,299999,299999,299999,31.536807,1685000,1665515
,299999,299999,299999,299999,30.666398,1685000,1659099
,299999,299999,299999,299999,31.054974,1698000,1671520
,299999,299999,299999,299999,31.552350,1685000,1662202
,299999,299999,299999,299999,32.174072,1698000,1650975
,299999,299999,299999,299999,32.407217,1685000,1661357
,299999,299999,299999,299999,31.319205,1698000,1654313
,299999,299999,299999,299999,30.650855,1685000,1665896
,299999,299999,299999,299999,31.132689,1673000,1655626
,299999,299999,299999,299999,30.977258,1685000,1667379
,299999,299999,299999,299999,30.930629,1673000,1656821
,299999,299999,299999,299999,32.096357,1685000,1663873
,299999,299999,299999,299999,30.868457,1685000,1655727
,299999,299999,299999,299999,31.054974,1698000,1671769
,299999,299999,299999,299999,30.200107,1685000,1668419
,299999,299999,299999,299999,30.510967,1698000,1670979
,299999,299999,299999,299999,31.645609,1685000,1659531
,299999,299999,299999,299999,30.821828,1698000,1653689
,299999,299999,299999,299999,31.210404,1685000,1665260
,299999,299999,299999,299999,31.194861,1673000,1651910
,299999,299999,299999,299999,30.868457,1685000,1667920
,299999,299999,299999,299999,31.723324,1673000,1654289
,299999,299999,299999,299999,30.635312,1685000,1661001
,299999,299999,299999,299999,31.598980,1685000,1658839
,299999,299999,299999,299999,31.645609,1698000,1671211
,299999,299999,299999,299999,30.930629,1685000,1661591
,299999,299999,299999,299999,31.459092,1698000,1670397
,299999,299999,299999,299999,31.396920,1685000,1659645
,299999,299999,299999,299999,31.692238,1698000,1656450
,299999,299999,299999,299999,31.132689,1685000,1659321
,299999,299999,299999,299999,30.666398,1673000,1653441
,299999,299999,299999,299999,30.961715,1685000,1660753
,299999,299999,299999,299999,31.117146,1673000,1654041
,299999,299999,299999,299999,30.604226,1685000,1666297
,299999,299999,299999,299999,32.469389,1673000,1658105
,299999,299999,299999,299999,32.282873,1698000,1668561
,299999,299999,299999,299999,31.039430,1685000,1660654
,299999,299999,299999,299999,30.992801,1698000,1671726
,299999,299999,299999,299999,31.396920,1685000,1659175
,299999,299999,299999,299999,32.469389,1698000,1655111
,299999,299999,299999,299999,30.837371,1685000,1661889
,299999,299999,299999,299999,31.521264,1673000,1650574
,299999,299999,299999,299999,31.381377,1685000,1668679
,299999,299999,299999,299999,30.915086,1673000,1652128
,299999,299999,299999,299999,31.614523,1685000,1663625
,299999,299999,299999,299999,30.666398,1673000,1654700
,299999,299999,299999,299999,31.225947,1698000,1666441
,299999,299999,299999,299999,31.459092,1685000,1664764
,299999,299999,299999,299999,30.013591,1698000,1668173
,299999,299999,299999,299999,30.417709,1685000,1660615
,299999,299999,299999,299999,30.091306,1698000,1652308
,299999,299999,299999,299999,31.630066,1685000,1661741
,299999,299999,299999,299999,32.189615,1698000,1658361
,299999,299999,299999,299999,30.697484,1685000,1668072
,299999,299999,299999,299999,31.148232,1673000,1656135
,299999,299999,299999,299999,30.573140,1685000,1661998
,299999,299999,299999,299999,31.412463,1673000,1655842
,299999,299999,299999,299999,32.267330,1698000,1670651
,299999,299999,299999,299999,30.868457,1685000,1658108
,299999,299999,299999,299999,31.241490,1698000,1670716
,299999,299999,299999,299999,30.713027,1685000,1660789
,299999,299999,299999,299999,30.619769,1698000,1656171
,299999,299999,299999,299999,31.490178,1685000,1663867
,299999,299999,299999,299999,32.422760,1698000,1650936
,299999,299999,299999,299999,32.220701,1685000,1667021
,299999,299999,299999,299999,30.744113,1673000,1649852
,299999,299999,299999,299999,30.464338,1685000,1664782
,299999,299999,299999,299999,30.386623,1673000,1656709
,299999,299999,299999,299999,31.117146,1685000,1665941
,299999,299999,299999,299999,31.847668,1685000,1653811
,299999,299999,299999,299999,30.868457,1698000,1670878
,299999,299999,299999,299999,30.666398,1685000,1664764
,299999,299999,299999,299999,30.510967,1698000,1652118
,299999,299999,299999,299999,31.567893,1685000,1663883
,299999,299999,299999,299999,31.459092,1698000,1652319
,299999,299999,299999,299999,30.961715,1685000,1664316
,299999,299999,299999,299999,31.536807,1698000,1681843
,299999,299999,299999,299999,31.474635,1685000,1669285
