UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
100000,,,,,,,
,399999,399999,399999,399999,28.692433,1861000,1849468
,399999,399999,399999,399999,29.236439,1811000,1802027
,399999,399999,399999,399999,29.081009,1836000,1820404
,399999,399999,399999,399999,28.770148,1811000,1804791
,399999,399999,399999,399999,28.459288,1861000,1823256
,399999,399999,399999,399999,28.847863,1923000,1891591
,399999,399999,399999,399999,28.770148,1935000,1906327
,399999,399999,399999,399999,28.039626,1935000,1904331
,399999,399999,399999,399999,28.723519,1935000,1916374
,399999,399999,399999,399999,27.713222,1923000,1901524
,399999,399999,399999,399999,27.884195,1935000,1891526
,399999,399999,399999,399999,28.132884,1923000,1902625
,399999,399999,399999,399999,28.568089,1923000,1889851
,399999,399999,399999,399999,28.568089,1935000,1906837
,399999,399999,399999,399999,29.081009,1923000,1891207
,399999,399999,399999,399999,28.987751,1935000,1901775
,399999,399999,399999,399999,28.303857,1923000,1890322
,399999,399999,399999,399999,30.184564,1935000,1904473
,399999,399999,399999,399999,29.034380,1923000,1902446
,399999,399999,399999,399999,28.412658,1935000,1913715
,399999,399999,399999,399999,28.257228,1935000,1901671
,399999,399999,399999,399999,28.334943,1935000,1893588
,399999,399999,399999,399999,28.972208,1923000,1902381
,399999,399999,399999,399999,29.220896,1923000,1895609
,399999,399999,399999,399999,29.578386,1935000,1903445
,399999,399999,399999,399999,29.702730,1923000,1890698
,399999,399999,399999,399999,28.490374,1935000,1907944
,399999,399999,399999,399999,28.459288,1923000,1895389
,399999,399999,399999,399999,29.531757,1935000,1904486
,399999,399999,399999,399999,29.842617,1923000,1893194
,399999,399999,399999,399999,28.754605,1935000,1911485
,399999,399999,399999,399999,29.003294,1935000,1901669
,399999,399999,399999,399999,27.651050,1935000,1895321
,399999,399999,399999,399999,29.018837,1923000,1903947
,399999,399999,399999,399999,27.806480,1935000,1890985
,399999,399999,399999,399999,28.941121,1935000,1900962
,399999,399999,399999,399999,28.801234,1923000,1886464
,399999,399999,399999,399999,28.910035,1935000,1905311
,399999,399999,399999,399999,29.081009,1923000,1892940
,399999,399999,399999,399999,28.428201,1935000,1900811
,399999,399999,399999,399999,29.873703,1923000,1899195
,399999,399999,399999,399999,29.873703,1935000,1904836
,399999,399999,399999,399999,28.878949,1935000,1899569
,399999,399999,399999,399999,28.459288,1935000,1890133
,399999,399999,399999,399999,28.941121,1923000,1896966
,399999,399999,399999,399999,28.925578,1935000,1894596
,399999,399999,399999,399999,29.283068,1923000,1902597
,399999,399999,399999,399999,28.847863,1923000,1887982
,399999,399999,399999,399999,28.459288,1935000,1908354
,399999,399999,399999,399999,28.024083,1923000,1889562
,399999,399999,399999,399999,29.593929,1935000,1902524
,399999,399999,399999,399999,28.847863,1923000,1894768
,399999,399999,399999,399999,29.189810,1935000,1909742
,399999,399999,399999,399999,29.220896,1923000,1890173
,399999,399999,399999,399999,29.733816,1935000,1906276
,399999,399999,399999,399999,28.692433,1923000,1897469
,399999,399999,399999,399999,28.428201,1935000,1897592
,399999,399999,399999,399999,29.003294,1923000,1891791
,399999,399999,399999,399999,28.210599,1923000,1891164
,399999,399999,399999,399999,30.137935,1948000,1912745
,399999,399999,399999,399999,28.770148,1923000,1889038
,399999,399999,399999,399999,28.770148,1935000,1907509
,399999,399999,399999,399999,28.707976,1923000,1893906
,399999,399999,399999,399999,28.614718,1935000,1905673
,399999,399999,399999,399999,28.801234,1923000,1897927
,399999,399999,399999,399999,29.345240,1935000,1916039
,399999,399999,399999,399999,29.640558,1935000,1905673
