UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
100000,,,,,,,
,599999,599999,599999,599999,29.314154,2010000,1968997
,599999,599999,599999,599999,28.847863,1923000,1911980
,599999,599999,599999,599999,28.878949,1960000,1926630
,599999,599999,599999,599999,29.251982,2098000,2081125
,599999,599999,599999,599999,29.438498,2110000,2087564
,599999,599999,599999,599999,28.956664,2098000,2081064
,599999,599999,599999,599999,28.910035,2111000,2071852
,599999,599999,599999,599999,28.490374,2111000,2085010
,599999,599999,599999,599999,28.941121,2098000,2081610
,599999,599999,599999,599999,29.904789,2085000,2076566
,599999,599999,599999,599999,29.236439,2085000,2066793
,599999,599999,599999,599999,28.117341,2111000,2087836
,599999,599999,599999,599999,29.112095,2098000,2075757
,599999,599999,599999,599999,27.977454,2110000,2096707
,599999,599999,599999,599999,29.143181,2085000,2070644
,599999,599999,599999,599999,29.360783,2111000,2081768
,599999,599999,599999,599999,30.308908,2098000,2075762
,599999,599999,599999,599999,28.987751,2123000,2079912
,599999,599999,599999,599999,29.873703,2098000,2082319
,599999,599999,599999,599999,30.713027,2098000,2077479
,599999,599999,599999,599999,29.609472,2098000,2077535
,599999,599999,599999,599999,28.428201,2085000,2067264
,599999,599999,599999,599999,28.443745,2111000,2089080
,599999,599999,599999,599999,29.562843,2085000,2071803
,599999,599999,599999,599999,29.795988,2111000,2089471
,599999,599999,599999,599999,29.314154,1736000,1714777
,599999,599999,599999,599999,28.583632,1960000,1924868
,599999,599999,599999,599999,28.832320,1948000,1914354
,599999,599999,599999,599999,28.941121,2098000,2081998
,599999,599999,599999,599999,29.500671,2098000,2071336
,599999,599999,599999,599999,28.847863,2111000,2077107
,599999,599999,599999,599999,28.941121,2123000,2100657
,599999,599999,599999,599999,29.298611,2123000,2093213
,599999,599999,599999,599999,29.780445,2098000,2077465
,599999,599999,599999,599999,29.376326,2111000,2079550
,599999,599999,599999,599999,30.324451,2123000,2088631
,599999,599999,599999,599999,29.081009,2098000,2077525
,599999,599999,599999,599999,28.956664,2098000,2087349
,599999,599999,599999,599999,28.878949,2085000,2069898
,599999,599999,599999,599999,28.910035,2098000,2076418
,599999,599999,599999,599999,30.417709,2111000,2083775
,599999,599999,599999,599999,29.889246,2123000,2076166
,599999,599999,599999,599999,30.122392,2098000,2085811
,599999,599999,599999,599999,29.096552,2111000,2077472
,599999,599999,599999,599999,29.189810,2111000,2087006
,599999,599999,599999,599999,29.656101,2098000,2078157
,599999,599999,599999,599999,28.832320,2123000,2096138
,599999,599999,599999,599999,30.806285,2085000,2076268
,599999,599999,599999,599999,30.728570,2098000,2082454
,599999,599999,599999,599999,28.894492,2098000,2073573
,599999,599999,599999,599999,30.371080,1973000,1962320
,599999,599999,599999,599999,28.568089,1898000,1873696
,599999,599999,599999,599999,28.863406,1961000,1912785
,599999,599999,599999,599999,28.816777,1948000,1924342
,599999,599999,599999,599999,30.200107,2098000,2078033
,599999,599999,599999,599999,29.127638,2111000,2092089
,599999,599999,599999,599999,29.609472,2098000,2081281
,599999,599999,599999,599999,29.904789,2098000,2079327
,599999,599999,599999,599999,29.112095,2098000,2070908
,599999,599999,599999,599999,29.609472,2111000,2099133
,599999,599999,599999,599999,28.847863,2098000,2079950
,599999,599999,599999,599999,29.360783,2111000,2093789
,599999,599999,599999,599999,29.314154,2111000,2077898
,599999,599999,599999,599999,30.402166,2110000,2070214
,599999,599999,599999,599999,30.215650,2111000,2091082
,599999,599999,599999,599999,30.106849,2098000,2065504
,599999,599999,599999,599999,30.262279,2111000,2086443
,599999,599999,599999,599999,30.277822,2098000,2076899
,599999,599999,599999,599999,29.112095,2098000,2074990
,599999,599999,599999,599999,28.878949,2111000,2078271
