UPDATE_PERIOD_us,cpu_freq0,cpu_freq1,cpu_freq2,cpu_freq3,cpu_iio_temp,sensor_cpu_uW,sensor_ina226_CALC_uW
100000,,,,,,,
,1199999,1199999,1199999,1199999,27.713222,1748000,1731716
,1199999,1199999,1199999,1199999,28.086255,1623000,1603890
,1199999,1199999,1199999,1199999,27.573335,1648000,1626837
,1199999,1199999,1199999,1199999,26.454237,1610000,1593572
,1199999,1199999,1199999,1199999,27.495620,1635000,1587436
,1199999,1199999,1199999,1199999,27.868652,1610000,1598913
,1199999,1199999,1199999,1199999,28.039626,1623000,1600510
,1199999,1199999,1199999,1199999,28.381572,1623000,1598948
,1199999,1199999,1199999,1199999,27.138130,1610000,1586440
,1199999,1199999,1199999,1199999,27.759851,1636000,1619183
,1199999,1199999,1199999,1199999,26.531952,1610000,1595763
,1199999,1199999,1199999,1199999,27.635507,1636000,1612189
,1199999,1199999,1199999,1199999,28.490374,1610000,1588528
,1199999,1199999,1199999,1199999,27.635507,1635000,1608142
,1199999,1199999,1199999,1199999,27.184759,1610000,1607172
,1199999,1199999,1199999,1199999,28.039626,1635000,1596839
,1199999,1199999,1199999,1199999,28.925578,1610000,1593657
,1199999,1199999,1199999,1199999,27.930825,1610000,1591792
,1199999,1199999,1199999,1199999,28.941121,1623000,1600953
,1199999,1199999,1199999,1199999,27.091501,1610000,1605175
,1199999,1199999,1199999,1199999,28.070712,1636000,1613855
,1199999,1199999,1199999,1199999,27.355732,1610000,1595078
,1199999,1199999,1199999,1199999,26.951614,1636000,1611890
,1199999,1199999,1199999,1199999,27.666593,1610000,1589336
,1199999,1199999,1199999,1199999,28.816777,1635000,1605938
,1199999,1199999,1199999,1199999,28.070712,1610000,1590370
,1199999,1199999,1199999,1199999,27.837566,1635000,1590500
,1199999,1199999,1199999,1199999,27.433448,1610000,1586296
,1199999,1199999,1199999,1199999,28.381572,1610000,1588776
,1199999,1199999,1199999,1199999,27.899738,1623000,1592720
,1199999,1199999,1199999,1199999,26.998243,1610000,1595837
,1199999,1199999,1199999,1199999,27.153673,1623000,1604803
,1199999,1199999,1199999,1199999,27.619964,1610000,1587388
,1199999,1199999,1199999,1199999,27.309103,1636000,1609409
,1199999,1199999,1199999,1199999,28.381572,1610000,1589952
,1199999,1199999,1199999,1199999,28.008540,1648000,1615538
,1199999,1199999,1199999,1199999,27.215845,1610000,1587105
,1199999,1199999,1199999,1199999,28.024083,1635000,1593541
,1199999,1199999,1199999,1199999,26.811726,1610000,1590013
,1199999,1199999,1199999,1199999,26.982700,1635000,1600460
,1199999,1199999,1199999,1199999,27.744308,1623000,1603662
,1199999,1199999,1199999,1199999,28.132884,1610000,1591379
,1199999,1199999,1199999,1199999,27.417905,1623000,1599532
,1199999,1199999,1199999,1199999,26.967157,1610000,1594288
,1199999,1199999,1199999,1199999,28.163970,1623000,1600769
,1199999,1199999,1199999,1199999,27.713222,1623000,1600889
,1199999,1199999,1199999,1199999,27.946368,1635000,1603814
,1199999,1199999,1199999,1199999,28.723519,1623000,1608859
,1199999,1199999,1199999,1199999,27.728765,1635000,1630672
,1199999,1199999,1199999,1199999,27.511163,1623000,1598699
,1199999,1199999,1199999,1199999,27.744308,1648000,1603033
,1199999,1199999,1199999,1199999,27.713222,1610000,1588491
,1199999,1199999,1199999,1199999,27.324646,1610000,1589682
,1199999,1199999,1199999,1199999,27.977454,1623000,1606337
,1199999,1199999,1199999,1199999,27.884195,1610000,1588889
,1199999,1199999,1199999,1199999,27.604421,1623000,1602173
,1199999,1199999,1199999,1199999,27.759851,1610000,1591395
,1199999,1199999,1199999,1199999,27.448991,1623000,1599264
,1199999,1199999,1199999,1199999,27.511163,1610000,1588985
,1199999,1199999,1199999,1199999,27.526706,1648000,1619530
,1199999,1199999,1199999,1199999,27.588878,1610000,1595132
,1199999,1199999,1199999,1199999,28.505917,1648000,1605409
,1199999,1199999,1199999,1199999,26.858355,1610000,1587446
,1199999,1199999,1199999,1199999,27.651050,1610000,1595358
,1199999,1199999,1199999,1199999,29.236439,1636000,1607766
,1199999,1199999,1199999,1199999,28.956664,1623000,1603289
,1199999,1199999,1199999,1199999,28.272771,1623000,1600743
,1199999,1199999,1199999,1199999,26.485323,1610000,1590816
,1199999,1199999,1199999,1199999,27.371275,1623000,1605211
,1199999,1199999,1199999,1199999,28.661347,1623000,1603264
,1199999,1199999,1199999,1199999,27.588878,1635000,1604810
,1199999,1199999,1199999,1199999,28.894492,1610000,1587814
,1199999,1199999,1199999,1199999,27.371275,1635000,1586280
,1199999,1199999,1199999,1199999,27.013786,1623000,1592907
,1199999,1199999,1199999,1199999,28.163970,1623000,1600608
,1199999,1199999,1199999,1199999,27.464534,1636000,1613909
,1199999,1199999,1199999,1199999,28.210599,1610000,1592084
