[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  13778       tick     100297570         87894      73137242         38605 
      2  13778       tick      99959273         20237      95772151         11276 
      3  13778       tick     100039488         19698      95737779         11595 
      4  13778       tick     100037789         18542      95682794         12541 
      5  13778       tick      99962285         19293      95643896         12050 
      6  13778       tick     100047270         18725      95696912         12402 
      7  13778       tick     100039205         17976      95834635         12107 
      8  13778       tick     100058343         19216      95848815         11990 
      9  13778       tick      99939410         19963      95267088         12500 
     10  13778       tick      99962182         17919      95542066         12174 
     11  13778       tick     100044030         18040      95720440         12404 
     12  13778       tick      99965441         18220      95759039         12330 
     13  13778       tick     100041639         16951      95819654         12540 
     14  13778       tick     100037859         18381      95857443         12604 
     15  13778       tick      99955031         17433      95735869         12694 
     16  13778       tick      99990183         19070      95597130         12844 
     17  13778       tick     100039339         19211      95874173         12653 
     18  13778       tick     100038573         16835      95824394         12692 
     19  13778       tick      99914579         18886      95479975         12675 
     20  13778       tick      99955362         16865      95640830         12435 
     21  13778       tick     100041450         17225      95817854         12640 
     22  13778       tick      99962586         17432      95618132         12481 
     23  13778       tick     100042407         18628      95820594         12387 
     24  13778       tick     100038741         17930      95853400         12720 
     25  13778       tick      96811883         18815      92540738         12452 
     26  13778       tick     103180426         19133      98588755         13209 
     27  13778       tick     100038669         15950      95886545         12501 
     28  13778       tick     100038738         15510      95913446         12675 
     29  13778       tick      99943203         16224      95511713         12944 
     30  13778       tick     100060683         17773      95551123         12701 
     31  13778       tick      99967060         18506      95604937         12372 
     32  13778       tick      99955158         17242      95757739         12647 
     33  13778       tick     100040548         16327      95851119         12535 
     34  13778       tick     100038999         18217      95693178         12789 
     35  13778       tick     100037727         19859      95852572         12835 
     36  13778       tick      99964538         18386      95630701         12796 
     37  13778       tick     100037160         18038      95862519         12514 
     38  13778       tick     100040601         18629      95849028         12353 
     39  13778       tick      99942555         18222      95311942         12771 
     40  13778       tick     100041586         17994      95870126         12424 
     41  13778       tick      99963105         17698      95551552         12566 
     42  13778       tick      99949858         16911      95727380         12378 
     43  13778       tick     100040284         18414      95722073         12808 
     44  13778       tick     100038893         18022      95847661         12765 
     45  13778       tick     100037541         15872      95622045         12768 
     46  13778       tick      99965576         17329      95702489         12558 
     47  13778       tick     100047210         17150      95871247         12292 
     48  13778       tick     100039938         17989      95877497         12320 
     49  13778       tick      99919840         17003      95459133         12673 
     50  13778       tick      99934411         16636      95812065         12430 
     51  13778       tick     100061298         16525      95753313         12540 
     52  13778       tick     100037589         16966      95867142         12439 
     53  13778       tick      99966098         18787      95783797         12942 
     54  13778       tick     100037447         19337      95843187         12810 
     55  13778       tick     100037625         19143      95852632         12599 
     56  13778       tick      99958848         19003      95640100         12782 
     57  13778       tick     100041515         17284      95822877         12438 
     58  13778       tick     100039743         17741      95825840         12519 
     59  13778       tick      99998603         18939      95302757         12805 
     60  13778       tick      99969591         17613      95411042         12676 
     61  13778       tick      99965342         17682      95743568         12582 
     62  13778       tick     100042968         17433      95836247         12825 
     63  13778       tick      99964477         19775      95768338         12991 
     64  13778       tick     100040558         17579      95838258         12729 
     65  13778       tick     100040625         17593      95642608         12610 
     66  13778       tick      99955324         19117      95456812         12538 
     67  13778       tick     100043534         17328      95848103         12433 
     68  13778       tick     100038240         18051      95877614         12446 
     69  13778       tick      99994694         17918      95317277         12536 
     70  13778       tick      99966866         17814      95621243         12462 
     71  13778       exit      11438760         13118      10112884          3883 
