[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1    601       tick      19622512      15389672       4174169           301 
      2    601       tick      20239005      15890560       4306958            72 
      3    601       tick      20234109      15886663       4305937            59 
      4    601       tick      20252785      15901375       4309896            61 
      5    601       tick      20264500      15910522       4312410            80 
      6    601       tick      20286598      15927938       4317081            44 
      7    601       tick      20257846      15905300       4310991            44 
      8    601       tick      20167098      15834090       4291660            44 
      9    601       tick      20219430      15875162       4302801            31 
     10    601       tick      20288006      15928999       4317411            25 
     11    601       tick      20226375      15880633       4304279            37 
     12    601       tick      20237225      15889130       4306581            36 
     13    601       tick      20226233      15880517       4304253            30 
     14    601       tick      20233235      15885981       4305747            24 
     15    601       tick      20295739      15935109       4319033            28 
     16    601       tick      19727459      15488880       4198112            26 
     17    601       tick      19293757      15148364       4105826            35 
     18    601       tick      20155193      15824740       4289128            36 
     19    601       tick      20292383      15932463       4318329            37 
     20    601       tick      20272196      15916587       4314027            20 
     21    601       tick      20259052      15906270       4311238            33 
     22    601       tick      19854966      15589032       4225238            28 
     23    601       tick      20641927      16206874       4392724            37 
     24    601       tick      20282086      15924354       4316131            23 
     25    601       tick      20285321      15926879       4316834            27 
     26    601       tick      20293859      15933621       4318644            36 
     27    601       tick      20286513      15927819       4317084            28 
     28    601       tick      20143896      15815874       4286719            36 
     29    601       tick      20263290      15909608       4312147            36 
     30    601       tick      20217762      15873835       4302450            31 
     31    601       tick      20257764      15905295       4310946            34 
     32    601       tick      20278775      15921730       4315449            51 
     33    601       tick      20237770      15889580       4306705            50 
     34    601       tick      20205821      15864452       4299915            28 
     35    601       tick      20292689      15932716       4318382            32 
     36    601       tick      20273300      15917455       4314261            26 
     37    601       tick      20284951      15926622       4316752            30 
     38    601       tick      20211228      15868707       4301057            28 
     39    601       tick      20259792      15906868       4311396            45 
     40    601       tick      20227682      15881624       4304562            37 
     41    601       tick      20262051      15908651       4311868            27 
     42    601       tick      20280786      15923321       4315866            38 
     43    601       tick      20199718      15859692       4298614            41 
     44    601       tick      20275134      15918884       4314662            27 
     45    601       tick      20289449      15930167       4317697            26 
     46    601       tick      20271357      15915932       4313845            31 
     47    601       tick      20289978      15930581       4317811            30 
     48    601       tick      20201741      15861228       4299066            36 
     49    601       tick      20261653      15908343       4311779            31 
     50    601       tick      20217503      15873654       4302386            26 
     51    601       tick      20282039      15924324       4316131            32 
     52    601       tick      20257324      15904890       4310880            30 
     53    601       tick      20214594      15871383       4301771            33 
     54    601       tick      20251240      15900162       4309567            27 
     55    601       tick      20262889      15909277       4312048            31 
     56    601       tick      20279739      15922516       4315639            26 
     57    601       tick      20255944      15903822       4310588            28 
     58    601       tick      20193424      15854764       4297261            33 
     59    601       tick      20249592      15898823       4309230            37 
     60    601       tick      19738821      15497844       4200519            70 
     61    601       tick      20725242      16272277       4410445            41 
     62    601       tick      20255438      15903460       4310459            34 
     63    601       tick      20164949      15832379       4291225            39 
     64    601       tick      20271894      15916357       4313956            35 
     65    601       tick      20291702      15931925       4318187            24 
     66    601       tick      20273177      15917352       4314241            33 
     67    601       tick      20244445      15894826       4308121            37 
     68    601       tick      20284698      15926386       4316705            25 
     69    601       tick      20234984      15887408       4306097            30 
     70    601       tick      20224620      15879204       4303925            26 
     71    601       tick      20207355      15865701       4300228            29 
     72    601       tick      20246429      15896367       4308543            37 
     73    601       tick      20264789      15910772       4312466            43 
     74    601       tick      20251156      15900082       4309546            33 
     75    601       tick      20224919      15879457       4303988            45 
     76    601       exit       8915453       6997679       1897740            34 
