[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  30499       tick      25897324      14475899       7883064           227 
      2  30499       tick      31753491      17741253       9736674            99 
      3  30499       tick      32145183      17939627       9814572            80 
      4  30499       tick      31989089      17876606       9777157            65 
      5  30499       tick      32043608      17878508       9811231            79 
      6  30499       tick      32331501      18042954       9891577            52 
      7  30499       tick      32054303      17906690       9799448            56 
      8  30499       tick      32031170      17878348       9778681            62 
      9  30499       tick      32204338      17990254       9866473            58 
     10  30499       tick      32130985      17931743       9809048            50 
     11  30499       tick      32073748      17918449       9828337            63 
     12  30499       tick      32034648      17879248       9779859            71 
     13  30499       tick      32188209      17986018       9835765            58 
     14  30499       tick      32060644      17887388       9816300            79 
     15  30499       tick      32046051      17885870       9784121            67 
     16  30499       tick      32237629      18007392       9877943            70 
     17  30499       tick      32348738      18044621       9900896            65 
     18  30499       tick      31823123      17787256       9727203            63 
     19  30499       tick      32311733      18031370       9861514            64 
     20  30499       tick      32135062      17951821       9846748            65 
     21  30499       tick      32291499      18020012       9855642            80 
     22  30499       tick      32195370      17984909       9864549            72 
     23  30499       tick      31820416      17760636       9719242            88 
     24  30499       tick      32003461      17885120       9782082            81 
     25  30499       tick      32273148      18004764       9876109            78 
     26  30499       tick      32031883      17875678       9789709            62 
     27  30499       tick      32276361      18032439       9876973            66 
     28  30499       tick      31912743      17811636       9746305            54 
     29  30499       tick      32216054      17995935       9870274            62 
     30  30499       tick      32352480      18054911       9871648            59 
     31  30499       tick      32004246      17881032       9801696            75 
     32  30499       tick      32251824      17995986       9852191            64 
     33  30499       tick      31807391      17776349       9725083            71 
     34  30499       tick      32031755      17871679       9807981            65 
     35  30499       tick      32206563      17966906       9856499            61 
     36  30499       tick      31909768      17833893       9754330            53 
     37  30499       tick      32226853      17985706       9836459            55 
     38  30499       tick      32208380      17992096       9867874            59 
     39  30499       tick      32072460      17899837       9791644            55 
     40  30499       tick      32205139      17995449       9839693            55 
     41  30499       tick      32124484      17922726       9834713            56 
     42  30499       tick      32210086      17998026       9842977            58 
     43  30499       tick      31844044      17770340       9752054            63 
     44  30499       tick      31843351      17772930       9724908            83 
     45  30499       tick      32236637      18010844       9864658            57 
     46  30499       tick      32094946      17909494       9810539            70 
     47  30499       tick      32090382      17931866       9808477            60 
     48  30499       tick      32243661      17989017       9867552            62 
     49  30499       tick      31857237      17803492       9740914            56 
     50  30499       tick      32176805      17952674       9848815            60 
     51  30499       tick      32257352      18024891       9854995            62 
     52  30499       tick      32140597      17932157       9838987            76 
     53  30499       tick      32083595      17903182       9805931            58 
     54  30499       tick      32213687      17998378       9857951            48 
     55  30499       tick      32001545      17861545       9770932            48 
     56  30499       tick      30810566      17204186       9427700            49 
     57  30499       tick      33311404      18599798      10186400            53 
     58  30499       exit      25290554      14104614       7765447           104 
