[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  14585       tick           264      25264952         43295         12501 
      2  14585       tick           128      26199344         40861          6709 
      3  14585       tick           120      26009004         41310          6943 
      4  14585       tick           128      26109532         41061          6613 
      5  14585       tick           117      26088553         41375          6692 
      6  14585       tick           103      26107586         41318          6706 
      7  14585       tick           110      26074104         40911          7011 
      8  14585       tick           118      26086417         41243          6754 
      9  14585       tick           114      26138358         41263          6563 
     10  14585       tick           101      26057853         41251          7033 
     11  14585       tick            97      26101513         41414          6853 
     12  14585       tick           102      26122612         41387          6564 
     13  14585       tick            92      25950651         40935          7631 
     14  14585       tick           106      26080006         41052          6726 
     15  14585       tick           102      26094607         41128          6732 
     16  14585       tick            95      26150715         40975          6633 
     17  14585       tick            92      26100381         41213          6770 
     18  14585       tick            84      26012236         41293          7327 
     19  14585       tick            94      26098562         41086          6417 
     20  14585       tick            90      26149346         41287          6644 
     21  14585       tick            86      25985211         41094          7106 
     22  14585       tick            94      25997335         41102          7147 
     23  14585       tick            84      25988872         40955          7398 
     24  14585       tick            94      26132759         41233          6678 
     25  14585       tick            85      26105072         41199          6670 
     26  14585       tick            93      26096237         41316          6691 
     27  14585       tick            88      26110238         41286          6908 
     28  14585       tick            84      26104232         41065          6750 
     29  14585       tick            90      26118887         41226          6822 
     30  14585       tick            86      26132302         41033          6726 
     31  14585       tick            91      26085364         41175          6835 
     32  14585       tick            84      26153650         41352          6666 
     33  14585       tick            85      25947568         40882          7541 
     34  14585       tick            83      26071827         41110          6915 
     35  14585       tick            86      26135543         41486          6579 
     36  14585       tick            91      26105746         41284          6818 
     37  14585       tick            93      25176644         39523          6473 
     38  14585       tick           132      26928560         42579          7290 
     39  14585       tick            90      25945491         40956          7461 
     40  14585       tick            87      26123240         41136          6516 
     41  14585       tick           110      26081501         41035          7055 
     42  14585       tick            83      26086140         41290          6811 
     43  14585       tick            73      25998264         41306          7678 
     44  14585       tick            65      26118393         41244          6706 
     45  14585       tick            70      26120839         41461          6650 
     46  14585       tick            65      26097655         41138          6723 
     47  14585       tick            73      26095274         41495          6682 
     48  14585       tick            82      26090034         41096          6793 
     49  14585       tick            88      26101785         41265          6728 
     50  14585       tick            88      26052412         41261          6929 
     51  14585       tick           122      26092925         41243          6920 
     52  14585       tick           128      25979177         41088          7218 
     53  14585       tick            80      26066400         41126          7018 
     54  14585       tick            80      26112284         41179          6746 
     55  14585       tick            76      26130571         41127          6627 
     56  14585       tick            74      26110705         41144          6644 
     57  14585       tick            82      26089555         41205          6748 
     58  14585       tick            80      26044095         41039          7227 
     59  14585       exit            76      13556810         21671          4533 
