[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  30652       tick            43       7716109        983369          2183 
      2  30652       tick             1      10782931       1413655            53 
      3  30652       tick             0      10783863       1413628            56 
      4  30652       tick             1      10799016       1415665            59 
      5  30652       tick             0      10789286       1414483            63 
      6  30652       tick             0      10740311       1408020            65 
      7  30652       tick             0      10570820       1385934            64 
      8  30652       tick             1      10761361       1410738            81 
      9  30652       tick             2      10763036       1410988            61 
     10  30652       tick             1      10744000       1408628            57 
     11  30652       tick             0      10778449       1412939            56 
     12  30652       tick             0      10746235       1408901            55 
     13  30652       tick             0      10814374       1417923            53 
     14  30652       tick             0      10723476       1405835            60 
     15  30652       tick             0      10793629       1415041            51 
     16  30652       tick             1      10806584       1416644            53 
     17  30652       tick             0      10809733       1417083            58 
     18  30652       tick             0      10759147       1410511            59 
     19  30652       tick             0      10816579       1418117            58 
     20  30652       tick             0      10363217       1358559            49 
     21  30652       tick             1      11196849       1467871            64 
     22  30652       tick             1      10757951       1410275            68 
     23  30652       tick             0      10805423       1416412            58 
     24  30652       tick             0      10812816       1417686            53 
     25  30652       tick             0      10782275       1413489            60 
     26  30652       tick             1      10801195       1416023            56 
     27  30652       tick             0      10740618       1408042            65 
     28  30652       tick             0      10762391       1411020            63 
     29  30652       tick             1      10742229       1408203            68 
     30  30652       tick             1      10764094       1411221            64 
     31  30652       tick             1      10717627       1405145            65 
     32  30652       tick             1      10674493       1399379            69 
     33  30652       tick             0      10677234       1399848            75 
     34  30652       tick             0      10701739       1402827            69 
     35  30652       tick             0      10309493       1351552            73 
     36  30652       tick             1      11134772       1459701            64 
     37  30652       tick             0      10785234       1413887            61 
     38  30652       exit            13       1012415        132740           143 
