[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  25669       tick        733556         13204       5102859 
      2  25669       tick       1395378            70       7137044 
      3  25669       tick       1391207            88       7115828 
      4  25669       tick       1394881            75       7134600 
      5  25669       tick       1394405            92       7132120 
      6  25669       tick       1395986            78       7140255 
      7  25669       tick       1390901            99       7114189 
      8  25669       tick       1381911           143       7068268 
      9  25669       tick       1383529           149       7076575 
     10  25669       tick       1387653           133       7097716 
     11  25669       tick       1388428           136       7101645 
     12  25669       tick       1397891            98       7150044 
     13  25669       tick       1392492           107       7122443 
     14  25669       tick       1392235            98       7120961 
     15  25669       tick       1393478           116       7127419 
     16  25669       tick       1394980           110       7135190 
     17  25669       tick       1397696            97       7149092 
     18  25669       tick       1397304           112       7146888 
     19  25669       tick       1396267           102       7141742 
     20  25669       tick       1389720           120       7108363 
     21  25669       tick       1390806           123       7113785 
     22  25669       tick       1390098           118       7110196 
     23  25669       tick       1392528           101       7122636 
     24  25669       tick       1395580           107       7138145 
     25  25669       tick       1395559           110       7138160 
     26  25669       tick       1394080           107       7130602 
     27  25669       tick       1397054           112       7145692 
     28  25669       tick       1396414            97       7142513 
     29  25669       tick       1389408           105       7106664 
     30  25669       tick       1391426           109       7116933 
     31  25669       tick       1393429           119       7127222 
     32  25669       tick       1394566           106       7133069 
     33  25669       tick       1390363           111       7111382 
     34  25669       tick       1389022           109       7104629 
     35  25669       tick       1395204           112       7136201 
     36  25669       tick       1391832           128       7119053 
     37  25669       tick       1391889           112       7119319 
     38  25669       exit        485026           121       2480188 
