[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  26014       tick         79984        462795        462795        322464 
      2  26014       tick             0             0             0             0 
      3  26014       tick             0             0             0             0 
      4  26014       tick             0             0             0             0 
      5  26014       tick             0             0             0             0 
      6  26014       tick             0             0             0             0 
      7  26014       tick             0             0             0             0 
      8  26014       tick             0             0             0             0 
      9  26014       tick             0             0             0             0 
     10  26014       tick             0             0             0             0 
     11  26014       tick             0             0             0             0 
     12  26014       tick             0             0             0             0 
     13  26014       tick             0             0             0             0 
     14  26014       tick             0             0             0             0 
     15  26014       tick             0             0             0             0 
     16  26014       tick             0             0             0             0 
     17  26014       tick             0             0             0             0 
     18  26014       tick             0             0             0             0 
     19  26014       tick             0             0             0             0 
     20  26014       exit           412          2095          2095          1408 
