[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  25449       tick        991192        658790        328512          3018 
      2  25449       tick       3165813       2109765       1056048          9837 
      3  25449       tick       4510948       3007298       1503650         14004 
      4  25449       tick       4514675       3009783       1504892         13902 
      5  25449       tick       4408114       2938742       1469372         13684 
      6  25449       tick       4576609       3051074       1525535         14212 
      7  25449       tick       4467849       2978567       1489282         13846 
      8  25449       tick       4357360       2904908       1452452         13537 
      9  25449       tick       4382367       2921580       1460787         13634 
     10  25449       tick       4403044       2935363       1467681         13659 
     11  25449       tick       4457730       2971820       1485910         13805 
     12  25449       tick       4424275       2949517       1474758         13756 
     13  25449       tick       4393011       2928675       1464336         13654 
     14  25449       tick       4383716       2922478       1461238         13629 
     15  25449       tick       4469319       2979547       1489772         13850 
     16  25449       tick       4440395       2960263       1480132         13787 
     17  25449       tick       4411669       2941114       1470555         13670 
     18  25449       tick       4383844       2922562       1461282         13628 
     19  25449       tick       4515100       3010068       1505032         13972 
     20  25449       tick       4464431       2976287       1488144         13879 
     21  25449       tick       4501518       3001013       1500505         14000 
     22  25449       tick       4486321       2990879       1495442         13889 
     23  25449       tick       4501870       3001247       1500623         13989 
     24  25449       tick       4515391       3010261       1505130         14009 
     25  25449       tick       4515945       3010631       1505314         14007 
     26  25449       tick       4499111       2999409       1499702         13978 
     27  25449       tick       4486424       2990949       1495475         13918 
     28  25449       tick       4490411       2993608       1496803         13941 
     29  25449       tick       4516055       3010704       1505351         13859 
     30  25449       tick       4470758       2980507       1490251         13813 
     31  25449       tick       4489207       2992804       1496403         13932 
     32  25449       tick       4477970       2985314       1492656         13828 
     33  25449       tick       4501642       3001094       1500548         13980 
     34  25449       tick       4493524       2995683       1497841         13960 
     35  25449       tick       4504539       3003026       1501513         13981 
     36  25449       tick       4507713       3005140       1502573         13984 
     37  25449       tick       4492268       2994846       1497422         13950 
     38  25449       tick       4411883       2941254       1470629         13699 
     39  25449       tick       4489635       2993090       1496545         13949 
     40  25449       tick       4502060       3001374       1500686         13968 
     41  25449       tick       4485490       2990328       1495162         13925 
     42  25449       tick       4517222       3011482       1505740         14047 
     43  25449       tick       4506704       3004470       1502234         13964 
     44  25449       tick       4512255       3008171       1504084         13998 
     45  25449       tick       4515083       3010056       1505027         13976 
     46  25449       tick       4478541       2985693       1492848         13898 
     47  25449       tick       4500007       3000003       1500004         13965 
     48  25449       tick       4468999       2979334       1489665         13893 
     49  25449       tick       4511162       3007442       1503720         14007 
     50  25449       tick       4501171       3000781       1500390         13882 
     51  25449       tick       4497360       2998241       1499119         13941 
     52  25449       tick       4517788       3011859       1505929         13995 
     53  25449       exit         57749         38465         19217           191 
