[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  19858       tick           629       3573234         40865         31661 
      2  19858       tick             8       5792045           213         42989 
      3  19858       tick             4       5827230           145         40774 
      4  19858       tick            49      10807810          4835         11835 
      5  19858       tick            40      11287238          5038          8581 
      6  19858       tick            33      11270040          5088          8730 
      7  19858       tick            29      11273995          4953          8602 
      8  19858       tick            33      11216260          5059          8826 
      9  19858       tick            38      11220966          5036          8901 
     10  19858       tick            34      11255896          5125          8838 
     11  19858       tick            33      11162864          5087          9020 
     12  19858       tick            46      11031795          5386          9432 
     13  19858       tick            43      11111091          5409          9716 
     14  19858       tick            43      11026650          5412          9487 
     15  19858       tick            35      11186272          5278          9217 
     16  19858       tick            33      11255766          4988          8535 
     17  19858       tick            27      11261087          4904          8654 
     18  19858       tick            32      11225806          5071          8989 
     19  19858       tick            27      10986689          4859          8417 
     20  19858       tick            42      11445641          5357          9479 
     21  19858       tick            32      11287974          5057          8545 
     22  19858       tick            32      11202743          5227          8832 
     23  19858       tick            32      11252266          5002          8650 
     24  19858       tick            38      11256224          5186          8716 
     25  19858       tick            32      11284944          4969          8618 
     26  19858       tick            30      11231696          5034          8761 
     27  19858       tick            44      11239239          5105          8860 
     28  19858       tick            36      11228458          5174          8870 
     29  19858       tick            30      11232388          5049          8748 
     30  19858       tick            50      11161144          5247          9380 
     31  19858       tick            35      11268538          5047          8567 
     32  19858       tick            35      11213857          5131          8889 
     33  19858       tick            36      11228117          5056          8917 
     34  19858       tick            39      11284560          4941          8472 
     35  19858       tick            25      11279876          5108          8538 
     36  19858       tick            36      11251849          5065          8751 
     37  19858       tick            41      11227511          5124          8856 
     38  19858       tick            31      11232067          5084          8942 
     39  19858       tick            28      11246028          5110          8814 
     40  19858       tick            44      11125678          5302          9349 
     41  19858       tick            39      11280298          5047          8651 
     42  19858       tick            27      11216131          5083          8895 
