[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1    537       tick        246447          5245          3606        246447 
      2    537       tick        637484          9184          7430        637484 
      3    537       tick        659505          6712          6178        659505 
      4    537       tick        648499          6261          5506        648499 
      5    537       tick        630253          8135          7205        630253 
      6    537       tick        665622          7680          6363        665622 
      7    537       tick        642020          7193          6748        642020 
      8    537       tick        635850          7136          6707        635850 
      9    537       tick        669829          6670          5989        669829 
     10    537       tick        640716          7457          6742        640716 
     11    537       tick        648809          6371          6070        648809 
     12    537       tick        648463          9192          6926        648463 
     13    537       tick        636038          7531          6772        636038 
     14    537       tick        664769          5954          5450        664769 
     15    537       tick        634588          8178          7026        634588 
     16    537       tick        637785          8896          6984        637785 
     17    537       tick        655657          7938          6277        655657 
     18    537       tick        628059          8376          7141        628059 
     19    537       tick        669582          6920          6186        669582 
     20    537       tick        638441          8146          6998        638441 
     21    537       tick        630678          7920          7037        630678 
     22    537       tick        663598          8292          6643        663598 
     23    537       tick        639629          7314          6718        639629 
     24    537       tick        650148          6383          6151        650148 
     25    537       tick        654519          7196          6133        654519 
     26    537       tick        629506          9583          7465        629506 
     27    537       tick        656146          8043          6263        656146 
     28    537       tick        634715          8049          7154        634715 
     29    537       tick        644027          7473          6507        644027 
     30    537       tick        659446          7998          6584        659446 
     31    537       tick        642646          7590          6639        642646 
     32    537       tick        651396          8628          6954        651396 
     33    537       tick        621738          7302          6235        621738 
     34    537       tick        649031          8600          6980        649031 
     35    537       tick        665938          6718          5945        665938 
     36    537       tick        637211          8427          7135        637211 
     37    537       tick        649988          6901          6313        649988 
     38    537       tick        655183          7420          6308        655183 
     39    537       tick        640221          7007          6696        640221 
     40    537       tick        664585          6599          6093        664585 
     41    537       tick        642252          8190          6795        642252 
     42    537       tick        630616          8571          7162        630616 
     43    537       tick        670835          6866          6192        670835 
     44    537       tick        638053          8441          7357        638053 
     45    537       tick        638821          7862          6702        638821 
     46    537       tick        648548          8952          6756        648548 
     47    537       tick        633401          7531          6802        633401 
     48    537       tick        671539          6525          5802        671539 
     49    537       tick        643725          7220          6865        643725 
     50    537       tick        638511          7605          7035        638511 
     51    537       tick        661300          7953          6522        661300 
     52    537       tick        633346          8945          7215        633346 
     53    537       tick        647101          6730          6536        647101 
     54    537       tick        657227          7235          6476        657227 
     55    537       tick        624519          7886          7059        624519 
     56    537       tick        665298          7505          5989        665298 
     57    537       tick        641198          7401          6795        641198 
     58    537       tick        642308          7931          6614        642308 
     59    537       tick        658542          7498          6446        658542 
     60    537       tick        638174          8398          7414        638174 
     61    537       tick        648086          7359          6577        648086 
     62    537       tick        646785          8356          6750        646785 
     63    537       tick        635946          7162          6666        635946 
     64    537       tick        668179          6531          5525        668179 
     65    537       tick        637449          8420          7304        637449 
     66    537       tick        643121          6543          6283        643121 
     67    537       tick        648912          8622          6751        648912 
     68    537       tick        634754          8382          7232        634754 
     69    537       tick        658041          7653          6880        658041 
     70    537       tick        652143          7344          6371        652143 
     71    537       tick        636405          7581          7136        636405 
     72    537       tick        664016          8148          6542        664016 
     73    537       tick        645692          7003          6580        645692 
     74    537       tick        642275          7638          6936        642275 
     75    537       tick        648809          8282          6794        648809 
     76    537       tick        630268          9056          7284        630268 
     77    537       tick        659854          7165          6604        659854 
     78    537       tick        641293          8726          7105        641293 
     79    537       tick        636221          8231          7031        636221 
     80    537       tick        667749          7538          6556        667749 
     81    537       tick        637595          8298          7562        637595 
     82    537       tick        632198          9150          7303        632198 
     83    537       tick        655376          6810          6129        655376 
     84    537       tick        619849          7258          6728        619849 
     85    537       tick        682273          7229          6572        682273 
     86    537       tick        637193          8100          6922        637193 
     87    537       tick        641366          7985          6678        641366 
     88    537       tick        653851          7781          6194        653851 
     89    537       tick        636297          7591          7135        636297 
     90    537       tick        654151          6561          6353        654151 
     91    537       tick        653544          8296          7038        653544 
     92    537       tick        632695          8243          7016        632695 
     93    537       tick        668205          6198          6025        668205 
     94    537       tick        648195          6734          6364        648195 
     95    537       tick        632777          8562          7328        632777 
     96    537       tick        658888          6471          5775        658888 
     97    537       tick        633605          7544          6894        633605 
     98    537       tick        651554          7510          6937        651554 
     99    537       tick        656456          7308          6227        656456 
    100    537       tick        636890          7585          7085        636890 
    101    537       tick        659742          7995          7155        659742 
    102    537       tick        639835          8898          7011        639835 
    103    537       tick        641766          7410          6753        641766 
    104    537       tick        654976          6784          6231        654976 
    105    537       tick        636792          7028          6519        636792 
    106    537       tick        655238          6492          6656        655238 
    107    537       tick        649881          8108          7200        649881 
    108    537       tick        634509          7875          7019        634509 
    109    537       tick        663784          6632          6176        663784 
    110    537       tick        636599          7439          6956        636599 
    111    537       tick        648972          7065          6595        648972 
    112    537       tick        657747          8368          6748        657747 
