[Event-to-counter mappings]
pmc1=l2_cache_accesses
pmc2=l2_cache_refills
pmc3=l2_cache_writebacks
pmc4=llc_accesses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  16242       tick        354623          4025         54737        354623 
      2  16242       tick        975837        422034        427972        975837 
      3  16242       tick       1282834        638256        621014       1282834 
      4  16242       tick       1287671        640871        625247       1287671 
      5  16242       tick       1292761        643172        632219       1292761 
      6  16242       tick       1294339        644067        633569       1294339 
      7  16242       tick       1293725        643655        633060       1293725 
      8  16242       tick       1280497        637229        622247       1280497 
      9  16242       tick       1292978        643253        631231       1292978 
     10  16242       tick       1289850        641724        630120       1289850 
     11  16242       tick       1290603        642027        630433       1290603 
     12  16242       tick       1269007        631454        609079       1269007 
     13  16242       tick       1293282        643531        632492       1293282 
     14  16242       tick       1277392        635584        617817       1277392 
     15  16242       tick       1290091        641946        630070       1290091 
     16  16242       tick       1294296        643990        633461       1294296 
     17  16242       tick       1294503        643993        633531       1294503 
     18  16242       tick       1284491        639213        623390       1284491 
     19  16242       tick       1287701        640663        628102       1287701 
     20  16242       tick       1287124        640370        627872       1287124 
     21  16242       tick       1286749        640237        627530       1286749 
     22  16242       tick       1279155        636457        619206       1279155 
     23  16242       tick       1293071        643339        632401       1293071 
     24  16242       tick       1282810        638294        621474       1282810 
     25  16242       tick       1294195        643922        633182       1294195 
     26  16242       tick       1293237        643484        632578       1293237 
     27  16242       tick       1294503        644090        633686       1294503 
     28  16242       tick       1287914        640867        625885       1287914 
     29  16242       tick       1290880        642364        630358       1290880 
     30  16242       tick       1291395        642479        630837       1291395 
     31  16242       tick       1289409        641430        629595       1289409 
     32  16242       tick       1275172        634511        616220       1275172 
     33  16242       tick       1281752        637833        623449       1281752 
     34  16242       tick       1294023        643853        633162       1294023 
     35  16242       tick       1280209        636984        621560       1280209 
     36  16242       tick       1276380        635093        619387       1276380 
     37  16242       tick       1277714        635831        619642       1277714 
     38  16242       tick       1270111        631987        611728       1270111 
     39  16242       tick       1265973        629724        611782       1265973 
     40  16242       tick       1258876        626285        606350       1258876 
     41  16242       tick       1245139        619453        595973       1245139 
     42  16242       tick       1269700        631773        610122       1269700 
     43  16242       tick       1271075        632407        615316       1271075 
     44  16242       tick       1274613        634213        616796       1274613 
     45  16242       tick       1246076        619829        605017       1246076 
     46  16242       tick       1290306        642090        620239       1290306 
     47  16242       tick       1276664        635237        619782       1276664 
     48  16242       tick       1270011        631714        612962       1270011 
     49  16242       tick       1279545        636771        622596       1279545 
     50  16242       tick       1277910        635773        620508       1277910 
     51  16242       tick       1267293        630414        612646       1267293 
     52  16242       tick       1270325        632235        609542       1270325 
     53  16242       tick       1294470        644057        633402       1294470 
     54  16242       tick       1283309        638649        623940       1283309 
     55  16242       tick       1294124        643784        633077       1294124 
     56  16242       tick       1287295        640487        627988       1287295 
     57  16242       tick       1294473        644154        633581       1294473 
     58  16242       tick       1287434        640662        628363       1287434 
     59  16242       tick       1287510        640781        627040       1287510 
     60  16242       tick       1282559        638090        624033       1282559 
     61  16242       tick       1278368        636069        621514       1278368 
     62  16242       tick       1272341        633194        611583       1272341 
     63  16242       tick       1293590        643661        633092       1293590 
     64  16242       tick       1293393        643535        632677       1293393 
     65  16242       tick       1294391        644066        633450       1294391 
     66  16242       tick       1293519        643562        632686       1293519 
     67  16242       tick       1290308        642053        629110       1290308 
     68  16242       tick       1290930        642343        629577       1290930 
     69  16242       tick       1288261        640920        627010       1288261 
     70  16242       tick       1291728        642730        631958       1291728 
     71  16242       tick       1281840        637916        621692       1281840 
     72  16242       tick       1277161        635639        618099       1277161 
     73  16242       tick       1291937        642715        631269       1291937 
     74  16242       tick       1284707        639234        623920       1284707 
     75  16242       tick       1290704        642228        630425       1290704 
     76  16242       tick       1294193        643990        633350       1294193 
     77  16242       tick       1290333        642014        628921       1290333 
     78  16242       tick       1291374        642554        629724       1291374 
     79  16242       tick       1291093        642279        630669       1291093 
     80  16242       tick       1285902        639802        625398       1285902 
     81  16242       tick       1289753        641657        629009       1289753 
     82  16242       tick       1278486        636253        619047       1278486 
     83  16242       tick       1278531        636076        619585       1278531 
     84  16242       tick       1289652        641707        626907       1289652 
     85  16242       tick       1294569        644044        633433       1294569 
     86  16242       tick       1291194        642440        629702       1291194 
     87  16242       tick       1290484        642056        628935       1290484 
     88  16242       tick       1293581        643692        633284       1293581 
     89  16242       tick       1285238        639426        625778       1285238 
     90  16242       tick       1290947        642244        630484       1290947 
     91  16242       tick       1291660        642675        629549       1291660 
     92  16242       exit        480586        239107        230866        480586 
