[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  22513       tick       3611466       1999945       1001785          2665 
      2  22513       tick       7768604       3525325       2807430            20 
      3  22513       tick      11061168       7426043       2500026            93 
      4  22513       tick      15074721      12186366       2121689           121 
      5  22513       tick      15093505      12201074       2124750           123 
      6  22513       tick      15056016      12171175       2119083           118 
      7  22513       tick      15107392      12212307       2126695           123 
      8  22513       tick      14857973      12011290       2091027           135 
      9  22513       tick      15023245      12144208       2114931           112 
     10  22513       tick      15070805      12183166       2121163           124 
     11  22513       tick      15094521      12202348       2124460           122 
     12  22513       tick      15010488      12133880       2113140           130 
     13  22513       tick      15044200      12161624       2117457           117 
     14  22513       tick      15089809      12198528       2123805           118 
     15  22513       tick      15088442      12196993       2124031           126 
     16  22513       tick      15083992      12193841       2123006           112 
     17  22513       tick      15083842      12193329       2123358           122 
     18  22513       tick      14918525      12060236       2099526           136 
     19  22513       tick      15042353      12159683       2117592           124 
     20  22513       tick      15090448      12199051       2123891           123 
     21  22513       tick      15080572      12190612       2122938           118 
     22  22513       tick      14996398      12122931       2110771           129 
     23  22513       tick      15034824      12153995       2116141           125 
     24  22513       tick      15060649      12174957       2119736           129 
     25  22513       tick      15059413      12173502       2119969           129 
     26  22513       tick      15082561      12192625       2122819           126 
     27  22513       tick      15052388      12168276       2118578           133 
     28  22513       tick      14932068      12070813       2101786           124 
     29  22513       tick      15050439      12166224       2118725           120 
     30  22513       tick      15062148      12176163       2119947           134 
     31  22513       tick      14991474      12118901       2110091           123 
     32  22513       tick      15069341      12181986       2120957           113 
     33  22513       tick      15016177      12138500       2113931           120 
     34  22513       tick      15083075      12193043       2122890           117 
     35  22513       tick      15083369      12193353       2122908           115 
     36  22513       tick      15081311      12191214       2123039           132 
     37  22513       tick      15041620      12159492       2117090           126 
     38  22513       tick      14921442      12062267       2100290           136 
     39  22513       tick      15064232      12177797       2120255           117 
     40  22513       tick      15070121      12182175       2121455           130 
     41  22513       tick      15095751      12203354       2124659           116 
     42  22513       tick      15060675      12174948       2119733           124 
     43  22513       tick      14876098      12025540       2093971           132 
     44  22513       tick      15067597      12180103       2121130           123 
     45  22513       tick      15034489      12153732       2116084           128 
     46  22513       tick      15057463      12172372       2119300           125 
     47  22513       tick      15063865      12177501       2120200           122 
     48  22513       tick      15052153      12167630       2118951           130 
     49  22513       tick      15042999      12160664       2117269           127 
     50  22513       tick      15066796      12179866       2120616           128 
     51  22513       tick      15096419      12203460       2125136           135 
     52  22513       tick      15089396      12198236       2123753           135 
     53  22513       tick      15000067      12125832       2111305           124 
     54  22513       tick      15092520      12200324       2124578           130 
     55  22513       tick      15027765      12148320       2115155           121 
     56  22513       tick      15090912      12199419       2123961           118 
     57  22513       tick      15077113      12187828       2122442           137 
     58  22513       tick      15049741      12166109       2118226           123 
     59  22513       tick      15007305      12131714       2112296           123 
     60  22513       tick      15061563      12175213       2120295           116 
     61  22513       tick      15089936      12198670       2123824           130 
     62  22513       tick      15070856      12183181       2121161           121 
     63  22513       tick      15036828      12155198       2116830           123 
     64  22513       tick      15030889      12150867       2115578           136 
     65  22513       tick      15101959      12208345       2125516           119 
     66  22513       tick      15051440      12167052       2118851           123 
     67  22513       tick      15074543      12186187       2121690           115 
     68  22513       tick      14972037      12103185       2107358           138 
     69  22513       tick      15066590      12179757       2120573           123 
     70  22513       tick      15030448      12150035       2115937           131 
     71  22513       tick      15048299      12164906       2118021           116 
     72  22513       tick      15085761      12195283       2123245           116 
     73  22513       tick      15008012      12131946       2112763           116 
     74  22513       tick      15034391      12153572       2116120           111 
     75  22513       tick      15114535      12218579       2127264           126 
     76  22513       tick      15052969      12168271       2119080           126 
     77  22513       tick      15020465      12142368       2114139           128 
     78  22513       tick      14946459      12082519       2103780           121 
     79  22513       tick      15077730      12188721       2122145           132 
     80  22513       tick      14806542      11969237       2084253           100 
     81  22513       tick      15262877      12338223       2148379           132 
     82  22513       tick      15056159      12171261       2119124           127 
     83  22513       tick      15078894      12189747       2122271           114 
     84  22513       tick      15003502      12128194       2112194           135 
     85  22513       tick      15066849      12179946       2120595           125 
     86  22513       tick      15067489      12180483       2120699           132 
     87  22513       tick      15052126      12167587       2118957           126 
     88  22513       tick      14979703      12109381       2108441           133 
     89  22513       tick      15057738      12172585       2119341           124 
     90  22513       tick      15084281      12194043       2123040           128 
     91  22513       tick      15038549      12156592       2117069           137 
     92  22513       tick      15088663      12197665       2123628           126 
     93  22513       tick      15045375      12162523       2117624           128 
     94  22513       tick      15026027      12146511       2115294           124 
     95  22513       tick      15063507      12177224       2120155           113 
     96  22513       tick      15085491      12195015       2123215           121 
     97  22513       tick      15073013      12184498       2121879           118 
     98  22513       tick      15023137      12144597       2114492           122 
     99  22513       tick      15091350      12199761       2124031           124 
    100  22513       tick      15045280      12162025       2118017           126 
    101  22513       tick      14993581      12120660       2110375           124 
    102  22513       tick      15064784      12178274       2120301           116 
    103  22513       tick      15116656      12220309       2127555           120 
    104  22513       tick      14979893      12109101       2108882           139 
    105  22513       tick      15056558      12171586       2119178           115 
    106  22513       tick      15112816      12217179       2127027           114 
    107  22513       tick      15048508      12164649       2118467           115 
    108  22513       tick      14928186      12067704       2101219           142 
    109  22513       tick      15079170      12189919       2122344           128 
    110  22513       tick      15022985      12144430       2114469           126 
    111  22513       tick      15045258      12162070       2117994           115 
    112  22513       tick      15074924      12186481       2121738           125 
    113  22513       tick      15101363      12207842       2125443           125 
    114  22513       tick      15012871      12135934       2113436           122 
    115  22513       tick      15068872      12181487       2120932           125 
    116  22513       tick      15030006      12150112       2115458           128 
    117  22513       tick      15063001      12176865       2120062           126 
    118  22513       tick      15021410      12142718       2114668           131 
    119  22513       tick      15101369      12207863       2125443           121 
    120  22513       tick      15073319      12185230       2121493           124 
    121  22513       tick      15060886      12174664       2120198           116 
    122  22513       tick      15097220      12204513       2124851           121 
    123  22513       tick      15085046      12194240       2123552           117 
    124  22513       tick      14942103      12078985       2103189           124 
    125  22513       tick      15063312      12177062       2120116           120 
    126  22513       tick      15115020      12218987       2127319           119 
    127  22513       tick      14994712      12121084       2110962           132 
    128  22513       tick      14367537      11614663       2022133           129 
    129  22513       tick      15104718      12210645       2125878           126 
    130  22513       tick      15016769      12138963       2114030           122 
    131  22513       tick      15119894      12222846       2128034           126 
    132  22513       tick      15064443      12178033       2120264           124 
    133  22513       tick      15075609      12186594       2122245           129 
    134  22513       tick      15080023      12190592       2122449           114 
    135  22513       tick      15061806      12175453       2120293           129 
    136  22513       tick      15085952      12195434       2123275           123 
    137  22513       tick      15036647      12155453       2116408           133 
    138  22513       tick      15019354      12141529       2113967           134 
    139  22513       tick      15080382      12190478       2122897           116 
    140  22513       tick      14634721      11830540       2059856           106 
    141  22513       tick      15551941      12571770       2189168           123 
    142  22513       tick      15067837      12180754       2120757           122 
    143  22513       tick      15074832      12186382       2121730           117 
    144  22513       tick      15048950      12165024       2118514           125 
    145  22513       tick      15042520      12160272       2117212           124 
    146  22513       tick      15092389      12200621       2124159           114 
    147  22513       tick      14974860      12105506       2107759           132 
    148  22513       tick      14989495      12116849       2110240           138 
    149  22513       tick      15073379      12185220       2121517           113 
    150  22513       tick      15094248      12202150       2124434           117 
    151  22513       tick      15042551      12159843       2117620           119 
    152  22513       tick      15069205      12181836       2120937           141 
    153  22513       tick      15087815      12196952       2123529           112 
    154  22513       tick      15055074      12169972       2119376           122 
    155  22513       tick      14486079      11710619       2038697           123 
    156  22513       tick      15597808      12608947       2195565           137 
    157  22513       tick      15008991      12133095       2112524           125 
    158  22513       tick      15010655      12134022       2113165           131 
    159  22513       tick      15115001      12218950       2127333           110 
    160  22513       tick      15074598      12186208       2121686           119 
