[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  10868       tick          2886         16509         70584 
      2  10868       tick             0             0             0 
      3  10868       tick             0             0             0 
      4  10868       tick             0             0             0 
      5  10868       tick             0             0             0 
      6  10868       tick             0             0             0 
      7  10868       tick             0             0             0 
      8  10868       tick             0             0             0 
      9  10868       tick             0             0             0 
     10  10868       tick             0             0             0 
     11  10868       tick             0             0             0 
     12  10868       tick             0             0             0 
     13  10868       tick             0             0             0 
     14  10868       tick             0             0             0 
     15  10868       tick             0             0             0 
     16  10868       tick             0             0             0 
     17  10868       tick             0             0             0 
     18  10868       tick             0             0             0 
     19  10868       tick             0             0             0 
     20  10868       exit           162           137           341 
