[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  20538       tick      70164719       3274390      25307739        610771 
      2  20538       tick      70038543      10182971      68535166       1286694 
      3  20538       tick      70041681      10194506      68612788       1287580 
      4  20538       tick      70042179      10166670      68485584       1284561 
      5  20538       tick      70041663      10145665      68397434       1283129 
      6  20538       tick      69970752      10151267      68425623       1283575 
      7  20538       tick      69928413      10042215      67875096       1272866 
      8  20538       tick      69758641      10054272      67892232       1273310 
      9  20538       tick      69379984      10007334      67564482       1268394 
     10  20538       tick      69757301      10119818      68203531       1280145 
     11  20538       tick      68857204       9888787      66899734       1254448 
     12  20538       tick      69079014       9939241      67187091       1260216 
     13  20538       tick      70138048      10152344      68438155       1284080 
     14  20538       tick      70037625      10208324      68681081       1288997 
     15  20538       tick      70042071      10145104      68323079       1282719 
     16  20538       tick      69969780      10180469      68547076       1285959 
     17  20538       tick      69935733      10133774      68320703       1281995 
     18  20538       tick      70041915      10190771      68631899       1287387 
     19  20538       tick      70041240      10197757      68657381       1287838 
     20  20538       tick      70041108      10198279      68647129       1288011 
     21  20538       tick      70041012      10192072      68633592       1287297 
     22  20538       tick      69971427      10179148      68561761       1285825 
     23  20538       tick      69851726       9146865      62273212       1166636 
     24  20538       tick      70040034      10201372      68664680       1288243 
     25  20538       tick      69959460      10180848      68552931       1286722 
     26  20538       tick      69884174      10161152      68438311       1283618 
     27  20538       tick      70088162      10017831      67786634       1271977 
     28  20538       tick      70045365      10143511      68340094       1282148 
     29  20538       tick      70039890      10189501      68658279       1286861 
     30  20538       tick      70037970      10202519      68680135       1288449 
     31  20538       tick      70040343      10158769      68431309       1283835 
     32  20538       tick      70042998      10196348      68637887       1287763 
     33  20538       tick      69907550      10125789      68251605       1280418 
     34  20538       tick      70040601      10199849      68671992       1288123 
     35  20538       tick      70042110      10169558      68547704       1285466 
     36  20538       tick      70040712      10172566      68533701       1285718 
     37  20538       exit       7453734        219064       1530528         28572 
