[Event-to-counter mappings]
pmc1=itlb_misses
pmc2=l1_data_accesses
pmc3=l1_data_refills
pmc4=l1_instr_refills
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1   9569       tick            64      12755097        582682          5065 
      2   9569       tick             1      17759278        807832          2574 
      3   9569       tick             1      18040189        838876          2210 
      4   9569       tick             1      18015501        828765          2282 
      5   9569       tick             0      17945670        825840          2440 
      6   9569       tick             0      17995961        834942          2223 
      7   9569       tick             1      17897623        823403          2329 
      8   9569       tick             0      18030218        828539          2471 
      9   9569       tick             0      18022607        832419          2320 
     10   9569       tick             0      17877700        825851          2376 
     11   9569       tick             0      17963777        824648          2424 
     12   9569       tick             0      17837240        820848          2409 
     13   9569       tick             0      17945285        832518          2267 
     14   9569       tick             0      18050837        830270          2310 
     15   9569       tick             0      17777220        818117          2444 
     16   9569       tick             0      17959854        833856          2319 
     17   9569       tick             0      18077135        833056          2365 
     18   9569       tick             0      17821384        820219          2421 
     19   9569       tick             0      18101494        832031          2400 
     20   9569       tick             0      17879677        823595          2403 
     21   9569       tick             1      17356443        796995          2243 
     22   9569       tick             0      18552710        856969          2456 
     23   9569       tick             0      17912163        823032          2340 
     24   9569       tick             6      18059864        839488          2188 
     25   9569       tick            11      18089643        825533          2346 
     26   9569       tick             8      17901413        827566          2302 
     27   9569       tick             9      18039246        836783          2231 
     28   9569       tick             6      17910005        804474          2385 
     29   9569       tick             7      18436041        789968          2202 
     30   9569       tick             4      18022038        819790          2409 
     31   9569       tick             7      17834514        829062          2352 
     32   9569       tick             8      17952864        828500          2313 
     33   9569       tick            12      18046544        827759          2326 
     34   9569       tick             6      17931747        833150          2259 
     35   9569       tick             0      17961616        824911          2392 
     36   9569       tick             0      17763842        815336          2565 
     37   9569       tick             0      17975757        835379          2277 
     38   9569       tick             0      17869300        819370          2488 
     39   9569       tick             0      17945756        825700          2489 
     40   9569       tick             0      17917032        830074          2301 
     41   9569       tick             0      17801060        818774          2459 
     42   9569       tick             0      17912818        824741          2564 
     43   9569       tick             0      18061482        834437          2260 
     44   9569       tick             0      17842506        824552          2393 
     45   9569       tick             0      18085902        831768          2356 
     46   9569       tick             0      17880006        822132          2339 
     47   9569       tick             0      17884570        830514          2337 
     48   9569       tick             7      18070908        831308          2430 
     49   9569       tick            10      17826343        817939          2468 
     50   9569       tick            10      17986131        834282          2314 
     51   9569       tick            12      17992266        825055          2524 
     52   9569       tick            12      17725625        814199          2360 
     53   9569       tick             8      18030559        837833          2201 
     54   9569       tick            10      17989592        817917          2431 
     55   9569       tick             9      17813072        826995          2417 
     56   9569       tick             6      17910921        832261          2215 
     57   9569       tick            10      18279059        778524          2431 
     58   9569       tick            14      18037102        832332          2217 
     59   9569       tick             5      18082875        830389          2373 
     60   9569       tick            16      17867024        829752          2354 
     61   9569       tick            11      17924707        823319          2383 
     62   9569       tick            11      17619103        806948          2412 
     63   9569       tick            14      18172707        845072          2411 
     64   9569       tick            11      18008868        827459          2273 
     65   9569       tick             6      17894376        822282          2463 
     66   9569       tick            10      18017005        832278          2272 
     67   9569       tick            12      17876353        826919          2337 
     68   9569       tick            10      17947181        824323          2475 
     69   9569       tick             9      18009975        830363          2326 
     70   9569       tick            10      17933477        827639          2418 
     71   9569       tick            13      17974089        831196          2310 
     72   9569       tick            14      17968261        825697          2309 
     73   9569       tick            12      17973479        824494          2470 
     74   9569       tick            10      18023324        830561          2289 
     75   9569       tick             9      17917846        829979          2313 
     76   9569       tick             9      17874239        821481          2497 
     77   9569       tick            10      17917916        823350          2397 
     78   9569       tick             8      17967896        834770          2272 
     79   9569       tick            12      18044611        830785          2426 
     80   9569       tick             9      18009357        827344          2273 
     81   9569       tick             7      17788243        826046          2421 
     82   9569       tick            10      17958955        820684          2498 
     83   9569       tick             6      17978700        834304          2245 
     84   9569       tick             8      17934171        833439          2296 
     85   9569       tick            12      18418752        785706          2263 
     86   9569       tick            10      17890868        821627          2382 
     87   9569       tick             8      18057699        829921          2359 
     88   9569       tick            11      17955368        834058          2286 
     89   9569       tick            13      17954036        815778          2471 
     90   9569       exit            35       3468596        160665          1135 
