[Event-to-counter mappings]
pmc0=cycles_allmodes
pmc1=bus_accesses
pmc2=cycles
pmc3=data_cache_eviction
[Event counts]
nsample    pid      event          pmc0          pmc1          pmc2          pmc3
      1  15830       tick      89501184         89449      63728651         40388 
      2  15830       tick      90817610         19093      87434999         15686 
      3  15830       tick      90034061         17895      86142669         18689 
      4  15830       tick      90035949         16642      86205957         18685 
      5  15830       tick      90035598         17271      86148568         18157 
      6  15830       tick      89907459         16552      85952604         18404 
      7  15830       tick      89960159         16351      85590428         18785 
      8  15830       tick      90039769         15689      86243909         18198 
      9  15830       tick      89961156         16494      85973353         18402 
     10  15830       tick      90038274         16904      86213925         18466 
     11  15830       tick      89959770         17296      86128474         18677 
     12  15830       tick      90037692         16842      86270153         18721 
     13  15830       tick      90036294         16343      86143885         18701 
     14  15830       tick      90037650         16222      86084446         18957 
     15  15830       tick      90039423         15975      86192977         18677 
     16  15830       tick      89959583         16953      86016408         18664 
     17  15830       tick      89845448         17413      85734041         18926 
     18  15830       tick      90122132         18231      86238863         18647 
     19  15830       tick      89959224         17463      85598026         18913 
     20  15830       tick      90036514         17464      86083764         18889 
     21  15830       tick      89955189         16571      86115435         19120 
     22  15830       tick      90039468         16941      86287776         18762 
     23  15830       tick      90035874         16281      86233603         18813 
     24  15830       tick      90037424         17424      86078360         18631 
     25  15830       tick      90036186         16704      86245768         18853 
     26  15830       tick      88212743         16875      84475737         18292 
     27  15830       tick      91733776         17613      87610425         19358 
     28  15830       tick      89966484         15842      86045957         18691 
     29  15830       tick      89913318         15619      85902390         19087 
     30  15830       tick      90039276         15558      86214932         19110 
     31  15830       tick      90033872         16314      86239416         18870 
     32  15830       tick      89974186         19156      86161280         18936 
     33  15830       tick      90036017         16845      86205080         18950 
     34  15830       tick      90036777         16371      86214630         19057 
     35  15830       tick      90038357         17931      86274677         18452 
     36  15830       tick      89927734         16789      86075824         18662 
     37  15830       tick      89873565         17267      85899610         18583 
     38  15830       tick      90123340         17775      86121466         19094 
     39  15830       tick      90034629         17041      85715061         19104 
     40  15830       tick      89969220         16888      86175479         18808 
     41  15830       tick      90034167         16201      86246826         18766 
     42  15830       tick      89964242         16762      86185453         18787 
     43  15830       tick      90036903         17976      86132683         18839 
     44  15830       tick      90035541         16297      86265746         18693 
     45  15830       tick      90038226         16644      86284226         18755 
     46  15830       tick      89983632         17200      85887854         18924 
     47  15830       tick      89972606         16969      85934113         18667 
     48  15830       tick      89957793         17317      85956942         19084 
     49  15830       tick      90044235         18485      85678251         19013 
     50  15830       tick      89964848         17277      85998148         18800 
     51  15830       tick      90035979         18531      86278048         18870 
     52  15830       tick      89963833         17690      85965814         18923 
     53  15830       tick      90039309         18844      86115125         18758 
     54  15830       tick      90037782         18646      85880171         18850 
     55  15830       tick      90040146         17737      86220550         19140 
     56  15830       tick      89956459         17376      86132187         18922 
     57  15830       tick      90055141         16527      85761977         18991 
     58  15830       tick      89953370         18097      85918429         18977 
     59  15830       tick      90038484         18347      85922952         18976 
     60  15830       tick      89961208         19935      85958343         18778 
     61  15830       tick      90036429         17175      86209687         18855 
     62  15830       tick      89960355         17572      85957888         19003 
     63  15830       tick      90037608         17143      86187009         18667 
     64  15830       tick      90038754         17200      86260211         18667 
     65  15830       tick      90036648         17466      86170860         18699 
     66  15830       tick      89984005         19081      86212717         18783 
     67  15830       tick      89966911         17076      85649827         19226 
     68  15830       tick      90036873         16615      86080348         19131 
     69  15830       tick      89970918         18076      86079947         18754 
     70  15830       tick      89959953         16888      85851971         18971 
     71  15830       tick      90041631         17216      86171562         19025 
     72  15830       tick      87089127         18415      83244676         18315 
     73  15830       tick      92900956         17946      88684810         19558 
     74  15830       tick      90037302         17936      86223133         18922 
     75  15830       tick      90040083         16988      86288985         18712 
     76  15830       tick      89852703         17298      86072036         18762 
     77  15830       tick      90092150         18187      85882494         19063 
     78  15830       tick      90036928         18762      86055878         18782 
     79  15830       exit      70565298         24313      66716163         17065 
