[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1   8079       tick       1244419          2298       2739140 
      2   8079       tick       2114747            18       4226665 
      3   8079       tick       2106775            15       4210805 
      4   8079       tick       2103920            15       4205215 
      5   8079       tick       2106437            10       4210220 
      6   8079       tick       2110406            12       4218107 
      7   8079       tick       2109009             8       4215277 
      8   8079       tick       2116032            13       4229365 
      9   8079       tick       2109285            11       4215846 
     10   8079       tick       2102219            13       4201799 
     11   8079       tick       2104674            12       4206610 
     12   8079       tick       2104690            10       4206578 
     13   8079       tick       2103945            14       4205218 
     14   8079       tick       2104536             8       4206344 
     15   8079       tick       2102202            11       4201862 
     16   8079       tick       2116671            12       4230565 
     17   8079       tick       2117929             8       4232966 
     18   8079       tick       2109783            10       4216858 
     19   8079       tick       2109353            12       4215947 
     20   8079       tick       2102995             9       4203392 
     21   8079       tick       2106084            10       4209319 
     22   8079       exit        527468            97       1054061 
