[Event-to-counter mappings]
pmc1=data_mem_access
pmc2=data_read_retired
pmc3=data_write_retired
pmc4=dtlb_misses
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  17329       tick      36040157             0             0         27865 
      2  17329       tick      62415424             0             0          7362 
      3  17329       tick      62455443             0             0          7400 
      4  17329       tick      62421326             0             0          7444 
      5  17329       tick      62427504             0             0          7355 
      6  17329       tick      62468759             0             0          7410 
      7  17329       tick      62445928             0             0          7449 
      8  17329       tick      62388032             0             0          7406 
      9  17329       tick      62435545             0             0          7482 
     10  17329       tick      62278884             0             0          7506 
     11  17329       tick      62463450             0             0          7441 
     12  17329       tick      62464738             0             0          7447 
     13  17329       tick      62467868             0             0          7471 
     14  17329       tick      62453311             0             0          7512 
     15  17329       tick      62402888             0             0          7445 
     16  17329       tick      62455588             0             0          7437 
     17  17329       tick      62406487             0             0          7463 
     18  17329       tick      62394863             0             0          7478 
     19  17329       tick      62431506             0             0          7451 
     20  17329       tick      62361575             0             0          7485 
     21  17329       tick      62413506             0             0          7445 
     22  17329       tick      62413205             0             0          7452 
     23  17329       tick      62410883             0             0          7470 
     24  17329       tick      62383467             0             0          7448 
     25  17329       tick      61940959             0             0          7398 
     26  17329       tick      62750809             0             0          7467 
     27  17329       tick      62386952             0             0          7471 
     28  17329       tick      62358661             0             0          7484 
     29  17329       tick      62333131             0             0          7407 
     30  17329       tick      62221736             0             0          7513 
     31  17329       tick      62387680             0             0          7468 
     32  17329       tick      62401674             0             0          7459 
     33  17329       tick      62402507             0             0          7499 
     34  17329       tick      62377050             0             0          7420 
     35  17329       tick      62374520             0             0          7438 
     36  17329       tick      62327692             0             0          7454 
     37  17329       tick      61206315             0             0          7297 
     38  17329       tick      62259835             0             0          7397 
     39  17329       tick      63607444             0             0          7621 
     40  17329       tick      62407109             0             0          7436 
     41  17329       tick      62415931             0             0          7453 
     42  17329       tick      62402338             0             0          7448 
     43  17329       exit      18821390             0             0          3474 
