[Event-to-counter mappings]
pmc1=inmediate_branches_retired
pmc2=instr
pmc3=instr_arch_executed
pmc4=instr_cache_access
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3          pmc4
      1  15204       tick             0     120274334     120274334      29529113 
      2  15204       tick             0     179668452     179668452      39584849 
      3  15204       tick             0     179340316     179340316      39512255 
      4  15204       tick             0     178164755     178164755      39255598 
      5  15204       tick             0     179746157     179746157      39599892 
      6  15204       tick             0     179725155     179725155      39595409 
      7  15204       tick             0     179719900     179719900      39594179 
      8  15204       tick             0     179222076     179222076      39486296 
      9  15204       tick             0     179796249     179796249      39610572 
     10  15204       tick             0     179562663     179562663      39560247 
     11  15204       tick             0     179581622     179581622      39564613 
     12  15204       tick             0     175309646     175309646      38622655 
     13  15204       tick             0     184119701     184119701      40563533 
     14  15204       tick             0     179734736     179734736      39597226 
     15  15204       tick             0     179756088     179756088      39601863 
     16  15204       tick             0     179757816     179757816      39602642 
     17  15204       tick             0     179059806     179059806      39450074 
     18  15204       tick             0     179679434     179679434      39584911 
     19  15204       tick             0     179785385     179785385      39608018 
     20  15204       tick             0     179416577     179416577      39527202 
     21  15204       tick             0     179667273     179667273      39582151 
     22  15204       tick             0     179673356     179673356      39584506 
     23  15204       tick             0     179613577     179613577      39572987 
     24  15204       tick             0     179764597     179764597      39604479 
     25  15204       tick             0     179774558     179774558      39607292 
     26  15204       tick             0     179730609     179730609      39597826 
     27  15204       tick             0     179780016     179780016      39608406 
     28  15204       tick             0     179169344     179169344      39474789 
     29  15204       tick             0     179712385     179712385      39593089 
     30  15204       tick             0     179488287     179488287      39544712 
     31  15204       tick             0     179517922     179517922      39551580 
     32  15204       tick             0     179594561     179594561      39568533 
     33  15204       tick             0     179714314     179714314      39594757 
     34  15204       tick             0     179733624     179733624      39598780 
     35  15204       tick             0     179713798     179713798      39594793 
     36  15204       tick             0     179684094     179684094      39587965 
     37  15204       tick             0     179784439     179784439      39609998 
     38  15204       tick             0     179746812     179746812      39600791 
     39  15204       tick             0     179607373     179607373      39571280 
     40  15204       tick             0     179646809     179646809      39579873 
     41  15204       tick             0     179630299     179630299      39575950 
     42  15204       tick             0     179606248     179606248      39570082 
     43  15204       exit             0      58044229      58044229      12828331 
