[Event-to-counter mappings]
pmc1=llc_misses
pmc2=mispred_branches
pmc3=potentially_predicted_branches
[Event counts]
nsample    pid      event          pmc1          pmc2          pmc3
      1  26715       tick          3403         76856       1304878 
      2  26715       tick          1774         69250       1249320 
      3  26715       tick          1129         69226       1249533 
      4  26715       tick          1029         69241       1249802 
      5  26715       tick           789         69172       1248663 
      6  26715       tick           948         69211       1249314 
      7  26715       tick           958         68980       1245200 
      8  26715       tick           827         69269       1250510 
      9  26715       tick           918         69199       1249581 
     10  26715       tick           987         69267       1250605 
     11  26715       tick          1028         69254       1250390 
     12  26715       tick          1093         69205       1249507 
     13  26715       tick          1148         69266       1250334 
     14  26715       tick           926         69232       1249771 
     15  26715       tick           981         69243       1249917 
     16  26715       tick           574         69282       1250577 
     17  26715       tick           678         69184       1248986 
     18  26715       tick           838         69231       1249818 
     19  26715       tick           883         69305       1251207 
     20  26715       tick           956         69254       1250323 
     21  26715       tick          1023         69262       1250346 
     22  26715       tick           832         69314       1251329 
     23  26715       tick           953         68294       1232973 
     24  26715       tick          1077         70101       1265413 
     25  26715       tick           948         69264       1250330 
     26  26715       tick          1041         69210       1249385 
     27  26715       tick           934         69087       1247186 
     28  26715       tick           949         69258       1250401 
     29  26715       tick           962         69271       1250765 
     30  26715       tick           985         69255       1250317 
     31  26715       tick           942         69268       1250509 
     32  26715       tick           955         69258       1250328 
     33  26715       tick          1002         69247       1250040 
     34  26715       tick           929         67317       1215134 
     35  26715       tick          1046         71160       1284617 
     36  26715       tick           965         69215       1249408 
     37  26715       tick           899         69215       1249618 
     38  26715       tick           949         69288       1250713 
     39  26715       tick           967         69214       1249612 
     40  26715       tick          1001         69273       1250571 
     41  26715       tick           938         69297       1250961 
     42  26715       tick           881         69284       1250798 
     43  26715       exit          1528         57221       1030130 
